Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Калтанская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25075	1043	1220	1032	1239	1228	1131	1181	1582	1346	1396	1393	1052	1276	1287	770	1671	1450	1165	1129	1484									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23840	990	1150	970	1200	1200	970	1190	1430	1280	1310	1330	1020	1200	1230	740	1600	1390	1140	1070	1430									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20251	825	990	919	1107	787	918	983	1262	1075	1098	1117	854	1127	1010	638	1398	1202	971	754	1216									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1696	81	110	36	21	305	48	33	116	91	103	88	62	13	94	40	48	85	57	217	48									
6	Число погашенных избирательных бюллетеней	1893	84	50	15	72	108	4	174	52	114	109	125	104	60	126	62	154	103	112	99	166									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1696	81	110	36	21	305	48	33	116	91	103	88	62	13	94	40	48	85	57	217	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20250	825	990	919	1107	787	918	983	1262	1074	1098	1117	854	1127	1010	638	1398	1202	971	754	1216									
9	Число недействительных избирательных бюллетеней	125	9	8	14	6	2	0	5	10	3	21	0	3	0	8	12	6	3	0	1	14									
10	Число действительных избирательных бюллетеней	21821	897	1092	941	1122	1090	966	1011	1368	1162	1180	1205	913	1140	1096	666	1440	1284	1028	970	1250									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	487	14	25	15	25	25	15	25	30	30	30	30	20	25	25	13	30	30	25	25	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	239	4	5	7	6	25	3	25	16	9	5	11	20	8	12	13	14	8	25	14	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	3	0	6	2	4	8	22	7	4	4	5	3	13	0	6	2	2	4	2	10									
14	Число погашенных неиспользованных открепительных удостоверений	248	10	20	8	19	0	12	0	14	21	25	19	0	17	13	0	16	22	0	11	21									
