Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Алеутская 								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК №173					
1	"Число избирателей, внесенных в списки"	589	589					
2	"Число бюллетеней, полученных участковыми комиссиями"	590	590					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	355	355					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	19	19					
6	Число погашенных бюллетеней	216	216					
7	Число бюллетеней в переносных ящиках для голосования	19	19					
8	Число бюллетеней в стационарных ящиках для голосования	355	355					
9	Число недействительных бюллетеней	7	7					
10	Число действительных бюллетеней	367	367					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	39	39					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0					
14	Число погашенных открепительных удостоверений	39	39					
15	Число открепительных удостоверений выданных ТИК	1	1					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	13	13					
		3.47%	3.47%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	10	10					
		2.67%	2.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	12	12					
		3.20%	3.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	9	9					
		2.40%	2.40%					
22	"5. ""За Русь Святую"""	1	1					
		0.26%	0.26%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	2					
		0.53%	0.53%					
24	"7. ""Новый курс - Автомобильная Россия"""	1	1					
		0.26%	0.26%					
25	"8. ""Народно-республиканская партия России"""	1	1					
		0.26%	0.26%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	1					
		0.26%	0.26%					
27	"10. ""Аграрная партия России"""	6	6					
		1.60%	1.60%					
28	"11. ""Истинные патриоты России"""	3	3					
		0.80%	0.80%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	4	4					
		1.06%	1.06%					
30	"13. ""Демократическая партия России"""	0	0					
		0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	1	1					
		0.26%	0.26%					
32	"15. ""Партия СЛОН"""	0	0					
		0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	18	18					
		4.81%	4.81%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	1	1					
		0.26%	0.26%					
35	"18. ""ЛДПР"""	47	47					
		12.56%	12.56%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1	1					
		0.26%	0.26%					
37	"20. ""Политическая партия ""Единая Россия"""	209	209					
		55.88%	55.88%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0					
		0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	2					
		0.53%	0.53%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	12	12					
		3.20%	3.20%					
								
41	Против всех	13	13					
		3.47%	3.47%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
