Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Спасская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936					
1	"Число избирателей, внесенных в списки"	27357	156	230	101	503	107	460	487	271	106	429	237	262	198	419	484	910	1074	565	729	409	566	315	985	533	424	552	429	180	642	83	224	337	381	432	89	118	113	675	187	409	303	173	564	612	343	110	371	924	267	411	1070	771	1356	1213	750	1057	1251					
2	"Число бюллетеней, полученных участковыми комиссиями"	27100	159	234	103	497	103	470	494	277	105	421	249	264	202	413	475	916	1070	570	740	407	555	303	969	521	424	553	436	180	643	84	224	345	385	433	89	122	114	682	189	413	297	166	561	613	343	114	371	922	269	411	1041	746	1309	1194	738	945	1227					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13474	89	128	60	296	63	194	223	134	59	201	134	109	119	254	185	344	482	244	323	219	315	148	627	278	224	329	209	95	316	50	116	171	221	214	39	54	53	299	99	205	165	86	207	236	147	59	209	376	128	167	514	339	768	631	356	550	614					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2394	55	26	7	49	20	14	30	27	25	30	39	38	23	21	115	78	68	8	57	60	68	34	31	26	29	46	70	35	22	8	30	22	30	36	38	25	27	146	11	52	51	50	86	12	54	0	56	121	61	60	36	22	33	27	47	76	26					
6	Число погашенных бюллетеней	11232	15	80	36	152	20	262	241	116	21	190	76	117	60	138	175	494	520	318	360	128	172	121	311	217	171	178	157	50	305	26	78	152	134	183	12	43	34	237	79	156	81	30	268	365	142	55	106	425	80	184	491	385	508	536	335	319	587					
7	Число бюллетеней в переносных ящиках для голосования	2394	55	26	7	49	20	14	30	27	25	30	39	38	23	21	115	78	68	8	57	60	68	34	31	26	29	46	70	35	22	8	30	22	30	36	38	25	27	146	11	52	51	50	86	12	54	0	56	121	61	60	36	22	33	27	47	76	26					
8	Число бюллетеней в стационарных ящиках для голосования	13468	89	128	60	296	63	194	223	134	59	201	134	109	119	254	185	344	482	244	323	219	315	148	627	278	224	329	209	95	311	50	116	171	221	214	39	54	53	299	99	205	165	86	207	236	147	59	209	375	128	167	514	339	768	631	356	550	614					
9	Число недействительных бюллетеней	224	0	3	2	11	0	1	3	2	0	3	0	2	2	0	4	7	10	5	5	1	7	3	7	0	8	4	6	3	11	0	1	5	18	0	0	0	1	8	2	3	2	1	5	6	4	8	0	4	1	0	8	4	8	5	6	6	8					
10	Число действительных бюллетеней	15638	144	151	65	334	83	207	250	159	84	228	173	145	140	275	296	415	540	247	375	278	376	179	651	304	245	371	273	127	322	58	145	188	233	250	77	79	79	437	108	254	214	135	288	242	197	51	265	492	188	227	542	357	793	653	397	620	632					
