Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Шимская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569					
1	"Число избирателей, внесенных в списки"	9672	182	116	446	195	465	273	301	114	2967	415	161	267	207	113	1363	1248	356	196	287					
2	"Число бюллетеней, полученных участковыми комиссиями"	9647	181	117	450	195	462	296	287	113	2980	415	165	270	199	109	1317	1246	366	197	282					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4971	99	76	243	105	247	184	147	69	1453	171	118	121	129	87	590	606	197	139	190					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	823	37	8	34	32	91	18	53	17	90	82	14	56	26	14	108	90	32	0	21					
6	Число погашенных бюллетеней	3853	45	33	173	58	124	94	87	27	1437	162	33	93	44	8	619	550	137	58	71					
7	Число бюллетеней в переносных ящиках для голосования	823	37	8	34	32	91	18	53	17	90	82	14	56	26	14	108	90	32	0	21					
8	Число бюллетеней в стационарных ящиках для голосования	4970	99	76	243	105	247	184	147	69	1452	171	118	121	129	87	590	606	197	139	190					
9	Число недействительных бюллетеней	49	2	0	9	0	3	0	0	0	14	0	0	1	3	0	6	6	1	1	3					
10	Число действительных бюллетеней	5744	134	84	268	137	335	202	200	86	1528	253	132	176	152	101	692	690	228	138	208					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	175	5	5	10	5	10	5	5	5	30	10	5	5	5	5	20	20	10	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	31	0	0	5	0	0	1	0	0	6	2	2	1	3	0	6	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	2	2	2	0	2	3	2	0	4	3	2	1	1	0	1	6	4	2	1					
14	Число погашенных открепительных удостоверений	144	5	5	5	5	10	4	5	5	24	8	3	4	2	5	14	15	10	5	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	69	1	2	1	3	3	8	5	0	18	6	2	1	0	1	6	3	0	3	6					
		1.19%	0.73%	2.38%	0.36%	2.18%	0.88%	3.96%	2.5%	0.0%	1.16%	2.37%	1.51%	0.56%	0.0%	0.99%	0.85%	0.43%	0.0%	2.15%	2.84%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	47	2	2	3	1	2	2	1	0	13	4	0	0	0	1	5	7	3	0	1					
		0.81%	1.47%	2.38%	1.08%	0.72%	0.59%	0.99%	0.5%	0.0%	0.84%	1.58%	0.0%	0.0%	0.0%	0.99%	0.71%	1.00%	1.31%	0.0%	0.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	132	4	5	12	4	10	6	6	0	34	5	3	6	8	1	8	13	4	1	2					
		2.27%	2.94%	5.95%	4.33%	2.91%	2.95%	2.97%	3.0%	0.0%	2.20%	1.97%	2.27%	3.38%	5.16%	0.99%	1.14%	1.86%	1.74%	0.71%	0.94%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	110	1	3	5	2	4	0	1	1	40	5	1	2	2	1	15	18	7	0	2					
