Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Озерская городская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29195	632	612	838	448	1942	2092	1329	1740	1032	1342	717	1147	1990	976	1736	985	250	950	998	1698	1227	1008	276	882	337	292	979	740									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20410	420	410	600	320	1370	1480	930	1210	730	950	500	800	1400	680	1220	680	170	670	700	1180	850	700	190	620	230	200	680	520									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8930	187	189	264	161	618	587	340	531	301	417	219	317	532	277	577	281	69	301	276	568	398	344	77	310	148	83	344	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	862	30	21	3	6	26	19	19	14	51	21	8	12	6	9	7	5	6	30	52	22	135	141	31	57	25	44	28	34									
6	Число погашенных избирательных бюллетеней	10613	203	200	333	153	726	874	568	665	378	512	273	471	862	394	636	394	95	339	372	590	315	215	82	253	57	73	308	272									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	862	30	21	3	6	26	19	19	14	51	21	8	12	6	9	7	5	6	30	52	22	135	141	31	57	25	44	28	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8925	186	189	264	160	618	587	340	531	298	417	219	317	532	277	577	281	69	301	276	568	398	344	77	310	148	83	344	214									
9	Число недействительных избирательных бюллетеней	400	16	10	19	8	26	21	12	37	23	11	16	12	22	12	18	7	4	22	9	29	10	10	2	11	5	2	13	13									
10	Число действительных избирательных бюллетеней	9387	200	200	248	158	618	585	347	508	326	427	211	317	516	274	566	279	71	309	319	561	523	475	106	356	168	125	359	235									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	525	15	15	15	15	30	25	20	30	20	20	20	20	30	20	25	20	10	15	15	20	20	15	10	20	10	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	170	0	2	3	2	12	15	6	8	4	16	3	6	20	3	9	6	0	4	10	11	5	2	0	6	3	2	2	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	205	32	12	2	2	9	9	2	5	1	4	7	6	10	13	4	8	12	6	3	2	10	9	5	7	11	3	2	9									
14	Число погашенных неиспользованных открепительных удостоверений	355	15	13	12	13	18	10	14	22	16	4	17	14	10	17	16	14	10	11	5	9	15	13	10	14	7	8	18	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	0	1	4	5	3	2	2	6	2	6	1	4	7	4	2	3	2	2	2	4	1	0	0	0	0	1	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	169	5	6	6	3	12	13	10	5	5	15	1	5	14	5	15	10	0	7	1	0	10	2	0	4	6	1	2	6									
		1.73%	2.31%	2.86%	2.25%	1.81%	1.86%	2.15%	2.79%	0.92%	1.43%	3.42%	0.44%	1.52%	2.60%	1.75%	2.57%	3.50%	0.00%	2.11%	0.30%	0.00%	1.88%	0.41%	0.00%	1.09%	3.47%	0.79%	0.54%	2.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	296	9	3	5	2	12	22	17	11	13	71	4	9	11	5	17	1	0	10	5	6	14	21	1	10	2	1	9	5									
		3.02%	4.17%	1.43%	1.87%	1.20%	1.86%	3.63%	4.74%	2.02%	3.72%	16.21%	1.76%	2.74%	2.04%	1.75%	2.91%	0.35%	0.00%	3.02%	1.52%	1.02%	2.63%	4.33%	0.93%	2.72%	1.16%	0.79%	2.42%	2.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	257	6	8	7	5	19	21	6	12	8	8	7	16	14	8	22	9	0	4	10	11	9	11	5	13	4	5	3	6									
		2.63%	2.78%	3.81%	2.62%	3.01%	2.95%	3.47%	1.67%	2.20%	2.29%	1.83%	3.08%	4.86%	2.60%	2.80%	3.77%	3.15%	0.00%	1.21%	3.05%	1.86%	1.69%	2.27%	4.63%	3.54%	2.31%	3.94%	0.81%	2.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4464	84	85	107	61	297	224	170	237	162	223	94	141	214	115	226	126	44	135	140	319	295	248	58	198	92	79	189	101									
		45.61%	38.89%	40.48%	40.07%	36.75%	46.12%	36.96%	47.35%	43.49%	46.42%	50.91%	41.41%	42.86%	39.78%	40.21%	38.70%	44.06%	58.67%	40.79%	42.68%	54.07%	55.35%	51.13%	53.70%	53.95%	53.18%	62.20%	50.81%	40.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	1	2	3	0	1	4	0	4	1	6	1	2	5	3	7	3	0	0	6	0	2	0	1	1	1	1	3	2									
		0.61%	0.46%	0.95%	1.12%	0.00%	0.16%	0.66%	0.00%	0.73%	0.29%	1.37%	0.44%	0.61%	0.93%	1.05%	1.20%	1.05%	0.00%	0.00%	1.83%	0.00%	0.38%	0.00%	0.93%	0.27%	0.58%	0.79%	0.81%	0.81%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	2	1									
		0.13%	0.00%	0.48%	0.00%	0.00%	0.00%	0.17%	0.28%	0.00%	0.29%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.54%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1602	38	29	41	33	104	102	45	91	60	61	49	55	91	55	105	43	9	44	62	92	82	73	13	60	30	15	66	54									
		16.37%	17.59%	13.81%	15.36%	19.88%	16.15%	16.83%	12.53%	16.70%	17.19%	13.93%	21.59%	16.72%	16.91%	19.23%	17.98%	15.03%	12.00%	13.29%	18.90%	15.59%	15.38%	15.05%	12.04%	16.35%	17.34%	11.81%	17.74%	21.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	74	1	0	0	1	5	9	1	4	1	4	3	3	7	4	7	4	2	3	3	0	1	3	0	2	4	0	0	2									
		0.76%	0.46%	0.00%	0.00%	0.60%	0.78%	1.49%	0.28%	0.73%	0.29%	0.91%	1.32%	0.91%	1.30%	1.40%	1.20%	1.40%	2.67%	0.91%	0.91%	0.00%	0.19%	0.62%	0.00%	0.54%	2.31%	0.00%	0.00%	0.81%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	87	1	8	1	2	6	8	1	2	1	3	0	2	8	2	6	2	2	4	1	0	4	8	3	4	0	2	3	3									
		0.89%	0.46%	3.81%	0.37%	1.20%	0.93%	1.32%	0.28%	0.37%	0.29%	0.68%	0.00%	0.61%	1.49%	0.70%	1.03%	0.70%	2.67%	1.21%	0.30%	0.00%	0.75%	1.65%	2.78%	1.09%	0.00%	1.57%	0.81%	1.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	2	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0									
