Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Троицкий административный округ																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №3370	УИК №3371	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380	УИК №3381	УИК №3382	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3433									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85729	3069	2474	2577	2348	2694	2193	2931	700	1521	2087	2066	2243	768	2221	2072	2201	1349	1175	1319	2540	2418	1708	2493	2780	2323	2282	2179	1941	1086	1858	1936	2271	2438	1629	2225	2506	2267	1866	1748	2322	760	1305	840									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74900	2700	2200	2000	2000	2300	1800	2600	500	1300	1800	1800	2000	600	1800	1700	1800	1100	1000	1100	2000	2100	1500	2300	2500	2000	2000	2000	1800	900	1600	1700	2000	2200	1500	2000	2300	2000	1700	1500	2000	1700	1000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33981	1102	1050	1248	915	1069	972	1282	316	659	776	811	818	244	1019	892	820	499	423	502	758	1162	554	685	840	831	827	747	788	432	699	783	838	949	632	988	1084	1012	743	742	827	742	519	382									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	990	22	20	57	21	12	11	57	15	15	31	22	36	8	40	32	31	13	14	16	84	114	18	17	15	15	17	17	10	5	2	11	18	21	18	7	17	11	31	16	20	18	12	3									
6	Число погашенных избирательных бюллетеней	39929	1576	1130	695	1064	1219	817	1261	169	626	993	967	1146	348	741	776	949	588	563	582	1158	824	928	1598	1645	1154	1156	1236	1002	463	899	906	1144	1230	850	1005	1199	977	926	742	1153	940	469	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	990	22	20	57	21	12	11	57	15	15	31	22	36	8	40	32	31	13	14	16	84	114	18	17	15	15	17	17	10	5	2	11	18	21	18	7	17	11	31	16	20	18	12	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33948	1102	1050	1244	915	1069	972	1280	316	659	774	811	818	236	1019	892	819	499	423	501	758	1159	554	685	840	831	827	746	786	432	699	782	837	948	631	983	1084	1012	743	742	827	742	519	382									
9	Число недействительных избирательных бюллетеней	778	40	18	29	26	33	21	26	8	18	10	25	24	1	27	14	25	6	13	6	17	45	8	12	19	18	13	24	14	4	10	11	16	28	15	17	23	16	12	24	23	21	15	3									
10	Число действительных избирательных бюллетеней	34160	1084	1052	1272	910	1048	962	1311	323	656	795	808	830	243	1032	910	825	506	424	511	825	1228	564	690	836	828	831	739	782	433	691	782	839	941	634	973	1078	1007	762	734	824	739	516	382									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1025	35	35	25	35	35	25	35	15	20	25	20	25	15	25	20	25	20	20	20	25	25	20	25	25	25	25	25	20	20	20	20	25	25	20	25	25	25	20	20	25	30	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	542	28	24	25	30	29	16	26	1	10	5	8	13	2	12	5	25	10	11	7	11	17	4	11	12	9	7	9	13	8	8	9	13	16	13	9	12	10	12	4	14	25	6	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1983	69	94	316	41	110	114	41	32	49	7	54	39	40	114	119	137	14	25	27	12	55	15	4	8	9	5	3	15	7	3	7	10	2	14	11	13	8	2	60	38	14	28	198									
14	Число погашенных неиспользованных открепительных удостоверений	483	7	11	0	5	6	9	9	14	10	20	12	12	13	13	15	0	10	9	13	14	8	16	14	13	16	18	16	7	12	12	11	12	9	7	16	13	15	8	16	11	5	14	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	5	9	2	0	0	0	7	0	3	3	4	1	0	0	0	1	0	0	0	1	9	1	2	5	7	2	7	5	0	2	2	6	0	1	2	2	2	2	2	3	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
