Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
"Наименование Избирательной комиссии:    Пермь, Кировская"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055					
1	"Число избирателей, внесенных в список избирателей"	102057	1507	1755	2181	2387	1741	1885	2333	1529	1900	2124	2191	2224	1172	1894	1689	1855	1528	1503	1999	1983	1628	1542	1742	2090	2095	1738	1695	2021	2172	1496	1740	2159	2420	2265	2625	2724	2135	1881	1695	1898	1021	2097	1800	1884	2589	1616	2641	2394	2370	2478	2834	580	339	186	87					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102100	1500	1800	2250	2350	1750	1850	2350	1550	1900	2150	2250	2250	1200	1900	1400	1850	1500	1500	1950	2000	1600	1500	1800	2100	2100	1750	1700	2050	2200	1400	1750	2150	2400	2300	2650	2700	2050	1800	1650	1900	1000	2050	1750	1800	2450	1550	2600	2450	2400	2450	2750	550	500	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47059	741	822	1111	1234	680	729	1068	774	929	917	1067	901	323	784	873	1012	661	790	794	1052	789	737	835	1038	1085	858	933	1008	1065	710	816	1046	1300	1013	1171	1179	1086	987	821	862	368	954	768	864	1167	727	1126	979	860	1018	1040	272	165	112	38					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1716	27	20	31	37	29	18	24	18	21	37	40	55	25	46	28	19	10	26	29	34	36	37	55	50	47	28	23	29	40	40	25	22	32	27	52	16	20	8	11	9	4	30	29	16	24	16	23	23	39	27	60	3	136	62	43					
6	Число погашенных избирательных бюллетеней	53323	732	958	1108	1079	1040	1103	1258	758	950	1196	1143	1294	852	1070	499	819	829	684	1127	914	774	726	910	1012	968	864	744	1013	1095	650	909	1082	1068	1260	1427	1505	944	805	818	1029	628	1066	953	920	1259	807	1451	1448	1501	1405	1650	275	199	326	419					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1716	27	20	31	37	29	18	24	18	21	37	40	55	25	46	28	19	10	26	29	34	36	37	55	50	47	28	23	29	40	40	25	22	32	27	52	16	20	8	11	9	4	30	29	16	24	16	23	23	39	27	60	3	136	62	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46921	741	820	1111	1232	680	729	1068	772	929	917	1066	901	323	784	873	1010	661	790	792	1050	789	737	834	1038	1085	858	933	1008	1063	710	816	1046	1298	1013	1170	1179	1086	987	821	862	367	954	768	864	1167	610	1126	979	859	1018	1040	272	165	112	38					
9	Число недействительных избирательных бюллетеней	1293	18	20	27	28	18	29	36	36	25	30	36	28	8	20	23	17	28	18	16	17	27	14	25	22	26	21	34	28	31	18	22	27	32	20	30	18	21	31	14	20	15	30	33	19	45	16	27	22	27	34	36	11	10	7	2					
10	Число действительных избирательных бюллетеней	47344	750	820	1115	1241	691	718	1056	754	925	924	1070	928	340	810	878	1012	643	798	805	1067	798	760	864	1066	1106	865	922	1009	1072	732	819	1041	1298	1020	1192	1177	1085	964	818	851	356	954	764	861	1146	610	1122	980	871	1011	1064	264	291	167	79					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1490	20	25	37	25	25	25	34	20	25	35	25	25	20	25	30	35	25	20	40	30	30	20	31	25	40	25	28	45	25	20	25	32	38	33	30	60	30	25	25	25	20	25	25	25	30	25	30	35	32	30	40	15	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1299	14	25	34	22	20	14	32	20	18	32	24	20	12	19	28	27	21	18	29	29	22	17	27	21	30	24	19	45	25	20	19	31	36	28	27	55	30	23	24	20	12	25	22	19	25	24	30	33	32	27	37	12	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1183	5	7	11	14	12	7	20	13	6	11	12	4	1	8	5	10	9	9	12	8	6	4	4	10	10	7	19	21	6	7	12	8	22	11	14	31	102	85	65	15	8	55	61	68	64	63	19	23	24	46	68	6	14	14	7					
14	Число погашенных неиспользованных открепительных удостоверений	191	6	0	3	3	5	11	2	0	7	3	1	5	8	6	2	8	4	2	11	1	8	3	4	4	10	1	9	0	0	0	6	1	2	5	3	5	0	2	1	5	8	0	3	6	5	1	0	2	0	3	3	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8723	140	149	194	191	115	96	183	138	163	157	176	147	49	162	105	201	125	143	138	194	173	160	158	221	228	163	218	206	214	146	163	199	270	185	239	234	179	223	168	183	70	176	116	159	184	21	220	178	177	193	187	48	51	33	14					
		17.93%	18.23%	17.74%	16.99%	15.05%	16.22%	12.85%	16.76%	17.47%	17.16%	16.46%	15.91%	15.38%	14.08%	19.52%	11.65%	19.53%	18.63%	17.52%	16.81%	17.90%	20.97%	20.67%	17.77%	20.31%	20.14%	18.40%	22.80%	19.86%	19.40%	19.47%	19.38%	18.63%	20.30%	17.79%	19.56%	19.58%	16.18%	22.41%	20.19%	21.01%	18.87%	17.89%	14.55%	18.07%	15.45%	3.35%	19.15%	17.76%	19.71%	18.47%	17.00%	17.45%	16.94%	18.97%	17.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7854	124	144	191	208	140	146	197	137	154	159	190	182	65	106	142	135	94	106	140	169	123	96	121	161	174	127	142	175	176	133	136	153	204	165	160	214	170	141	122	157	77	155	149	138	156	115	211	198	150	191	172	63	54	30	16					
		16.15%	16.15%	17.14%	16.73%	16.39%	19.75%	19.54%	18.04%	17.34%	16.21%	16.67%	17.18%	19.04%	18.68%	12.77%	15.76%	13.12%	14.01%	12.99%	17.05%	15.59%	14.91%	12.40%	13.61%	14.80%	15.37%	14.33%	14.85%	16.88%	15.96%	17.73%	16.17%	14.33%	15.34%	15.87%	13.09%	17.91%	15.37%	14.17%	14.66%	18.03%	20.75%	15.75%	18.70%	15.68%	13.10%	18.37%	18.36%	19.76%	16.70%	18.28%	15.64%	22.91%	17.94%	17.24%	19.75%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	469	11	5	6	12	7	8	6	3	13	4	11	5	1	4	13	7	8	5	12	23	10	3	9	8	5	12	10	13	7	3	7	14	6	7	15	10	16	6	7	8	4	8	13	7	18	10	10	8	12	12	16	4	3	2	2					
		0.96%	1.43%	0.60%	0.53%	0.95%	0.99%	1.07%	0.55%	0.38%	1.37%	0.42%	0.99%	0.52%	0.29%	0.48%	1.44%	0.68%	1.19%	0.61%	1.46%	2.12%	1.21%	0.39%	1.01%	0.74%	0.44%	1.35%	1.05%	1.25%	0.63%	0.40%	0.83%	1.31%	0.45%	0.67%	1.23%	0.84%	1.45%	0.60%	0.84%	0.92%	1.08%	0.81%	1.63%	0.80%	1.51%	1.60%	0.87%	0.80%	1.34%	1.15%	1.45%	1.45%	0.99%	1.15%	2.47%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12770	201	204	289	340	185	192	298	188	243	263	295	231	67	242	195	315	201	285	191	360	234	240	270	308	295	254	255	267	301	152	234	322	339	260	301	303	297	262	233	209	82	250	170	220	302	196	268	236	227	275	236	51	73	46	17					
		26.26%	26.17%	24.29%	25.31%	26.79%	26.09%	25.70%	27.29%	23.80%	25.58%	27.57%	26.67%	24.16%	19.25%	29.16%	21.64%	30.61%	29.96%	34.93%	23.26%	33.21%	28.36%	31.01%	30.37%	28.31%	26.06%	28.67%	26.67%	25.75%	27.29%	20.27%	27.82%	30.15%	25.49%	25.00%	24.63%	25.36%	26.85%	26.33%	28.00%	23.99%	22.10%	25.41%	21.33%	25.00%	25.36%	31.31%	23.32%	23.55%	25.28%	26.32%	21.45%	18.55%	24.25%	26.44%	20.99%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2602	19	30	59	62	30	25	44	18	19	36	47	27	13	43	32	78	60	44	52	67	41	55	29	49	83	80	41	79	52	31	40	75	94	54	63	91	60	59	59	56	26	43	43	66	72	36	67	78	47	45	59	2	10	8	4					
		5.35%	2.47%	3.57%	5.17%	4.89%	4.23%	3.35%	4.03%	2.28%	2.00%	3.77%	4.25%	2.82%	3.74%	5.18%	3.55%	7.58%	8.94%	5.39%	6.33%	6.18%	4.97%	7.11%	3.26%	4.50%	7.33%	9.03%	4.29%	7.62%	4.71%	4.13%	4.76%	7.02%	7.07%	5.19%	5.16%	7.62%	5.42%	5.93%	7.09%	6.43%	7.01%	4.37%	5.40%	7.50%	6.05%	5.75%	5.83%	7.78%	5.23%	4.31%	5.36%	0.73%	3.32%	4.60%	4.94%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14477	244	278	362	417	208	250	319	262	323	299	337	324	141	245	381	267	148	208	262	245	215	197	270	313	305	220	246	257	310	263	233	267	372	339	402	316	356	262	223	232	92	317	270	262	406	224	336	272	251	288	384	95	94	43	25					
		29.77%	31.77%	33.10%	31.70%	32.86%	29.34%	33.47%	29.21%	33.16%	34.00%	31.34%	30.47%	33.89%	40.52%	29.52%	42.29%	25.95%	22.06%	25.49%	31.91%	22.60%	26.06%	25.45%	30.37%	28.77%	26.94%	24.83%	25.73%	24.78%	28.11%	35.07%	27.71%	25.00%	27.97%	32.60%	32.90%	26.44%	32.19%	26.33%	26.80%	26.64%	24.80%	32.22%	33.88%	29.77%	34.09%	35.78%	29.24%	27.15%	27.95%	27.56%	34.91%	34.55%	31.23%	24.71%	30.86%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	449	11	10	14	11	6	1	9	8	10	6	14	12	4	8	10	9	7	7	10	9	2	9	7	6	16	9	10	12	12	4	6	11	13	10	12	9	7	11	6	6	5	5	3	9	8	8	10	10	7	7	10	1	6	5	1					
		0.92%	1.43%	1.19%	1.23%	0.87%	0.85%	0.13%	0.82%	1.01%	1.05%	0.63%	1.27%	1.26%	1.15%	0.96%	1.11%	0.87%	1.04%	0.86%	1.22%	0.83%	0.24%	1.16%	0.79%	0.55%	1.41%	1.02%	1.05%	1.16%	1.09%	0.53%	0.71%	1.03%	0.98%	0.96%	0.98%	0.75%	0.63%	1.11%	0.72%	0.69%	1.35%	0.51%	0.38%	1.02%	0.67%	1.28%	0.87%	0.99%	0.78%	0.67%	0.91%	0.36%	1.99%	2.87%	1.23%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
