Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Александрово-Заводская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486					
1	"Число избирателей, внесенных в список"	7291	1786	73	352	295	215	140	166	138	149	109	187	181	123	353	280	156	156	640	221	173	54	206	170	366	330	81	191					
2	Число полученных избирательных бюллетеней	7123	1636	72	352	295	215	135	165	135	150	110	200	180	122	350	275	160	156	640	220	175	55	210	170	360	325	75	185					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4465	921	39	278	212	150	116	103	78	122	61	110	131	79	284	158	98	95	323	123	103	54	104	101	199	222	54	147					
5	"Число избирательных бюллетеней, выданных вне помещения"	462	36	1	0	13	0	0	13	6	10	10	21	15	10	0	36	15	13	77	17	22	0	40	14	18	55	6	14					
6	Число погашенных избирательных бюллетеней	2196	679	32	74	70	65	19	49	51	18	39	69	34	33	66	81	47	48	240	80	50	1	66	55	143	48	15	24					
7	Число избирательных бюллетеней в переносных ящиках	462	36	1	0	13	0	0	13	6	10	10	21	15	10	0	36	15	13	77	17	22	0	40	14	18	55	6	14					
8	Число бюллетеней в стационарных ящиках для голосования	4465	921	39	278	212	150	116	103	78	122	61	110	131	79	284	158	98	95	323	123	103	54	104	101	199	222	54	147					
9	Число недействительных избирательных бюллетеней	58	9	0	0	4	1	1	0	3	1	1	3	0	0	3	1	1	1	6	4	1	0	0	4	9	1	3	1					
10	Число действительных избирательных бюллетеней	4869	948	40	278	221	149	115	116	81	131	70	128	146	89	281	193	112	107	394	136	124	54	144	111	208	276	57	160					
11	Число полученных открепительных  удостоверений	98	35	2	4	3	3	2	2	2	2	2	3	2	2	3	3	2	2	6	2	2	1	2	2	3	2	2	2					
12	Число выданных открепительных удостоверений	34	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	1	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	4	1	1	2	0	2	1	1	1	0	0	0	1	3	1	0	0	2	1	0	0	1	1	2	1	1	3					
14	Число неиспользованных открепительных удостоверений	64	10	2	4	3	3	2	2	2	2	2	3	2	2	3	2	2	2	3	2	2	1	1	2	2	1	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	108	17	0	4	2	3	1	2	2	0	0	0	5	0	7	3	5	1	14	5	8	3	2	12	2	1	0	9					
		2.19%	1.78%	0.00%	1.44%	0.89%	2.00%	0.86%	1.72%	2.38%	0.00%	0.00%	0.00%	3.42%	0.00%	2.46%	1.55%	4.42%	0.93%	3.50%	3.57%	6.40%	5.56%	1.39%	10.43%	0.92%	0.36%	0.00%	5.59%					
19	. Малышкин Олег Александрович	138	25	2	3	0	3	2	1	1	2	2	2	7	4	7	3	6	7	13	2	13	0	10	8	4	5	0	6					
		2.80%	2.61%	5.00%	1.08%	0.00%	2.00%	1.72%	0.86%	1.19%	1.52%	2.82%	1.53%	4.79%	4.49%	2.46%	1.55%	5.31%	6.48%	3.25%	1.43%	10.40%	0.00%	6.94%	6.96%	1.84%	1.81%	0.00%	3.73%					
20	. Миронов Сергей Михайлович	52	8	0	3	2	2	0	0	1	1	0	1	0	3	5	4	0	3	3	1	1	0	0	0	5	2	1	6					
		1.06%	0.84%	0.00%	1.08%	0.89%	1.33%	0.00%	0.00%	1.19%	0.76%	0.00%	0.76%	0.00%	3.37%	1.76%	2.06%	0.00%	2.78%	0.75%	0.71%	0.80%	0.00%	0.00%	0.00%	2.30%	0.72%	1.67%	3.73%					
21	. Путин Владимир Владимирович	3628	745	37	213	186	115	104	77	58	93	56	98	102	67	215	144	84	59	257	102	55	49	95	70	169	223	48	107					
		73.64%	77.85%	92.50%	76.62%	82.67%	76.67%	89.66%	66.38%	69.05%	70.45%	78.87%	74.81%	69.86%	75.28%	75.70%	74.23%	74.34%	54.63%	64.25%	72.86%	44.00%	90.74%	65.97%	60.87%	77.88%	80.51%	80.00%	66.46%					
22	. Хакамада Ирина Муцуовна	66	10	0	2	2	3	2	1	1	8	0	0	3	2	2	1	1	4	5	1	3	0	3	2	1	3	2	4					
		1.34%	1.04%	0.00%	0.72%	0.89%	2.00%	1.72%	0.86%	1.19%	6.06%	0.00%	0.00%	2.05%	2.25%	0.70%	0.52%	0.88%	3.70%	1.25%	0.71%	2.40%	0.00%	2.08%	1.74%	0.46%	1.08%	3.33%	2.48%					
23	. Харитонов Николай Михайлович	807	130	0	44	26	22	6	35	15	23	12	27	26	13	44	34	14	32	93	24	42	2	28	18	26	40	6	25					
		16.38%	13.58%	0.00%	15.83%	11.56%	14.67%	5.17%	30.17%	17.86%	17.42%	16.90%	20.61%	17.81%	14.61%	15.49%	17.53%	12.39%	29.63%	23.25%	17.14%	33.60%	3.70%	19.44%	15.65%	11.98%	14.44%	10.00%	15.53%					
																																		
24	Против всех	70	13	1	9	3	1	0	0	3	4	0	0	3	0	1	4	2	1	9	1	2	0	6	1	1	2	0	3					
		1.42%	1.36%	2.50%	3.24%	1.33%	0.67%	0.00%	0.00%	3.57%	3.03%	0.00%	0.00%	2.05%	0.00%	0.35%	2.06%	1.77%	0.93%	2.25%	0.71%	1.60%	0.00%	4.17%	0.87%	0.46%	0.72%	0.00%	1.86%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
