Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Светловская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22564	1581	1329	1319	1376	1635	1608	1342	1557	1387	1532	1343	1515	1796	1618	1626									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21800	1500	1300	1300	1300	1500	1600	1300	1500	1300	1500	1300	1500	1700	1600	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9985	765	616	540	657	752	762	573	726	569	751	581	607	778	592	716									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	173	14	11	13	11	1	3	15	15	10	5	11	14	14	23	13									
6	Число погашенных избирательных бюллетеней	11642	721	673	747	632	747	835	712	759	721	744	708	879	908	985	871									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	173	14	11	13	11	1	3	15	15	10	5	11	14	14	23	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9978	765	616	540	657	750	762	572	726	569	751	581	606	775	592	716									
9	Число недействительных избирательных бюллетеней	294	20	17	20	29	24	18	15	15	22	26	19	24	16	13	16									
10	Число действительных избирательных бюллетеней	9857	759	610	533	639	727	747	572	726	557	730	573	596	773	602	713									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	90	4	1	5	5	10	9	3	5	8	8	8	4	6	2	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	3	1	2	3	2	5	4	3	0	1	2	6	18	6	2									
14	Число погашенных неиспользованных открепительных удостоверений	135	11	14	10	10	5	6	12	10	7	7	7	11	9	13	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	0	4	3	1	6	4	5	5	6	2	2	3	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	181	10	11	9	11	9	17	5	16	10	16	12	10	10	22	13									
		1.78%	1.28%	1.75%	1.63%	1.65%	1.20%	2.22%	0.85%	2.16%	1.73%	2.12%	2.03%	1.61%	1.27%	3.58%	1.78%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	356	28	21	21	27	32	31	16	29	18	32	28	19	20	14	20									
		3.51%	3.59%	3.35%	3.80%	4.04%	4.26%	4.05%	2.73%	3.91%	3.11%	4.23%	4.73%	3.06%	2.53%	2.28%	2.74%									
