Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Предгорная																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025					
1	"Число избирателей, внесенных в списки"	73804	2638	2948	1362	2867	2693	2858	2996	2886	2739	3009	696	1062	531	2829	2625	2853	1202	842	1922	1560	339	244	240	2991	2401	2068	1100	1177	573	2764	1311	765	293	101	528	708	1098	852	1652	2891	1923	1370	2109	1188					
2	"Число бюллетеней, полученных участковыми комиссиями"	71809	2574	2821	1336	2795	2635	2767	2904	2824	2647	2898	784	1058	554	2776	2550	2837	1148	826	1898	1531	333	239	244	2884	2258	1959	1046	1144	559	2653	1245	727	277	94	524	684	1066	824	1608	2868	1868	1321	2051	1170					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29386	1009	1276	523	1120	955	815	1120	1110	869	989	361	448	224	1370	1287	1163	612	460	918	795	187	125	112	1201	761	746	330	570	307	815	455	367	106	56	294	259	355	181	759	1197	744	442	998	595					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2910	164	70	53	117	250	29	69	52	58	74	0	107	0	21	172	234	95	22	21	16	0	10	18	80	159	18	170	53	25	89	17	24	29	4	18	63	60	191	16	60	28	63	73	18					
6	Число погашенных бюллетеней	39513	1401	1475	760	1558	1430	1923	1715	1662	1720	1835	423	503	330	1385	1091	1440	441	344	959	720	146	104	114	1603	1338	1195	546	521	227	1749	773	336	142	34	212	362	651	452	833	1611	1096	816	980	557					
7	Число бюллетеней в переносных ящиках для голосования	2910	164	70	53	117	250	29	69	52	58	74	0	107	0	21	172	234	95	22	21	16	0	10	18	80	159	18	170	53	25	89	17	24	29	4	18	63	60	191	16	60	28	63	73	18					
8	Число бюллетеней в стационарных ящиках для голосования	29373	1009	1276	523	1120	955	815	1120	1110	869	989	361	448	224	1365	1281	1163	612	460	916	795	187	125	112	1201	761	746	330	570	307	815	455	367	106	56	294	259	355	181	759	1197	744	442	998	595					
9	Число недействительных бюллетеней	494	20	27	5	17	12	13	22	13	0	20	13	2	1	20	29	20	7	11	12	10	5	3	1	8	10	19	3	10	9	15	13	7	9	0	4	0	11	12	12	7	21	20	15	6					
10	Число действительных бюллетеней	31789	1153	1319	571	1220	1193	831	1167	1149	927	1043	348	553	223	1366	1424	1377	700	471	925	801	182	132	129	1273	910	745	497	613	323	889	459	384	126	60	308	322	404	360	763	1250	751	485	1056	607					
