Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Анивская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №361	УИК №362	УИК №363	УИК №367									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13538	1223	852	172	231	236	345	213	1099	668	329	130	2119	1456	1205	298	323	1198	1322	119									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12470	1050	700	150	200	200	300	200	1050	650	300	120	1800	1450	1200	300	300	1100	1300	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5627	488	190	74	84	118	171	101	351	269	152	69	1259	603	489	88	125	412	533	51									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	224	7	3	3	0	8	5	1	8	38	19	2	45	25	7	10	17	6	12	8									
6	Число погашенных избирательных бюллетеней	6619	555	507	73	116	74	124	98	691	343	129	49	496	822	704	202	158	682	755	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	224	7	3	3	0	8	5	1	8	38	19	2	45	25	7	10	17	6	12	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5627	488	190	74	84	118	171	101	351	269	152	69	1259	603	489	88	125	412	533	51									
9	Число недействительных избирательных бюллетеней	141	15	3	0	5	9	3	4	6	3	2	6	31	12	15	2	0	8	17	0									
10	Число действительных избирательных бюллетеней	5710	480	190	77	79	117	173	98	353	304	169	65	1273	616	481	96	142	410	528	59									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	25	9	3	3	5	5	3	30	15	5	5	30	20	25	4	5	20	15	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	72	2	5	2	1	0	1	1	4	10	3	2	12	11	5	1	0	6	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	2	3	2	3	1	0	1	6	3	2	3	9	4	2	1	0	7	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	158	23	4	1	2	5	4	2	26	5	2	3	18	9	20	3	5	14	9	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	1	0	1	0	0	3	0	2	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	85	9	2	1	0	2	0	2	5	2	1	0	26	3	16	1	0	8	5	2									
		1.45%	1.82%	1.04%	1.30%	0.00%	1.59%	0.00%	1.96%	1.39%	0.65%	0.58%	0.00%	1.99%	0.48%	3.23%	1.02%	0.00%	1.91%	0.92%	3.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	172	14	6	0	6	0	15	5	11	4	9	1	29	21	11	5	6	13	13	3									
		2.94%	2.83%	3.11%	0.00%	7.14%	0.00%	8.52%	4.90%	3.06%	1.30%	5.26%	1.41%	2.22%	3.34%	2.22%	5.10%	4.23%	3.11%	2.39%	5.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	155	15	10	3	2	5	3	1	20	6	6	0	21	19	10	1	3	15	12	3									
		2.65%	3.03%	5.18%	3.90%	2.38%	3.97%	1.70%	0.98%	5.57%	1.95%	3.51%	0.00%	1.61%	3.03%	2.02%	1.02%	2.11%	3.59%	2.20%	5.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2787	215	72	36	41	47	90	48	122	138	72	38	768	279	243	46	71	193	241	27									
		47.63%	43.43%	37.31%	46.75%	48.81%	37.30%	51.14%	47.06%	33.98%	44.95%	42.11%	53.52%	58.90%	44.43%	48.99%	46.94%	50.00%	46.17%	44.22%	45.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	6	1	0	0	1	1	1	3	2	1	0	11	6	1	0	1	3	4	0									
		0.72%	1.21%	0.52%	0.00%	0.00%	0.79%	0.57%	0.98%	0.84%	0.65%	0.58%	0.00%	0.84%	0.96%	0.20%	0.00%	0.70%	0.72%	0.73%	0.00%									
