Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Арсеньевская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9692	2123	1985	305	182	351	334	122	133	248	238	151	222	137	171	274	237	484	268	215	191	713	608									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9600	2000	2000	300	180	360	340	130	140	250	230	150	220	140	170	290	230	500	280	200	190	700	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4043	899	765	81	77	113	139	50	40	96	119	61	77	59	67	128	82	222	116	94	65	365	328									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	858	143	136	81	22	71	43	12	9	16	20	14	31	15	19	41	28	38	35	33	27	13	11									
6	Число погашенных избирательных бюллетеней	4699	958	1099	138	81	176	158	68	91	138	91	75	112	66	84	121	120	240	129	73	98	322	261									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	858	143	136	81	22	71	43	12	9	16	20	14	31	15	19	41	28	38	35	33	27	13	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4043	899	765	81	77	113	139	50	40	96	119	61	77	59	67	128	82	222	116	94	65	365	328									
9	Число недействительных избирательных бюллетеней	64	22	12	1	0	4	0	1	1	4	0	0	1	0	1	1	0	3	2	0	0	4	7									
10	Число действительных избирательных бюллетеней	4837	1020	889	161	99	180	182	61	48	108	139	75	107	74	85	168	110	257	149	127	92	374	332									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	340	60	45	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	17	8	10	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	233	52	43	4	1	7	7	10	7	5	4	5	4	8	5	10	0	10	17	5	1	10	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	79	18	11	2	0	2	2	1	1	2	2	2	1	1	3	2	2	1	3	4	3	10	6									
14	Число погашенных неиспользованных открепительных удостоверений	107	8	2	6	9	3	3	0	3	5	6	5	6	2	5	0	10	0	0	3	9	15	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	10	2	1	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	1	0	7	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	30	8	0	0	5	1	2	0	0	1	0	1	2	0	3	1	6	0	0	3	7	8									
		1.59%	2.88%	0.89%	0.00%	0.00%	2.72%	0.55%	3.23%	0.00%	0.00%	0.72%	0.00%	0.93%	2.70%	0.00%	1.78%	0.91%	2.31%	0.00%	0.00%	3.26%	1.85%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	160	31	44	4	4	5	5	1	0	3	4	3	1	4	2	5	2	8	4	3	2	15	10									
		3.26%	2.98%	4.88%	2.47%	4.04%	2.72%	2.75%	1.61%	0.00%	2.68%	2.88%	4.00%	0.93%	5.41%	2.33%	2.96%	1.82%	3.08%	2.65%	2.36%	2.17%	3.97%	2.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	95	25	20	0	1	4	4	1	1	2	6	1	1	2	1	2	1	4	4	3	1	6	5									
		1.94%	2.40%	2.22%	0.00%	1.01%	2.17%	2.20%	1.61%	2.04%	1.79%	4.32%	1.33%	0.93%	2.70%	1.16%	1.18%	0.91%	1.54%	2.65%	2.36%	1.09%	1.59%	1.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2866	553	469	108	76	109	116	47	28	74	84	55	72	41	48	102	72	168	96	79	63	211	195									
		58.48%	53.07%	52.05%	66.67%	76.77%	59.24%	63.74%	75.81%	57.14%	66.07%	60.43%	73.33%	66.67%	55.41%	55.81%	60.36%	65.45%	64.62%	63.58%	62.20%	68.48%	55.82%	57.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	5	6	1	1	3	3	0	1	1	1	0	0	1	0	1	0	0	0	0	0	4	0									
		0.57%	0.48%	0.67%	0.62%	1.01%	1.63%	1.65%	0.00%	2.04%	0.89%	0.72%	0.00%	0.00%	1.35%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0									
		0.14%	0.00%	0.11%	0.00%	1.01%	0.00%	0.55%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.38%	0.00%	0.00%	0.00%	0.26%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	796	183	171	16	7	37	36	6	7	3	26	4	11	10	15	22	20	26	28	23	7	70	68									
		16.24%	17.56%	18.98%	9.88%	7.07%	20.11%	19.78%	9.68%	14.29%	2.68%	18.71%	5.33%	10.19%	13.51%	17.44%	13.02%	18.18%	10.00%	18.54%	18.11%	7.61%	18.52%	20.06%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	4	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2									
		0.27%	0.38%	0.22%	0.00%	0.00%	1.09%	0.55%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.59%									
