Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Называевская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701					
1	"Число избирателей, внесенных в список"	21731	1168	1166	1782	935	750	1260	1425	956	474	103	134	101	102	666	42	66	95	45	460	242	472	93	154	118	364	33	91	218	342	96	31	62	48	581	122	179	169	448	80	58	307	83	984	34	84	157	75	59	322	52	80	65	32	498	104	81	46	73	198	125	356	67	99	41	32	439	187	151	170	450	345	94	110					
2	Число полученных избирательных бюллетеней	21771	1100	1100	1780	930	750	1320	1450	930	480	105	133	107	101	660	43	71	96	47	470	240	465	94	159	119	350	36	91	210	340	97	39	63	48	580	124	175	173	455	84	62	298	83	990	35	87	157	75	61	329	53	77	66	34	525	102	82	46	75	200	132	358	67	100	43	35	445	191	153	175	455	350	98	117					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15473	602	777	1029	597	471	627	646	526	300	97	123	90	96	505	42	66	93	45	322	193	401	83	138	109	312	33	87	193	307	93	26	53	43	470	115	165	147	368	68	52	269	73	804	34	84	128	73	58	291	45	70	58	32	372	88	69	41	59	163	117	327	63	90	36	27	344	144	107	140	343	256	72	86					
5	"Число избирательных бюллетеней, выданных вне помещения"	1174	107	66	151	72	41	76	129	55	39	0	0	3	0	46	0	0	0	0	42	22	18	3	7	0	16	0	0	0	0	0	0	0	0	32	0	0	0	20	0	3	9	0	8	0	0	0	0	1	0	0	3	0	0	28	4	0	1	0	10	0	0	0	0	0	0	24	19	13	13	54	22	10	7					
6	Число погашенных избирательных бюллетеней	5124	391	257	600	261	238	617	675	349	141	8	10	14	5	109	1	5	3	2	106	25	46	8	14	10	22	3	4	17	33	4	13	10	5	78	9	10	26	67	16	7	20	10	178	1	3	29	2	2	38	8	4	8	2	125	10	13	4	16	27	15	31	4	10	7	8	77	28	33	22	58	72	16	24					
7	Число избирательных бюллетеней в переносных ящиках	1174	107	66	151	72	41	76	129	55	39	0	0	3	0	46	0	0	0	0	42	22	18	3	7	0	16	0	0	0	0	0	0	0	0	32	0	0	0	20	0	3	9	0	8	0	0	0	0	1	0	0	3	0	0	28	4	0	1	0	10	0	0	0	0	0	0	24	19	13	13	54	22	10	7					
8	Число бюллетеней в стационарных ящиках для голосования	15473	602	777	1029	597	471	627	646	526	300	97	123	90	96	505	42	66	93	45	322	193	401	83	138	109	312	33	87	193	307	93	26	53	43	470	115	165	147	368	68	52	269	73	804	34	84	128	73	58	291	45	70	58	32	372	88	69	41	59	163	117	327	63	90	36	27	344	144	107	140	343	256	72	86					
9	Число недействительных избирательных бюллетеней	132	20	7	6	0	6	12	8	7	1	2	2	0	0	2	0	0	0	0	4	0	9	0	5	0	1	0	0	2	2	0	0	0	1	0	0	0	0	5	0	1	5	0	5	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	6	0	0	0	0	1	0	1	1	0	3	0	0					
10	Число действительных избирательных бюллетеней	16515	689	836	1174	669	506	691	767	574	338	95	121	93	96	549	42	66	93	45	360	215	410	86	140	109	327	33	87	191	305	93	26	53	42	502	115	165	147	383	68	54	273	73	807	34	84	128	73	59	291	45	73	58	32	394	91	69	42	59	173	117	321	63	90	36	27	367	163	119	152	397	275	82	93					
