Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Октябрьская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108					
1	"Число избирателей, внесенных в список"	76910	628	1401	2130	2077	2011	1948	2013	2025	2351	2488	544	1740	2263	2156	2113	2020	2319	2254	2096	2066	1367	966	2346	2366	2157	2283	2138	2357	2363	2461	2324	2414	1981	2076	2147	2001	2222	949	1349					
2	Число полученных избирательных бюллетеней	76000	612	1358	2179	2071	2038	1957	2017	1995	2107	2381	558	1721	2262	2144	2121	2031	2250	2255	2101	2078	1375	978	2221	2351	2108	2234	2151	2299	2365	2424	2266	2382	1982	2067	2108	1989	2183	910	1371					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	65486	475	1222	1962	1818	1760	1646	1870	1739	1965	1700	544	1392	1934	1751	1778	1655	1985	2036	1800	1783	1207	804	2006	2021	1812	1950	1794	2060	2033	2111	2000	2058	1744	1839	1789	1719	1832	769	1123					
5	"Число избирательных бюллетеней, выданных вне помещения"	1558	66	28	30	47	29	29	33	43	57	83	0	97	48	73	38	64	10	39	79	31	27	29	12	39	46	10	58	4	26	5	22	22	30	15	68	19	79	48	75					
6	Число погашенных избирательных бюллетеней	8956	71	108	187	206	249	282	114	213	85	598	14	232	280	320	305	312	255	180	222	264	141	145	203	291	250	274	299	235	306	308	244	302	208	213	251	251	272	93	173					
7	Число избирательных бюллетеней в переносных ящиках	1558	66	28	30	47	29	29	33	43	57	83	0	97	48	73	38	64	10	39	79	31	27	29	12	39	46	10	58	4	26	5	22	22	30	15	68	19	79	48	75					
8	Число бюллетеней в стационарных ящиках для голосования	65486	475	1222	1962	1818	1760	1646	1870	1739	1965	1700	544	1392	1934	1751	1778	1655	1985	2036	1800	1783	1207	804	2006	2021	1812	1950	1794	2060	2033	2111	2000	2058	1744	1839	1789	1719	1832	769	1123					
9	Число недействительных избирательных бюллетеней	233	0	0	2	0	6	6	7	0	5	5	0	0	10	6	12	18	0	4	15	5	3	0	0	0	44	7	4	10	0	0	0	0	7	15	11	2	27	2	0					
10	Число действительных избирательных бюллетеней	66811	541	1250	1990	1865	1783	1669	1896	1782	2017	1778	544	1489	1972	1818	1804	1701	1995	2071	1864	1809	1231	833	2018	2060	1814	1953	1848	2054	2059	2116	2022	2080	1767	1839	1846	1736	1884	815	1198					
