Выборы Президента Российской Федерации																																																																																						
Дата голосования: 18.03.2018																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																																						
																																																																																						
Сводная таблица итогов голосования																																																																																						
																																																																																						
	Число участковых избирательных комиссий	75																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																				
																																																																																						
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260									
1	"Число избирателей, включенных в список избирателей"	171013	2058	1706	1869	2011	2149	2418	1733	1639	2064	1878	1967	2083	2124	2316	2159	1866	1958	2127	2157	2296	2286	2259	2496	2204	2374	2493	2501	2320	2141	2386	2276	2171	1647	2697	2503	2567	2167	2276	2263	2427	2188	2778	2072	2256	2024	2195	2157	2023	2594	2727	2382	2454	2482	2204	2591	2853	2104	2269	2651	2539	2721	2771	1624	2376	3168	2037	2697	3096	2992	2820	2996	682	82	3271	3105									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	155280	1800	1600	1700	1800	1900	2300	1500	1500	1900	1700	1800	1900	2000	2100	1900	1700	1800	2000	2000	2100	2100	2100	2300	2000	2200	2300	2300	2100	2000	2100	2100	2000	1500	2400	2300	2300	1900	2100	2100	2200	1900	2500	1900	2100	1900	2000	1900	1900	2400	2500	2200	2300	2300	2000	2200	2600	1900	2100	2500	2400	2500	2500	1500	2200	2600	1900	2500	2700	2600	2500	2700	680	100	2800	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	103196	1230	945	1285	1105	1134	1328	968	834	1088	1312	941	1375	1242	1405	1307	1101	1184	1233	1282	1336	1437	1333	1491	1334	1351	1747	1595	1537	1381	1467	1489	1350	1028	1991	1475	1464	1313	1394	1525	1532	1387	1691	1130	1371	1306	1339	1242	1223	1733	1773	1553	1519	1496	1258	1647	1584	1263	1361	1621	1601	1472	1586	979	1666	1874	1242	1446	1881	1732	1580	1681	471	0	1802	1817									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2711	55	37	21	46	55	38	85	28	23	55	33	60	36	32	37	53	21	42	33	60	31	56	51	31	44	27	39	61	27	35	26	39	21	71	42	39	23	32	15	17	33	23	24	29	13	37	14	12	36	44	40	42	34	43	31	9	18	35	28	20	27	23	12	17	7	28	28	29	35	26	24	204	82	9	18									
6	Число погашенных избирательных бюллетеней	49373	515	618	394	649	711	934	447	638	789	333	826	465	722	663	556	546	595	725	685	704	632	711	758	635	805	526	666	502	592	598	585	611	451	338	783	797	564	674	560	651	480	786	746	700	581	624	644	665	631	683	607	739	770	699	522	1007	619	704	851	779	1001	891	509	517	719	630	1026	790	833	894	995	5	18	989	765									
