Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283					
1	"Число избирателей, внесенных в список"	156517	2212	1924	2109	2257	2400	2657	2092	1809	2419	2304	2212	2370	2438	2480	2506	1931	1905	2460	2551	2549	2559	2538	2879	2530	2634	2778	2362	2720	2270	2590	2489	2392	1698	2524	2754	2433	2861	2795	2798	2383	2520	2359	2499	1715	2601	1244	2112	2622	2393	2158	2743	2349	2460	2685	2177	2293	2886	2340	1768	2225	1269	2167	740	2031	1872	1420	2626	1284	298	89					
2	Число полученных избирательных бюллетеней	152790	2200	1900	2000	2200	2400	2600	2100	1700	2400	2300	2100	2300	2400	2400	2400	1900	1900	2400	2500	2500	2500	2500	2900	2500	2600	2700	2400	2600	2200	2600	2500	2400	1700	2400	2800	2400	2800	2750	2800	2300	2500	2300	2400	1600	2500	1200	2000	2500	2400	2200	2700	2300	2400	2600	2100	2200	2800	2200	1700	2200	1200	2000	650	2000	1800	1300	2500	1200	300	90					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	117924	1510	1362	1450	1427	2069	2122	1702	1139	1513	1537	1464	1996	2051	1996	2043	1590	1567	2017	1982	2051	2146	2002	1998	1995	2159	1968	1769	2072	1778	1915	1835	1699	1158	2096	2092	1714	1957	2014	2042	1912	1988	1664	1683	1231	1773	1064	1552	2072	1905	1806	2415	2005	2157	2303	1684	1685	2372	1848	1044	1458	976	1776	460	1450	1001	770	1649	905	232	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	4438	60	58	92	83	54	158	86	89	56	87	84	113	95	119	92	55	41	74	62	118	79	74	83	104	82	45	71	64	45	79	33	54	36	47	44	64	67	74	33	51	68	60	72	23	96	18	39	53	75	53	29	47	81	48	51	12	62	42	39	53	28	37	22	75	90	68	97	27	66	2					
6	Число погашенных избирательных бюллетеней	30428	630	480	458	690	277	320	312	472	831	676	552	191	254	285	265	255	292	309	456	331	275	424	819	401	359	687	560	464	377	606	632	647	506	257	664	622	776	662	725	337	444	576	645	346	631	118	409	375	420	341	256	248	162	249	365	503	366	310	617	689	196	187	168	475	709	462	754	268	2	1					
7	Число избирательных бюллетеней в переносных ящиках	4438	60	58	92	83	54	158	86	89	56	87	84	113	95	119	92	55	41	74	62	118	79	74	83	104	82	45	71	64	45	79	33	54	36	47	44	64	67	74	33	51	68	60	72	23	96	18	39	53	75	53	29	47	81	48	51	12	62	42	39	53	28	37	22	75	90	68	97	27	66	2					
8	Число бюллетеней в стационарных ящиках для голосования	117692	1510	1362	1450	1425	2015	2122	1702	1138	1512	1537	1464	1996	2051	1996	2043	1590	1567	2017	1982	2051	2146	2002	1998	1995	2159	1968	1769	2072	1777	1915	1835	1699	1158	2094	2029	1714	1952	2010	2040	1912	1954	1663	1682	1226	1772	1064	1551	2072	1905	1806	2415	2005	2157	2303	1684	1685	2372	1806	1039	1455	976	1776	460	1450	997	770	1649	905	232	87					
9	Число недействительных избирательных бюллетеней	1703	0	58	35	30	0	22	5	27	36	31	25	26	27	10	11	25	23	19	36	30	20	8	25	26	32	39	31	31	25	25	47	25	21	43	25	30	37	26	15	32	32	37	39	22	30	10	38	29	16	13	26	55	37	22	20	29	29	7	24	4	12	19	14	21	26	12	14	18	8	1					
10	Число действительных избирательных бюллетеней	120427	1570	1362	1507	1478	2069	2258	1783	1200	1532	1593	1523	2083	2119	2105	2124	1620	1585	2072	2008	2139	2205	2068	2056	2073	2209	1974	1809	2105	1797	1969	1821	1728	1173	2098	2048	1748	1982	2058	2058	1931	1990	1686	1715	1227	1838	1072	1552	2096	1964	1846	2418	1997	2201	2329	1715	1668	2405	1841	1054	1504	992	1794	468	1504	1061	826	1732	914	290	88					
11	Число полученных открепительных  удостоверений	4939	76	76	76	76	76	76	76	49	76	76	76	56	76	76	76	76	76	76	76	76	76	86	66	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	91	76	86	76	76	66	56	103	76	76	76	76	76	76	76	76	81	76	40	76	40	76	30	76	47	50	76	40	0	0					
12	Число выданных открепительных удостоверений	3830	56	60	38	53	69	61	36	42	50	69	47	30	61	46	62	56	50	56	60	59	76	79	58	61	61	76	49	60	44	73	55	67	55	72	65	72	71	67	76	58	78	62	78	40	58	34	42	81	65	60	76	68	57	59	54	60	79	54	26	61	26	41	15	42	40	36	49	33	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2878	14	13	28	42	32	27	10	24	22	22	34	8	29	34	46	21	35	13	34	18	23	20	30	13	22	43	27	93	73	20	19	11	21	25	17	30	18	34	19	27	70	22	83	18	63	11	25	28	31	33	30	24	31	145	101	68	117	58	36	23	85	71	24	44	21	50	55	33	298	89					
14	Число неиспользованных открепительных удостоверений	1109	20	16	38	23	7	15	40	7	26	7	29	26	15	30	14	20	26	20	16	17	0	7	8	15	15	0	27	16	32	3	21	9	21	4	11	4	5	9	0	18	13	14	8	36	18	32	14	22	11	16	0	8	19	17	22	16	2	22	14	15	14	35	15	34	7	14	27	7	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
