Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Ковылкинская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391					
1	"Число избирателей, внесенных в список избирателей"	34030	226	241	377	151	248	497	348	1203	227	586	148	240	454	463	171	135	578	1202	172	519	384	435	217	156	313	413	196	1297	249	178	144	123	190	420	220	203	598	190	265	452	161	333	1046	277	380	604	1229	682	888	859	1787	1834	1876	1884	1800	1797	750	727	287					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34600	229	243	382	151	252	506	354	1220	225	594	150	240	455	463	173	136	590	1217	176	522	383	440	229	162	315	422	198	1300	250	181	175	123	194	422	221	204	597	191	268	460	179	336	1065	277	382	622	1246	693	927	902	1830	1860	1890	1890	1820	1810	750	738	370					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31713	226	231	377	147	216	493	316	1084	217	556	121	227	418	425	170	87	567	1168	158	519	381	408	186	131	307	379	196	1138	220	171	109	111	173	408	170	178	596	190	235	266	161	326	1020	255	331	553	1102	633	720	788	1679	1797	1789	1819	1719	1760	694	607	284					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2231	0	10	0	2	30	4	32	112	8	29	27	13	29	34	0	47	9	34	14	0	0	27	30	24	6	33	0	159	29	6	35	12	17	12	50	25	0	0	30	184	0	7	26	22	48	51	124	49	160	65	108	37	68	65	72	37	56	120	3					
6	Число погашенных избирательных бюллетеней	656	3	2	5	2	6	9	6	24	0	9	2	0	8	4	3	2	14	15	4	3	2	5	13	7	2	10	2	3	1	4	31	0	4	2	1	1	1	1	3	10	18	3	19	0	3	18	20	11	47	49	43	26	33	6	29	13	0	11	83					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2231	0	10	0	2	30	4	32	112	8	29	27	13	29	34	0	47	9	34	14	0	0	27	30	24	6	33	0	159	29	6	35	12	17	12	50	25	0	0	30	184	0	7	26	22	48	51	124	49	160	65	108	37	68	65	72	37	56	120	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31713	226	231	377	147	216	493	316	1084	217	556	121	227	418	425	170	87	567	1168	158	519	381	408	186	131	307	379	196	1138	220	171	109	111	173	408	170	178	596	190	235	266	161	326	1020	255	331	553	1102	633	720	788	1679	1797	1789	1819	1719	1760	694	607	284					
9	Число недействительных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	33940	226	241	377	149	246	497	348	1196	225	585	148	240	447	459	170	134	576	1202	172	519	381	435	216	155	313	412	196	1297	249	177	144	123	190	418	220	203	596	190	265	450	161	333	1046	277	377	604	1226	682	880	853	1787	1834	1857	1884	1791	1797	750	727	287					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	711	5	5	5	3	5	7	10	17	5	8	3	5	8	8	3	3	10	15	3	8	5	5	3	3	5	5	3	15	3	3	28	3	3	5	3	3	7	3	3	5	12	5	15	3	5	7	20	15	20	20	110	38	50	30	42	30	15	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	508	1	1	0	0	2	5	8	17	1	4	0	0	3	0	1	0	10	4	0	0	0	5	3	3	0	1	0	8	1	0	28	0	1	1	0	0	2	0	0	1	12	1	8	2	0	6	20	15	17	19	80	38	50	23	42	30	15	15	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	180	0	1	3	0	0	1	4	11	1	6	2	4	4	3	0	2	3	0	0	0	3	3	0	3	0	0	0	5	2	2	1	2	1	1	1	1	6	1	0	0	0	3	3	1	1	0	0	1	6	0	11	5	4	13	16	7	3	7	22					
14	Число погашенных неиспользованных открепительных удостоверений	203	4	4	5	3	3	2	2	0	4	4	3	5	5	8	2	3	0	11	3	8	5	0	0	0	5	4	3	7	2	3	0	3	2	4	3	3	5	3	3	4	0	4	7	1	5	1	0	0	3	1	30	0	0	7	0	0	0	0	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	2	4	0	2	3	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	45	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	2	2	2	1	0	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	2	4	4	5	5	2	0	0	0	2	0					
