Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Ковылкинская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410					
1	"Число избирателей, внесенных в списки избирателей"	33704	240	296	331	77	167	285	536	334	1205	155	104	596	131	30	149	113	391	451	179	600	289	1127	162	518	349	382	474	161	63	167	330	402	66	234	1304	337	211	92	114	74	186	142	204	435	233	222	331	303	216	297	341	91	46	181	347	1006	81	1117	1053	1026	297	1037	1046	232	1150	1054	942	1091	1020	989	1000	979	957	743	83					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33814	247	302	334	77	167	289	536	334	1190	155	101	598	131	30	149	113	438	446	180	606	308	1127	159	518	349	383	476	164	62	175	330	402	66	234	1303	347	210	92	115	74	186	141	203	436	233	221	334	302	216	295	341	91	46	181	347	1018	81	1125	1051	1015	300	1016	1047	231	1119	1034	945	1108	1012	1020	1027	979	967	745	84					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29975	240	295	316	74	160	246	536	298	1067	145	101	566	105	30	105	98	315	446	177	461	268	1049	142	508	349	378	443	140	41	140	311	360	62	227	1189	337	182	87	110	67	158	135	194	407	165	132	327	300	216	248	264	79	45	181	211	931	81	877	775	838	271	706	981	213	985	1003	930	1008	791	936	941	880	819	693	83					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2950	0	0	14	3	5	39	0	36	101	10	0	30	26	0	44	15	76	0	2	139	21	75	16	0	0	0	31	21	9	27	19	42	4	0	110	0	18	5	3	4	24	4	8	27	64	89	0	0	0	47	76	12	0	0	136	69	0	218	177	177	18	31	59	18	106	30	12	34	220	53	43	90	119	44	0					
6	Число погашенных избирательных бюллетеней	889	7	7	4	0	2	4	0	0	22	0	0	2	0	0	0	0	47	0	1	6	19	3	1	10	0	5	2	3	12	8	0	0	0	7	4	10	10	0	2	3	4	2	1	2	4	0	7	2	0	0	1	0	1	0	0	18	0	30	99	0	11	279	7	0	28	1	3	66	1	31	43	9	29	8	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2950	0	0	14	3	5	39	0	36	101	10	0	30	26	0	44	15	76	0	2	139	21	75	16	0	0	0	31	21	9	27	19	42	4	0	110	0	18	5	3	4	24	4	8	27	64	89	0	0	0	47	76	12	0	0	136	69	0	218	177	177	18	31	59	18	106	30	12	34	220	53	43	90	119	44	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29973	240	295	316	74	160	246	536	298	1067	145	101	566	105	30	105	98	315	446	177	461	268	1049	142	508	349	378	443	140	41	140	311	360	62	227	1189	337	182	87	110	67	158	135	194	407	165	132	327	300	216	248	264	79	45	181	211	931	81	877	775	838	271	706	981	213	985	1003	930	1008	791	936	941	880	819	691	83					
9	Число недействительных избирательных бюллетеней	76	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	6	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	32847	238	295	330	77	165	285	536	334	1165	155	101	596	131	30	149	113	391	446	179	600	257	1124	158	508	349	378	474	161	48	167	330	402	66	227	1299	337	200	92	113	71	182	139	202	434	229	219	327	299	216	295	340	91	45	175	347	1000	81	1095	952	1015	263	737	1040	231	1090	1033	942	1042	1011	989	984	970	938	734	83					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	834	3	4	4	3	3	6	5	4	15	3	3	5	3	3	3	3	35	5	3	5	3	60	3	5	3	4	5	3	7	5	4	4	3	3	10	4	4	3	3	3	3	3	4	5	4	3	4	4	4	4	4	3	3	3	4	60	3	15	25	15	7	15	61	4	27	15	45	65	50	15	50	15	15	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	766	3	4	4	0	3	6	5	4	15	3	3	1	3	2	2	3	26	5	2	5	0	60	3	5	3	4	5	3	7	5	2	4	3	3	10	1	3	3	3	3	3	3	0	3	1	3	4	4	2	4	4	3	3	2	4	49	3	15	25	15	6	15	61	4	27	15	45	65	34	15	50	15	15	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	155	0	0	0	0	1	1	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	1	0	84	0	1	1	0	0	0	0	0	0	0	2	1	0	2	1	1	0	1	0	3	0	1	1	3	0	3	0	1	0	4	3	5	11	1	0	4	6	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	68	0	0	0	3	0	0	0	0	0	0	0	4	0	1	1	0	9	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	0	4	2	3	0	0	0	2	0	0	0	0	1	0	11	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	1	2	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
