Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Южнопортовый район																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №3713	УИК №3714									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42679	2405	2239	2053	341	1956	1590	2566	2190	675	2124	1649	1533	1961	2015	1902	1931	986	1450	1999	1689	1494	2671	2762	53	445									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31100	1700	1600	1500	250	1400	1150	1800	1600	500	1500	1200	1100	1400	1450	1400	1400	700	1100	1450	1200	1100	1900	2000	100	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14053	803	702	630	115	604	534	758	708	181	667	529	485	692	645	608	562	317	469	671	518	447	913	997	53	445									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	563	31	41	14	0	48	17	47	25	4	22	11	16	20	37	20	33	11	14	34	29	25	21	43	0	0									
6	Число погашенных избирательных бюллетеней	16484	866	857	856	135	748	599	995	867	315	811	660	599	688	768	772	805	372	617	745	653	628	966	960	47	155									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	563	31	41	14	0	48	17	47	25	4	22	11	16	20	37	20	33	11	14	34	29	25	21	43	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14051	803	702	630	115	604	534	758	708	181	667	528	485	692	645	608	562	317	469	671	518	447	912	997	53	445									
9	Число недействительных избирательных бюллетеней	207	8	14	10	2	10	10	13	8	2	13	14	5	3	8	2	11	3	10	10	14	4	22	11	0	0									
10	Число действительных избирательных бюллетеней	14407	826	729	634	113	642	541	792	725	183	676	525	496	709	674	626	584	325	473	695	533	468	911	1029	53	445									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	324	15	20	20	5	10	15	20	20	5	10	15	20	11	20	20	10	5	10	20	10	10	13	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	225	13	12	10	1	9	14	14	18	1	6	11	12	11	11	15	8	4	7	10	2	6	11	19	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	387	30	10	36	22	28	15	14	18	2	9	14	7	5	6	19	30	9	5	18	5	3	62	20	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	99	2	8	10	4	1	1	6	2	4	4	4	8	0	9	5	2	1	3	10	8	4	2	1	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	2	1	0	0	2	0	4	0	0	0	0	0	1	3	1	3	0	3	4	1	1	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	562	43	26	20	4	13	22	31	31	10	28	26	18	23	20	30	19	14	29	29	26	17	30	43	0	10									
		3.85%	5.16%	3.50%	3.11%	3.48%	1.99%	3.99%	3.85%	4.23%	5.41%	4.06%	4.82%	3.59%	3.23%	2.93%	4.78%	3.19%	4.27%	6.00%	4.11%	4.75%	3.60%	3.22%	4.13%	0.00%	2.25%									
