Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Черепановская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188	УИК  1189	УИК  1190	УИК  1191	УИК  1192	УИК  1193					
1	"Число избирателей, внесенных в список"	39966	1582	1704	1660	1898	1877	944	930	1730	1025	1787	919	1013	1740	1855	304	1084	1009	1001	1156	59	88	785	160	129	101	307	454	93	829	131	123	407	1867	234	167	299	542	1083	810	159	154	514	348	214	792	181	189	906	330	136	722	142	441	475	236	141					
2	Число полученных избирательных бюллетеней	40334	1590	1730	1690	1940	1920	950	950	1740	950	1830	910	1030	1760	1860	303	1115	1045	1035	1120	57	88	805	168	129	120	315	450	94	815	137	119	400	1860	238	164	300	545	1125	785	158	153	503	440	216	795	178	186	904	330	138	720	143	436	482	235	135					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21785	766	835	743	876	672	386	371	751	440	816	423	456	932	993	217	520	518	546	730	46	62	497	94	106	79	204	291	50	610	99	92	291	1151	185	128	203	410	600	539	113	117	322	348	145	520	124	134	486	223	100	422	86	312	334	173	98					
5	"Число избирательных бюллетеней, выданных вне помещения"	2226	49	79	65	122	153	86	54	141	86	108	46	76	69	32	11	63	88	78	74	3	5	57	20	7	5	33	18	14	12	0	13	29	62	0	1	7	13	36	37	11	6	28	0	9	51	7	7	118	17	0	47	12	21	27	3	10					
6	Число погашенных избирательных бюллетеней	16323	775	816	882	942	1095	478	525	848	424	906	441	498	759	835	75	532	439	411	316	8	21	251	54	16	36	78	141	30	193	38	14	80	647	53	35	90	122	489	209	34	30	153	92	62	224	47	45	300	90	38	251	45	103	121	59	27					
7	Число избирательных бюллетеней в переносных ящиках	2226	49	79	65	122	153	86	54	141	86	108	46	76	69	32	11	63	88	78	74	3	5	57	20	7	5	33	18	14	12	0	13	29	62	0	1	7	13	36	37	11	6	28	0	9	51	7	7	118	17	0	47	12	21	27	3	10					
8	Число бюллетеней в стационарных ящиках для голосования	21785	766	835	743	876	672	386	371	751	440	816	423	456	932	993	217	520	518	546	730	46	62	497	94	106	79	204	291	50	610	99	92	291	1151	185	128	203	410	600	539	113	117	322	348	145	520	124	134	486	223	100	422	86	312	334	173	98					
9	Число недействительных избирательных бюллетеней	268	7	14	7	18	9	5	4	9	15	9	0	5	11	5	0	8	5	2	12	0	3	9	1	0	1	3	2	0	10	2	3	1	14	3	1	0	1	8	9	3	0	2	0	2	6	2	0	12	0	2	8	0	0	6	5	4					
10	Число действительных избирательных бюллетеней	23743	808	900	801	980	816	467	421	883	511	915	469	527	990	1020	228	575	601	622	792	49	64	545	113	113	83	234	307	64	612	97	102	319	1199	182	128	210	422	628	567	121	123	348	348	152	565	129	141	592	240	98	461	98	333	355	171	104					
