Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Губкинская  																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																					
																																																																																																					
		Сумма	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573					
1	"Число избирателей, внесенных в списки"	87244	938	1065	608	1396	223	1053	1251	1374	1439	845	408	1473	1161	1350	1299	2689	1093	1209	2093	2303	2301	2330	1177	1291	1236	1141	2693	1296	1804	2656	2847	1171	1511	1125	496	1024	383	1317	810	1405	771	2128	2185	895	1709	2112	443	2320	351	557	412	229	303	776	602	201	147	400	306	334	168	135	206	778	592	191	153	197	805	994	325	251	207	255	405	755	518	206	773	213	1438	594	616	239	200	101	605	411	145	748	402	616	175	362					
2	"Число бюллетеней, полученных участковыми комиссиями"	89230	942	1111	686	1391	439	1063	1253	1390	1453	859	417	1509	1196	1385	1318	2703	1086	1257	2298	2298	2290	2359	1173	1281	1266	1161	2672	1327	1790	2720	2857	1224	1478	1270	494	1044	394	1324	858	1453	808	2231	2212	911	1754	2130	480	2360	350	560	450	240	310	830	600	210	150	400	290	340	170	140	200	800	600	180	150	200	810	1000	340	250	210	270	420	800	540	220	810	220	1470	630	570	240	200	100	620	420	140	810	410	630	185	370					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	53082	566	700	300	898	211	630	666	776	874	535	295	852	691	699	822	1463	723	777	1185	1483	1436	1456	716	799	724	695	1746	855	1166	1871	1910	604	1054	624	351	538	173	572	442	827	454	1330	1359	322	901	1349	333	1559	217	395	208	163	243	408	399	100	79	201	205	241	108	56	170	495	272	80	106	118	473	559	145	119	182	102	198	501	276	72	487	143	967	427	421	114	130	84	359	237	79	511	283	323	90	224					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4259	31	64	4	15	0	60	45	6	36	21	14	41	31	14	16	36	24	11	13	19	19	13	12	8	33	47	11	3	4	11	11	85	12	25	10	48	84	80	4	48	13	24	16	95	116	13	58	28	29	18	37	5	6	78	74	61	45	50	10	15	26	43	5	136	146	62	11	24	80	82	74	57	9	93	112	75	115	99	118	23	63	34	55	69	34	11	109	69	30	114	46	235	52	88					
6	Число погашенных бюллетеней	31889	345	347	382	478	228	373	542	608	543	303	108	616	474	672	480	1204	339	469	1100	796	835	890	445	474	509	419	915	469	620	838	936	535	412	621	133	458	137	672	412	578	341	877	837	494	737	768	89	773	104	147	205	72	61	344	127	49	26	149	75	84	36	41	25	169	182	38	33	58	257	359	121	74	19	75	110	224	149	49	205	54	440	169	94	57	36	5	152	114	31	185	81	72	43	58					
7	Число бюллетеней в переносных ящиках для голосования	4259	31	64	4	15	0	60	45	6	36	21	14	41	31	14	16	36	24	11	13	19	19	13	12	8	33	47	11	3	4	11	11	85	12	25	10	48	84	80	4	48	13	24	16	95	116	13	58	28	29	18	37	5	6	78	74	61	45	50	10	15	26	43	5	136	146	62	11	24	80	82	74	57	9	93	112	75	115	99	118	23	63	34	55	69	34	11	109	69	30	114	46	235	52	88					
8	Число бюллетеней в стационарных ящиках для голосования	53040	566	700	300	898	211	629	666	776	874	534	295	851	691	699	822	1463	723	775	1184	1477	1436	1454	716	799	724	690	1742	855	1166	1860	1909	604	1054	622	351	538	173	572	442	826	454	1327	1359	322	901	1349	333	1558	217	395	208	163	243	408	399	100	79	201	205	241	108	56	170	495	272	80	106	118	473	559	145	119	182	102	198	501	276	72	487	143	967	427	421	114	130	84	359	237	79	511	283	323	90	224					
9	Число недействительных бюллетеней	1527	18	26	7	15	6	4	19	13	20	27	4	37	20	7	27	15	15	14	18	35	22	25	9	12	25	11	22	51	14	8	22	17	7	8	6	28	3	15	10	34	8	34	28	19	11	202	1	242	20	1	6	4	13	9	6	6	1	3	10	5	0	0	5	14	15	1	0	3	15	13	3	1	2	0	11	5	7	0	14	2	8	11	4	2	4	0	7	10	13	6	22	4	0	0					
10	Число действительных бюллетеней	55772	579	738	297	898	205	685	692	769	890	528	305	855	702	706	811	1484	732	772	1179	1461	1433	1442	719	795	732	726	1731	807	1156	1863	1898	672	1059	639	355	558	254	637	436	840	459	1317	1347	398	1006	1160	390	1344	226	412	239	164	236	477	467	155	123	248	205	251	134	99	170	617	403	141	117	139	538	628	216	175	189	195	299	571	384	171	591	164	1022	450	472	181	160	95	461	296	96	619	307	554	142	312					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	3	5	3	5	0	5	5	5	6	3	3	6	5	6	5	8	5	6	7	7	7	7	6	3	6	6	8	6	6	8	8	6	6	6	3	6	3	6	3	6	3	7	7	6	6	6	3	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	1	0	0	3	0	0	4	0	1	2	1	1	1	0	5	5	5	5	5	0	2	1	2	3	1	0	3	1	1	1	5	0	4	4	0	0	0	0	0	1	0	3	4	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	0	2	0	0	0	1	3	0	6	0	1	2	0	0	0	0	0	1	0	1	3	1	2	1	0	0	2	1	1	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	2	1	0	0	1	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	1	2	2	0	0					
14	Число погашенных открепительных удостоверений	311	2	5	3	2	0	5	1	5	5	1	2	5	4	6	0	3	0	1	2	7	5	6	4	0	5	6	5	5	5	7	3	6	2	2	3	6	3	6	3	5	3	4	3	5	6	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	1	2	3	3	3	3	3	1	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	2	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																					
18	"1. ""ЕДИНЕНИЕ"""	627	13	9	2	10	2	5	9	6	2	5	1	10	4	6	8	18	3	7	4	12	11	16	10	14	5	11	15	0	10	15	17	3	4	8	3	12	4	4	5	12	9	12	14	9	10	25	1	11	1	1	5	0	8	7	6	1	0	0	5	7	3	1	0	9	2	0	1	3	10	7	2	1	2	5	1	11	9	5	20	2	8	7	8	9	6	0	18	7	1	6	0	6	3	7					
		1.09%	2.17%	1.17%	0.65%	1.09%	0.94%	0.72%	1.26%	0.76%	0.21%	0.90%	0.32%	1.12%	0.55%	0.84%	0.95%	1.20%	0.40%	0.89%	0.33%	0.80%	0.75%	1.09%	1.37%	1.73%	0.66%	1.49%	0.85%	0.0%	0.85%	0.80%	0.88%	0.43%	0.37%	1.23%	0.83%	2.04%	1.55%	0.61%	1.12%	1.37%	1.92%	0.88%	1.01%	2.15%	0.98%	1.83%	0.25%	0.69%	0.40%	0.24%	2.04%	0.0%	3.21%	1.44%	1.26%	0.62%	0.0%	0.0%	2.32%	2.73%	2.23%	1.01%	0.0%	1.42%	0.47%	0.0%	0.85%	2.11%	1.80%	1.09%	0.91%	0.56%	1.04%	2.56%	0.32%	1.90%	2.30%	2.92%	3.30%	1.20%	0.77%	1.51%	1.68%	4.91%	3.65%	0.0%	3.84%	2.28%	0.91%	0.96%	0.0%	1.07%	2.11%	2.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	895	12	19	8	17	4	18	9	8	26	11	8	20	8	7	7	27	13	11	24	33	18	45	12	17	8	12	56	13	27	33	52	7	36	11	12	6	7	5	6	18	5	26	28	7	16	16	1	13	2	2	5	0	0	6	1	0	0	1	2	5	0	1	1	1	2	0	1	4	4	6	0	0	2	0	0	8	7	1	1	3	9	0	1	0	0	0	3	2	0	4	5	2	0	0					
		1.56%	2.01%	2.48%	2.63%	1.86%	1.89%	2.61%	1.26%	1.02%	2.85%	1.98%	2.58%	2.24%	1.10%	0.98%	0.83%	1.80%	1.74%	1.39%	2.00%	2.20%	1.23%	3.06%	1.64%	2.10%	1.05%	1.62%	3.19%	1.51%	2.30%	1.76%	2.70%	1.01%	3.37%	1.70%	3.32%	1.02%	2.72%	0.76%	1.34%	2.05%	1.07%	1.92%	2.03%	1.67%	1.57%	1.17%	0.25%	0.81%	0.81%	0.48%	2.04%	0.0%	0.0%	1.23%	0.21%	0.0%	0.0%	0.39%	0.93%	1.95%	0.0%	1.01%	0.57%	0.15%	0.47%	0.0%	0.85%	2.81%	0.72%	0.93%	0.0%	0.0%	1.04%	0.0%	0.0%	1.38%	1.79%	0.58%	0.16%	1.80%	0.87%	0.0%	0.21%	0.0%	0.0%	0.0%	0.64%	0.65%	0.0%	0.64%	1.51%	0.35%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2225	27	32	9	51	10	44	32	26	50	36	20	41	66	22	44	81	42	38	56	83	60	47	40	35	47	52	69	17	43	53	75	45	23	38	12	24	11	24	15	47	26	51	42	8	48	23	6	43	19	5	9	1	3	23	13	3	1	7	6	7	0	0	7	23	12	1	0	5	10	20	23	8	3	7	9	4	8	2	5	1	29	14	7	8	9	1	18	15	3	11	5	15	0	11					
		3.88%	4.52%	4.18%	2.96%	5.58%	4.73%	6.38%	4.50%	3.32%	5.49%	6.48%	6.47%	4.59%	9.14%	3.08%	5.25%	5.40%	5.62%	4.83%	4.67%	5.54%	4.12%	3.20%	5.49%	4.33%	6.20%	7.05%	3.93%	1.98%	3.67%	2.83%	3.90%	6.53%	2.15%	5.87%	3.32%	4.09%	4.28%	3.68%	3.36%	5.37%	5.56%	3.77%	3.05%	1.91%	4.71%	1.68%	1.53%	2.71%	7.72%	1.21%	3.67%	0.59%	1.20%	4.73%	2.74%	1.86%	0.80%	2.78%	2.79%	2.73%	0.0%	0.0%	4.0%	3.64%	2.87%	0.70%	0.0%	3.52%	1.80%	3.12%	10.50%	4.54%	1.57%	3.58%	2.90%	0.69%	2.04%	1.16%	0.82%	0.60%	2.81%	3.03%	1.47%	4.37%	5.48%	1.05%	3.84%	4.90%	2.75%	1.76%	1.51%	2.68%	0.0%	3.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1401	26	29	7	36	3	14	21	24	33	18	27	24	29	14	21	27	32	22	35	48	38	45	16	28	27	18	47	26	40	67	59	15	49	23	16	16	2	13	7	21	13	33	42	3	9	32	2	24	4	1	3	3	0	9	11	1	1	3	2	1	0	0	0	9	7	0	0	2	7	15	5	11	2	2	5	9	2	0	3	1	14	8	2	0	0	0	8	3	0	3	0	3	0	20					
		2.44%	4.35%	3.79%	2.30%	3.94%	1.42%	2.03%	2.95%	3.06%	3.62%	3.24%	8.73%	2.69%	4.01%	1.96%	2.50%	1.80%	4.28%	2.79%	2.92%	3.20%	2.61%	3.06%	2.19%	3.46%	3.56%	2.44%	2.68%	3.03%	3.41%	3.58%	3.07%	2.17%	4.59%	3.55%	4.43%	2.73%	0.77%	1.99%	1.56%	2.40%	2.78%	2.44%	3.05%	0.71%	0.88%	2.34%	0.51%	1.51%	1.62%	0.24%	1.22%	1.78%	0.0%	1.85%	2.32%	0.62%	0.80%	1.19%	0.93%	0.39%	0.0%	0.0%	0.0%	1.42%	1.67%	0.0%	0.0%	1.40%	1.26%	2.34%	2.28%	6.25%	1.04%	1.02%	1.61%	1.56%	0.51%	0.0%	0.49%	0.60%	1.35%	1.73%	0.42%	0.0%	0.0%	0.0%	1.70%	0.98%	0.0%	0.48%	0.0%	0.53%	0.0%	6.41%					
22	"5. ""За Русь Святую"""	316	5	2	1	5	0	8	5	5	5	0	1	4	6	2	3	11	5	10	5	10	7	9	8	1	8	5	8	4	12	6	18	4	8	8	1	0	0	4	1	2	1	9	7	5	2	8	1	6	0	3	0	0	0	2	2	0	0	0	0	6	0	0	1	1	1	1	1	3	2	7	0	1	1	4	3	5	0	0	3	3	0	0	1	0	1	0	5	3	3	5	0	1	0	1					
		0.55%	0.83%	0.26%	0.32%	0.54%	0.0%	1.16%	0.70%	0.63%	0.54%	0.0%	0.32%	0.44%	0.83%	0.28%	0.35%	0.73%	0.66%	1.27%	0.41%	0.66%	0.48%	0.61%	1.09%	0.12%	1.05%	0.67%	0.45%	0.46%	1.02%	0.32%	0.93%	0.58%	0.75%	1.23%	0.27%	0.0%	0.0%	0.61%	0.22%	0.22%	0.21%	0.66%	0.50%	1.19%	0.19%	0.58%	0.25%	0.37%	0.0%	0.72%	0.0%	0.0%	0.0%	0.41%	0.42%	0.0%	0.0%	0.0%	0.0%	2.34%	0.0%	0.0%	0.57%	0.15%	0.23%	0.70%	0.85%	2.11%	0.36%	1.09%	0.0%	0.56%	0.52%	2.05%	0.96%	0.86%	0.0%	0.0%	0.49%	1.80%	0.0%	0.0%	0.21%	0.0%	0.60%	0.0%	1.06%	0.98%	2.75%	0.8%	0.0%	0.17%	0.0%	0.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	80	1	1	0	3	0	0	1	2	0	0	0	1	0	1	1	4	1	1	1	2	1	2	0	0	1	0	2	0	2	4	6	0	1	0	1	1	0	0	1	1	0	4	2	0	2	0	0	4	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	2	2	0	0	2	0	0	1	1	0	0	0	2	2	0	0	0	0	4	1	0	1	0	0	0	2					
		0.13%	0.16%	0.13%	0.0%	0.32%	0.0%	0.0%	0.14%	0.25%	0.0%	0.0%	0.0%	0.11%	0.0%	0.14%	0.11%	0.26%	0.13%	0.12%	0.08%	0.13%	0.06%	0.13%	0.0%	0.0%	0.13%	0.0%	0.11%	0.0%	0.17%	0.21%	0.31%	0.0%	0.09%	0.0%	0.27%	0.17%	0.0%	0.0%	0.22%	0.11%	0.0%	0.29%	0.14%	0.0%	0.19%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.21%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.36%	0.31%	0.0%	0.0%	1.04%	0.0%	0.0%	0.17%	0.25%	0.0%	0.0%	0.0%	0.19%	0.43%	0.0%	0.0%	0.0%	0.0%	0.85%	0.32%	0.0%	0.16%	0.0%	0.0%	0.0%	0.64%					
24	"7. ""Новый курс - Автомобильная Россия"""	1141	20	25	10	16	2	5	13	19	14	8	3	15	8	12	25	26	16	22	29	56	38	48	15	27	20	15	49	25	40	69	74	10	29	14	9	5	6	12	7	17	17	32	49	8	19	23	0	18	0	4	1	4	0	7	4	2	0	3	0	3	0	0	0	9	1	3	0	0	8	5	1	0	4	1	2	2	2	0	1	0	11	1	2	0	3	0	5	2	0	1	0	2	2	6					
		1.99%	3.35%	3.27%	3.28%	1.75%	0.94%	0.72%	1.82%	2.42%	1.53%	1.44%	0.97%	1.68%	1.10%	1.68%	2.98%	1.73%	2.14%	2.79%	2.42%	3.74%	2.61%	3.27%	2.06%	3.34%	2.64%	2.03%	2.79%	2.91%	3.41%	3.68%	3.85%	1.45%	2.72%	2.16%	2.49%	0.85%	2.33%	1.84%	1.56%	1.94%	3.64%	2.36%	3.56%	1.91%	1.86%	1.68%	0.0%	1.13%	0.0%	0.96%	0.40%	2.38%	0.0%	1.44%	0.84%	1.24%	0.0%	1.19%	0.0%	1.17%	0.0%	0.0%	0.0%	1.42%	0.23%	2.11%	0.0%	0.0%	1.44%	0.78%	0.45%	0.0%	2.09%	0.51%	0.64%	0.34%	0.51%	0.0%	0.16%	0.0%	1.06%	0.21%	0.42%	0.0%	1.82%	0.0%	1.06%	0.65%	0.0%	0.16%	0.0%	0.35%	1.40%	1.92%					
