Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Кандалакшская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №748					
1	"Число избирателей, внесенных в список избирателей"	43165	282	316	1187	1383	2172	1658	1584	1768	1843	1833	1734	1747	1219	804	1173	1357	1247	1923	825	1983	394	1579	620	653	571	1060	226	161	588	141	1493	666	1833	1378	503	86	53	767	665	951	671	68					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40307	258	301	1126	1286	2075	1566	1511	1669	1756	1746	1647	1662	1150	750	1109	1286	1118	1810	779	1885	379	1504	586	587	530	1011	226	154	559	145	1339	600	1696	1251	440	89	54	651	604	763	581	68					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19319	87	140	550	670	1166	782	608	774	886	903	846	824	503	360	372	575	491	909	348	921	88	690	228	318	229	454	162	85	302	47	769	303	786	494	149	49	27	350	267	441	298	68					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	675	2	3	16	11	18	15	5	16	30	9	11	7	25	5	11	8	8	16	7	33	204	15	7	13	22	18	0	0	21	0	23	10	19	17	31	2	1	1	7	6	2	0					
6	Число погашенных избирательных бюллетеней	20238	169	158	560	605	891	769	898	879	840	834	790	831	622	385	726	703	619	885	424	931	87	799	351	256	279	539	64	69	236	98	547	287	891	740	260	38	26	300	330	241	281	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	749	2	3	16	11	18	15	5	16	30	9	11	7	25	5	11	8	8	16	7	33	204	14	7	13	22	18	0	0	21	0	23	10	19	17	31	2	1	1	7	81	2	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19311	87	140	550	670	1166	782	608	774	886	903	846	817	503	360	372	575	491	908	348	921	88	690	228	318	229	454	162	85	302	47	769	303	786	494	149	49	27	350	267	441	298	68					
9	Число недействительных избирательных бюллетеней	391	5	4	18	9	30	19	14	13	11	10	12	17	10	3	11	8	9	26	3	19	9	13	5	9	3	9	2	2	9	0	9	7	13	15	1	0	0	3	5	17	8	1					
10	Число действительных избирательных бюллетеней	19669	84	139	548	672	1154	778	599	777	905	902	845	807	518	362	372	575	490	898	352	935	283	691	230	322	248	463	160	83	314	47	783	306	792	496	179	51	28	348	269	505	292	67					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1140	15	15	30	30	30	30	30	30	30	30	30	30	30	25	25	25	30	40	25	40	20	40	30	30	25	30	20	20	25	35	30	30	30	35	30	15	15	30	20	30	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	191	2	1	10	4	14	8	5	6	15	6	4	8	1	0	5	2	4	8	3	3	0	5	4	1	5	10	4	0	7	2	5	3	11	0	2	2	2	4	2	12	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	197	4	2	2	8	5	4	3	4	4	5	3	9	2	11	8	1	6	15	1	1	0	1	0	25	0	1	31	0	1	0	2	1	1	5	1	1	2	4	2	19	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	949	13	14	20	26	16	22	25	24	15	24	26	22	29	25	20	23	26	32	22	37	20	35	26	29	20	20	16	20	18	33	25	27	19	35	28	13	13	26	18	18	29	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	0	0	0	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	2	10	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4518	19	22	129	132	235	183	140	166	179	199	208	106	124	90	72	134	126	206	90	201	71	183	52	47	46	104	17	19	60	6	303	135	294	141	47	13	14	44	32	59	54	16					
		22.52%	21.35%	15.38%	22.79%	19.38%	19.85%	22.96%	22.84%	21.01%	19.54%	21.82%	24.27%	12.86%	23.48%	24.66%	18.80%	22.98%	25.25%	22.29%	25.35%	21.07%	24.32%	25.99%	22.13%	14.20%	18.33%	22.03%	10.49%	22.35%	18.58%	12.77%	38.26%	43.13%	36.52%	27.59%	26.11%	25.49%	50.00%	12.54%	11.68%	11.30%	18.00%	23.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2984	11	28	76	98	144	116	88	103	114	132	108	118	80	53	51	90	96	141	52	145	29	103	46	56	36	90	33	14	40	7	78	34	82	91	16	13	0	95	72	126	75	4					
		14.88%	12.36%	19.58%	13.43%	14.39%	12.16%	14.55%	14.36%	13.04%	12.45%	14.47%	12.60%	14.32%	15.15%	14.52%	13.32%	15.44%	19.24%	15.26%	14.65%	15.20%	9.93%	14.63%	19.57%	16.92%	14.34%	19.07%	20.37%	16.47%	12.38%	14.89%	9.85%	10.86%	10.19%	17.81%	8.89%	25.49%	0.00%	27.07%	26.28%	24.14%	25.00%	5.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	171	1	2	7	8	10	3	5	4	10	6	5	2	6	2	2	5	4	8	4	12	8	3	2	3	1	6	1	2	3	0	3	2	5	5	2	0	0	8	3	4	3	1					
		0.85%	1.12%	1.40%	1.24%	1.17%	0.84%	0.38%	0.82%	0.51%	1.09%	0.66%	0.58%	0.24%	1.14%	0.55%	0.52%	0.86%	0.80%	0.87%	1.13%	1.26%	2.74%	0.43%	0.85%	0.91%	0.40%	1.27%	0.62%	2.35%	0.93%	0.00%	0.38%	0.64%	0.62%	0.98%	1.11%	0.00%	0.00%	2.28%	1.09%	0.77%	1.00%	1.47%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5117	30	43	148	192	356	236	175	226	305	265	241	144	126	97	95	157	100	246	79	223	29	159	53	72	61	88	32	23	97	14	249	77	250	132	27	13	5	57	57	83	37	18					
		25.51%	33.71%	30.07%	26.15%	28.19%	30.07%	29.61%	28.55%	28.61%	33.30%	29.06%	28.12%	17.48%	23.86%	26.58%	24.80%	26.93%	20.04%	26.62%	22.25%	23.38%	9.93%	22.59%	22.55%	21.75%	24.30%	18.64%	19.75%	27.06%	30.03%	29.79%	31.44%	24.60%	31.06%	25.83%	15.00%	25.49%	17.86%	16.24%	20.80%	15.90%	12.33%	26.47%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	757	7	4	21	29	60	30	19	44	34	52	42	44	32	13	12	25	22	48	14	44	9	33	10	6	2	4	1	0	11	0	13	4	17	10	3	0	0	8	2	15	11	2					
		3.77%	7.87%	2.80%	3.71%	4.26%	5.07%	3.76%	3.10%	5.57%	3.71%	5.70%	4.90%	5.34%	6.06%	3.56%	3.13%	4.29%	4.41%	5.19%	3.94%	4.61%	3.08%	4.69%	4.26%	1.81%	0.80%	0.85%	0.62%	0.00%	3.41%	0.00%	1.64%	1.28%	2.11%	1.96%	1.67%	0.00%	0.00%	2.28%	0.73%	2.87%	3.67%	2.94%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6022	16	40	166	208	344	206	172	231	258	238	236	384	150	107	137	162	140	243	113	303	134	205	67	135	102	169	76	25	102	20	135	53	139	113	84	12	9	136	103	213	111	25					
		30.02%	17.98%	27.97%	29.33%	30.54%	29.05%	25.85%	28.06%	29.24%	28.17%	26.10%	27.54%	46.60%	28.41%	29.32%	35.77%	27.79%	28.06%	26.30%	31.83%	31.76%	45.89%	29.12%	28.51%	40.79%	40.64%	35.81%	46.91%	29.41%	31.58%	42.55%	17.05%	16.93%	17.27%	22.11%	46.67%	23.53%	32.14%	38.75%	37.59%	40.80%	37.00%	36.76%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	100	0	0	1	5	5	4	0	3	5	10	5	9	0	0	3	2	2	6	0	7	3	5	0	3	0	2	0	0	1	0	2	1	5	4	0	0	0	0	0	5	1	1					
		0.50%	0.00%	0.00%	0.18%	0.73%	0.42%	0.50%	0.00%	0.38%	0.55%	1.10%	0.58%	1.09%	0.00%	0.00%	0.78%	0.34%	0.40%	0.65%	0.00%	0.73%	1.03%	0.71%	0.00%	0.91%	0.00%	0.42%	0.00%	0.00%	0.31%	0.00%	0.25%	0.32%	0.62%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.33%	1.47%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
