Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Палехская 																				
																				
Итоги голосования 																				
																				
		Сумма	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627					
1	"Число избирателей, внесенных в список"	10156	154	327	471	311	573	503	308	327	404	561	1429	2139	2649					
2	Число полученных избирательных бюллетеней	9154	154	300	420	280	520	460	270	300	380	520	1280	1900	2370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4707	48	116	213	108	244	200	111	124	130	183	667	1219	1344					
5	"Число избирательных бюллетеней, выданных вне помещения"	1649	79	107	104	115	133	157	105	117	125	212	171	83	141					
6	Число погашенных избирательных бюллетеней	2798	27	77	103	57	143	103	54	59	125	125	442	598	885					
7	Число избирательных бюллетеней в переносных ящиках	1649	79	107	104	115	133	157	105	117	125	212	171	83	141					
8	Число бюллетеней в стационарных ящиках для голосования	4705	48	116	213	106	244	200	111	124	130	183	667	1219	1344					
9	Число недействительных избирательных бюллетеней	37	0	0	1	0	2	1	1	0	1	4	5	9	13					
10	Число действительных избирательных бюллетеней	6317	127	223	316	221	375	356	215	241	254	391	833	1293	1472					
11	Число полученных открепительных  удостоверений	138	5	7	10	7	10	10	7	7	10	10	15	20	20					
12	Число выданных открепительных удостоверений	70	0	1	4	1	4	2	1	2	8	7	12	14	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	2	3	10	5	5	4	8	1	3	4	9	16	14					
14	Число неиспользованных открепительных удостоверений	68	5	6	6	6	6	8	6	5	2	3	3	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	237	1	7	14	5	19	5	12	9	4	20	29	57	55					
		3.73%	0.79%	3.14%	4.42%	2.26%	5.04%	1.40%	5.56%	3.73%	1.57%	5.06%	3.46%	4.38%	3.70%					
19	. Малышкин Олег Александрович	206	4	6	7	11	8	20	8	3	11	16	31	21	60					
		3.24%	3.15%	2.69%	2.21%	4.98%	2.12%	5.60%	3.70%	1.24%	4.31%	4.05%	3.70%	1.61%	4.04%					
20	. Миронов Сергей Михайлович	61	2	2	0	1	3	10	1	0	6	3	9	11	13					
		0.96%	1.57%	0.90%	0.00%	0.45%	0.80%	2.80%	0.46%	0.00%	2.35%	0.76%	1.07%	0.84%	0.88%					
21	. Путин Владимир Владимирович	4036	88	136	197	139	260	239	134	164	163	272	582	784	878					
		63.52%	69.29%	60.99%	62.15%	62.90%	68.97%	66.95%	62.04%	68.05%	63.92%	68.86%	69.45%	60.22%	59.12%					
22	. Хакамада Ирина Муцуовна	163	2	3	6	4	3	8	4	6	6	5	12	51	53					
		2.57%	1.57%	1.35%	1.89%	1.81%	0.80%	2.24%	1.85%	2.49%	2.35%	1.27%	1.43%	3.92%	3.57%					
23	. Харитонов Николай Михайлович	1399	26	61	82	57	76	65	48	54	55	61	148	308	358					
		22.02%	20.47%	27.35%	25.87%	25.79%	20.16%	18.21%	22.22%	22.41%	21.57%	15.44%	17.66%	23.66%	24.11%					
																				
24	Против всех	215	4	8	10	4	6	9	8	5	9	14	22	61	55					
		3.38%	3.15%	3.59%	3.15%	1.81%	1.59%	2.52%	3.70%	2.07%	3.53%	3.54%	2.63%	4.69%	3.70%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
