Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Тулунская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203					
1	"Число избирателей, внесенных в списки"	20296	472	183	84	127	1009	502	919	373	301	580	711	122	522	949	211	131	579	65	123	721	97	348	351	153	823	587	557	235	150	433	886	184	273	124	376	323	795	226	819	364	552	208	255	421	355	267	298	750	283	119					
2	"Число бюллетеней, полученных участковыми комиссиями"	20132	452	172	86	116	994	496	919	357	297	558	692	124	524	964	209	130	578	64	127	705	96	347	356	153	829	606	549	232	142	431	879	183	264	126	376	321	807	230	823	358	543	209	254	406	344	269	285	750	282	118					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13005	322	83	71	114	676	268	499	344	227	317	491	105	427	356	172	95	285	45	84	335	81	200	226	129	503	373	359	145	96	250	595	132	190	96	291	211	512	160	482	216	397	141	186	272	221	218	210	504	202	91					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	240	0	20	0	0	41	15	36	0	4	0	0	0	0	45	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	0	12	0	0	5	0	0	18	0	0	13	6	6	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	6887	130	69	15	2	277	213	384	13	66	241	201	19	97	563	37	35	277	19	43	370	15	147	127	24	326	233	190	87	46	181	272	51	74	25	85	110	277	70	341	129	140	62	68	134	123	51	75	246	80	27					
7	Число бюллетеней в переносных ящиках для голосования	240	0	20	0	0	41	15	36	0	4	0	0	0	0	45	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	0	12	0	0	5	0	0	18	0	0	13	6	6	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13005	322	83	71	114	676	268	499	344	227	317	491	105	427	356	172	95	285	45	84	335	81	200	226	129	503	373	359	145	96	250	595	132	190	96	291	211	512	160	482	216	397	141	186	272	221	218	210	504	202	91					
9	Число недействительных бюллетеней	159	4	1	0	2	16	5	10	4	0	3	6	0	4	4	3	0	7	0	2	2	0	2	11	0	3	0	4	1	0	2	18	1	3	0	5	5	11	0	1	7	0	0	3	5	0	0	0	3	0	1					
10	Число действительных бюллетеней	13086	318	102	71	112	701	278	525	340	231	314	485	105	423	397	169	95	294	45	82	333	81	198	218	129	500	373	355	144	96	248	589	131	187	101	286	206	519	160	481	222	403	147	183	267	221	218	210	501	202	90					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	236	5	3	3	3	10	5	10	4	4	5	6	3	5	10	4	3	5	3	3	7	3	4	4	3	6	5	5	4	3	4	10	3	4	3	4	4	6	4	10	4	5	4	4	5	4	3	4	6	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	32	1	0	0	0	2	0	0	0	0	0	2	0	0	8	0	0	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	1	0	2	0	8	0	0	0	0	0	1	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	2	0	0	0	1	0	1	0	3	1	0	0	0	1	4	0	0	0	0	1	1	4	0	1	0	0	0	1	0	14	0	0	0	0	0	0	2	0	4	1	3	0	1	0	1	1	1	1	0	1					
14	Число погашенных открепительных удостоверений	204	4	3	3	3	8	5	10	4	4	5	4	3	5	2	4	3	4	3	3	7	3	4	4	2	4	3	5	4	3	4	10	3	4	3	3	4	4	4	2	4	5	4	4	5	3	3	4	5	4	3					
15	Число открепительных удостоверений выданных ТИК	37	1	0	0	0	4	1	0	2	0	0	0	1	1	2	0	0	2	0	4	1	0	0	0	0	0	2	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	1	3	1	0	4	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	221	1	1	0	1	11	5	8	9	6	3	6	1	6	5	4	4	7	0	2	3	0	9	4	3	4	9	1	2	3	5	2	1	0	5	2	8	10	5	3	5	13	2	6	5	5	3	2	11	10	0					
		1.66%	0.31%	0.97%	0.0%	0.87%	1.53%	1.76%	1.49%	2.61%	2.59%	0.94%	1.22%	0.95%	1.40%	1.24%	2.32%	4.21%	2.32%	0.0%	2.38%	0.89%	0.0%	4.5%	1.74%	2.32%	0.79%	2.41%	0.27%	1.37%	3.12%	2.0%	0.32%	0.75%	0.0%	4.95%	0.68%	3.79%	1.88%	3.12%	0.62%	2.18%	3.22%	1.36%	3.22%	1.83%	2.26%	1.37%	0.95%	2.18%	4.95%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	99	3	0	0	0	5	3	5	0	0	1	5	0	0	6	4	0	2	0	0	0	0	3	5	0	5	1	1	0	4	8	4	0	0	0	5	0	1	2	13	2	6	1	0	1	1	0	2	0	0	0					
		0.74%	0.93%	0.0%	0.0%	0.0%	0.69%	1.06%	0.93%	0.0%	0.0%	0.31%	1.01%	0.0%	0.0%	1.49%	2.32%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	1.5%	2.18%	0.0%	0.99%	0.26%	0.27%	0.0%	4.16%	3.2%	0.65%	0.0%	0.0%	0.0%	1.71%	0.0%	0.18%	1.25%	2.69%	0.87%	1.48%	0.68%	0.0%	0.36%	0.45%	0.0%	0.95%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	302	4	2	2	0	34	3	15	5	14	3	10	2	7	15	3	6	12	2	0	5	1	9	7	5	12	4	2	2	1	3	17	6	3	1	3	7	11	6	12	8	4	2	2	9	3	3	5	4	4	2					
