Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Северная																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12052	462	144	586	161	255	323	252	80	286	170	475	183	173	221	181	119	138	243	217	123	298	202	534	132	141	2356	1569	567	405	106	120	417	210	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12208	470	150	590	160	260	330	255	85	290	173	485	185	175	225	185	120	140	245	230	125	300	205	540	135	140	2375	1590	570	405	110	120	420	215	205									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6128	190	80	326	89	151	156	106	60	185	96	271	87	118	102	133	73	87	147	144	85	127	94	282	99	83	1006	755	226	181	60	86	242	87	114									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	736	12	7	35	7	31	50	41	4	16	13	62	16	24	16	8	9	20	15	24	4	29	18	39	10	8	42	18	42	29	10	5	26	18	28									
6	Число погашенных избирательных бюллетеней	5344	268	63	229	64	78	124	108	21	89	64	152	82	33	107	44	38	33	83	62	36	144	93	219	26	49	1327	817	302	195	40	29	152	110	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	736	12	7	35	7	31	50	41	4	16	13	62	16	24	16	8	9	20	15	24	4	29	18	39	10	8	42	18	42	29	10	5	26	18	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6128	190	80	326	89	151	156	106	60	185	96	271	87	118	102	133	73	87	147	144	85	127	94	282	99	83	1006	755	226	181	60	86	242	87	114									
9	Число недействительных избирательных бюллетеней	202	5	2	15	5	0	9	0	1	78	2	1	1	1	2	1	3	0	3	0	0	2	0	12	0	0	17	15	2	8	3	3	10	1	0									
10	Число действительных избирательных бюллетеней	6662	197	85	346	91	182	197	147	63	123	107	332	102	141	116	140	79	107	159	168	89	154	112	309	109	91	1031	758	266	202	67	88	258	104	142									
