Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
Наименование Избирательной комиссии:    Ленинская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181					
1	"Число избирателей, внесенных в списки избирателей"	120441	1148	1197	1956	1782	2182	1961	1872	2142	1988	2032	1983	2258	2551	2509	1433	2337	2532	1636	2049	1643	886	1088	1853	1586	570	458	1399	2302	2326	2560	2763	2522	1141	776	2118	2259	1668	468	1437	1397	2531	2815	2031	2815	1961	399	738	260	2025	338	321	2020	1805	2503	1930	2105	889	204	2356	2855	2427	3143	2083	1862	1807	672	1642	2128	461	547					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	118496	1070	1164	1865	1755	2150	1800	1820	2110	1895	1986	1925	2185	2430	2445	2560	2280	2440	1594	1980	1550	851	1000	1685	1500	570	425	1276	2248	2272	2507	2665	2442	1100	752	2003	2206	1595	449	1400	1370	2475	2635	2597	2654	2565	350	624	254	1950	276	333	2265	2215	2334	1810	2260	787	331	2280	2730	2264	2530	1980	1790	1734	581	1520	2090	462	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	75303	832	714	1123	1022	1086	1079	1006	1137	1021	1103	1124	1274	1371	1241	1399	1148	1447	848	1088	852	447	513	1005	947	359	294	880	1428	1538	1745	1716	1541	897	416	1058	1390	733	263	900	858	1833	1868	1975	1911	1936	302	602	135	1223	147	173	1978	1673	1661	1098	2105	507	196	1201	1569	1314	1984	1257	1144	1096	462	883	1475	253	499					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2979	35	12	30	43	49	34	13	28	41	14	18	9	34	36	34	59	28	31	20	11	48	57	56	62	47	32	88	16	5	13	36	10	43	145	107	56	212	64	56	28	22	7	56	26	25	32	19	26	88	112	25	42	132	4	7	0	45	8	26	26	27	67	31	31	22	64	73	25	151	0					
6	Число погашенных избирательных бюллетеней	40214	203	438	712	690	1015	687	801	945	833	869	783	902	1025	1168	1127	1073	965	715	872	687	356	430	624	491	164	99	308	804	729	749	913	891	160	191	838	760	650	122	444	484	620	760	566	717	604	16	3	93	639	17	135	245	410	669	705	155	235	127	1053	1135	923	479	692	615	616	55	564	590	58	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2979	35	12	30	43	49	34	13	28	41	14	18	9	34	36	34	59	28	31	20	11	48	57	56	62	47	32	88	16	5	13	36	10	43	145	107	56	212	64	56	28	22	7	56	26	25	32	19	26	88	112	25	42	132	4	7	0	45	8	26	26	27	67	31	31	22	64	73	25	151	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	75180	831	714	1122	1022	1086	1076	1006	1137	1021	1103	1123	1274	1370	1240	1384	1148	1447	847	1083	852	447	513	1005	947	359	293	878	1426	1538	1745	1715	1537	897	416	1058	1390	733	263	900	857	1811	1863	1975	1895	1921	302	602	135	1223	147	173	1978	1673	1658	1093	2105	506	196	1201	1569	1304	1984	1257	1144	1090	462	883	1475	253	499					
9	Число недействительных избирательных бюллетеней	1171	10	16	13	16	20	23	11	24	20	23	23	25	12	12	9	27	14	10	19	14	14	12	13	8	5	4	12	29	12	22	24	17	14	21	22	22	3	1	14	10	44	31	17	25	29	5	13	2	32	4	2	4	21	27	8	42	28	5	20	30	20	23	18	13	24	11	7	27	14	5					
10	Число действительных избирательных бюллетеней	76988	856	710	1139	1049	1115	1087	1008	1141	1042	1094	1118	1258	1392	1264	1409	1180	1461	868	1084	849	481	558	1048	1001	401	321	954	1413	1531	1736	1727	1530	926	540	1143	1424	942	326	942	875	1789	1839	2014	1896	1917	329	608	159	1279	255	196	2016	1784	1635	1092	2063	523	199	1207	1565	1311	2028	1270	1162	1088	515	949	1473	390	494					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2400	30	30	30	30	30	30	30	30	30	40	45	40	55	30	40	30	35	30	30	30	30	30	30	30	30	30	50	40	30	45	40	30	30	30	30	35	30	30	30	30	30	40	50	75	50	30	30	30	30	30	30	40	30	90	50	30	30	30	30	30	40	30	30	30	30	30	30	30	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1703	11	8	18	16	30	16	15	30	24	34	30	31	49	29	37	22	31	28	21	16	13	13	30	30	15	3	43	31	30	43	39	30	8	3	24	35	23	2	25	23	23	40	44	65	50	3	6	1	23	3	6	36	24	82	44	30	13	7	27	30	38	30	30	21	26	3	18	21	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2010	44	13	46	24	9	8	10	3	13	15	15	19	15	8	21	11	22	17	30	10	21	31	105	31	15	30	13	8	5	20	43	18	8	5	34	29	32	21	14	16	42	47	28	103	21	43	32	8	26	13	8	29	34	89	37	5	31	25	27	33	38	182	36	27	42	61	20	8	1	62					
14	Число погашенных неиспользованных открепительных удостоверений	697	19	22	12	14	0	14	15	0	6	6	15	9	6	1	3	8	4	2	9	14	17	17	0	0	15	27	7	9	0	2	1	0	22	27	6	0	7	28	5	7	7	0	6	10	0	27	24	29	7	27	24	4	6	8	6	0	17	23	3	0	2	0	0	9	4	27	12	9	30	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	1	2	1	1	3	3	1	2	1	2	2	2	2	0	0	0	3	1	2	1	0	0	4	2	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	3	0	1	1	0	0	0	0	0					
