Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Колыванская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в списки избирателей"	19935	2579	1642	2152	1642	838	519	338	762	194	419	958	491	298	1561	286	87	520	166	98	488	407	109	112	465	45	169	291	321	340	580	235	75	109	394	245					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19040	2000	1600	2000	1500	800	490	320	780	180	400	1000	480	280	1560	290	100	550	160	100	500	420	100	100	480	50	160	300	330	350	600	230	70	110	400	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10993	1251	816	942	681	370	276	156	416	133	251	534	310	211	868	141	50	361	97	63	356	261	94	84	295	41	119	195	226	185	396	125	54	91	340	204					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1055	83	72	98	31	43	24	25	31	13	21	57	25	14	75	15	8	49	7	9	22	47	6	12	22	0	21	24	16	36	81	33	0	6	23	6					
6	Число погашенных избирательных бюллетеней	6992	666	712	960	788	387	190	139	333	34	128	409	145	55	617	134	42	140	56	28	122	112	0	4	163	9	20	81	88	129	123	72	16	13	37	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1055	83	72	98	31	43	24	25	31	13	21	57	25	14	75	15	8	49	7	9	22	47	6	12	22	0	21	24	16	36	81	33	0	6	23	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10987	1247	815	942	681	370	276	156	416	133	251	534	310	211	868	141	50	361	97	63	356	260	94	84	295	41	119	195	226	185	396	125	54	91	340	204					
9	Число недействительных избирательных бюллетеней	139	17	14	8	7	5	0	0	5	2	4	9	7	1	9	6	0	1	6	1	8	2	0	1	1	0	0	6	6	0	6	2	2	0	2	1					
10	Число действительных избирательных бюллетеней	11903	1313	873	1032	705	408	300	181	442	144	268	582	328	224	934	150	58	409	98	71	370	305	100	95	316	41	140	213	236	221	471	156	52	97	361	209					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	283	22	20	15	9	5	5	5	10	5	5	23	5	5	23	0	2	9	0	0	15	15	5	5	10	5	5	5	5	10	10	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	202	17	15	12	9	5	2	0	8	0	1	23	5	1	23	0	2	9	0	0	15	15	1	1	7	0	0	0	5	10	4	5	0	0	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	136	11	15	5	7	8	2	3	3	2	2	3	2	3	9	5	4	3	1	2	4	4	3	3	3	6	1	3	3	1	5	1	3	2	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	81	5	5	3	0	0	3	5	2	5	4	0	0	4	0	0	0	0	0	0	0	0	4	4	3	5	5	5	0	0	6	0	5	5	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	1.Политическая партия «Аграрная партия России»	237	16	20	16	12	7	4	1	5	3	3	15	6	3	11	8	1	9	8	4	6	12	1	1	4	0	2	6	4	6	11	12	2	1	3	14					
