Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Елабужская городская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420					
1	"Число избирателей, внесенных в списки избирателей"	48153	1128	1288	1291	1059	965	1059	352	1146	1184	950	1514	97	689	1815	915	1419	1265	1215	1986	173	968	1358	2287	2176	2212	2327	1116	1438	2186	1233	959	2125	1983	216	1855	1830	349	25					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	48372	1140	1310	1310	1080	970	1080	351	1140	1190	920	1520	97	700	1850	930	1440	1260	1220	2000	170	980	1400	2280	2180	2270	2350	1100	1440	2170	1210	950	2120	2000	210	1870	1790	349	25					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41381	1001	1118	1002	995	818	926	335	989	1042	801	1281	97	574	1464	779	1322	1027	1069	1643	149	818	1105	1903	1812	2032	2131	942	1263	1833	1049	822	1788	1752	177	1561	1587	349	25					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1337	38	21	108	28	68	99	10	55	53	64	64	0	46	61	19	34	41	31	47	15	37	53	71	23	22	34	18	12	25	14	8	20	47	17	14	20	0	0					
6	Число погашенных избирательных бюллетеней	5654	101	171	200	57	84	55	6	96	95	55	175	0	80	325	132	84	192	120	310	6	125	242	306	345	216	185	140	165	312	147	120	312	201	16	295	183	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1337	38	21	108	28	68	99	10	55	53	64	64	0	46	61	19	34	41	31	47	15	37	53	71	23	22	34	18	12	25	14	8	20	47	17	14	20	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41375	1001	1118	1002	995	818	926	335	989	1042	801	1281	97	574	1464	779	1322	1021	1069	1643	149	818	1105	1903	1812	2032	2131	942	1263	1833	1049	822	1788	1752	177	1561	1587	349	25					
9	Число недействительных избирательных бюллетеней	291	2	3	7	7	1	0	0	0	7	2	0	0	0	3	0	5	7	0	5	0	2	0	10	0	154	6	6	17	0	4	0	9	0	0	6	10	18	0					
10	Число действительных избирательных бюллетеней	42421	1037	1136	1103	1016	885	1025	345	1044	1088	863	1345	97	620	1522	798	1351	1055	1100	1685	164	853	1158	1964	1835	1900	2159	954	1258	1858	1059	830	1799	1799	194	1569	1597	331	25					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	964	20	30	20	20	20	25	0	20	20	20	23	0	20	23	20	23	25	20	50	10	15	35	34	32	71	69	23	22	50	30	20	35	30	10	40	39	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	929	20	30	20	20	20	25	0	20	12	14	23	0	20	23	20	23	25	20	48	2	13	35	34	32	71	69	22	22	50	29	20	35	30	3	40	39	0	0					
