Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Череповецкая городская																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																			
																																																																																																																			
		Сумма	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061					
1	"Число избирателей, внесенных в списки"	251551	2763	2445	2474	2378	2700	2668	2769	2653	2752	2768	1259	19	13	2027	2507	2561	2801	2864	12	96	2734	2797	2758	2796	2736	2849	2836	2675	2805	2834	13	2545	2717	2792	2806	2767	2374	2515	2590	2610	2664	67	2753	2681	2699	2823	2465	2811	2773	2840	2518	193	1144	2562	2581	2546	2456	2741	2274	46	2729	2571	2442	2758	2750	2703	2799	2609	2718	2743	2561	16	2629	2462	2683	2522	2757	2768	2716	2756	2679	2829	2813	2595	2799	2770	2812	2801	69	37	2733	2789	2800	2589	2755	2743	2505	2412	2812	2857	2791	246	21	2560	2600	2372	2723	2632					
2	"Число бюллетеней, полученных участковыми комиссиями"	230016	2505	2220	2220	2100	2475	2385	2530	2380	2500	2500	1140	585	50	2000	2290	2320	2550	2540	20	300	2500	2540	2515	2550	2500	2620	2600	2500	2600	2500	500	2300	2500	2600	2500	2500	2100	2300	2350	2400	2400	200	2500	2450	2450	2550	2300	2600	2500	2500	2300	300	1000	2300	2300	2300	2200	2400	2000	60	2400	2300	2200	2500	2500	2450	2550	2400	2500	2500	2300	20	2400	2250	2450	2360	2500	2530	2470	2510	2370	2570	2550	2370	2550	2500	2560	2550	150	100	2500	2530	2535	2360	2500	2520	2280	2200	2560	2600	2530	260	21	2345	2300	2160	2360	2400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	124990	1385	1211	1184	1215	1338	1289	1459	1349	1278	1434	465	14	13	719	1269	1308	1281	1263	12	84	1375	1208	1081	1205	1192	1306	1312	987	1297	1476	13	1061	1280	1323	1436	1427	1305	1332	1349	1440	1239	46	1055	1458	1478	1563	1089	1544	1527	1648	1870	193	643	1092	1144	1219	1141	1274	1199	41	1457	1193	1152	1240	1366	1435	1425	1406	1529	1315	1303	16	1235	1262	1229	1113	1319	1304	1442	1400	1298	1414	1513	1397	1455	1444	1536	1397	42	0	1425	1498	1457	1327	1347	1485	1400	1186	1493	1487	1365	119	19	1223	1345	1188	1259	1292					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1848	13	49	10	5	11	8	10	11	4	12	59	5	0	8	29	31	33	19	0	10	26	22	16	31	34	21	5	8	15	31	0	20	2	28	40	31	31	26	24	43	24	0	13	32	25	23	7	13	15	25	14	0	5	5	12	12	16	12	13	5	10	14	19	15	17	17	22	9	23	31	13	0	27	23	20	23	21	20	11	15	24	26	19	16	8	25	19	9	27	3	15	14	30	13	18	12	12	10	16	11	14	48	0	20	8	9	11	9					
6	Число погашенных бюллетеней	103178	1107	960	1026	880	1126	1088	1061	1020	1218	1054	616	566	37	1273	992	981	1236	1258	8	206	1099	1310	1418	1314	1274	1293	1283	1505	1288	993	487	1219	1218	1249	1024	1042	764	942	977	917	1137	154	1432	960	947	964	1204	1043	958	827	416	107	352	1203	1144	1069	1043	1114	788	14	933	1093	1029	1245	1117	998	1103	985	948	1154	984	4	1138	965	1201	1224	1160	1206	1017	1095	1048	1130	1018	957	1087	1031	1005	1144	81	97	1060	1018	1048	1020	1135	1023	868	1004	1051	1102	1151	93	2	1102	947	963	1090	1099					
7	Число бюллетеней в переносных ящиках для голосования	1848	13	49	10	5	11	8	10	11	4	12	59	5	0	8	29	31	33	19	0	10	26	22	16	31	34	21	5	8	15	31	0	20	2	28	40	31	31	26	24	43	24	0	13	32	25	23	7	13	15	25	14	0	5	5	12	12	16	12	13	5	10	14	19	15	17	17	22	9	23	31	13	0	27	23	20	23	21	20	11	15	24	26	19	16	8	25	19	9	27	3	15	14	30	13	18	12	12	10	16	11	14	48	0	20	8	9	11	9					
8	Число бюллетеней в стационарных ящиках для голосования	124632	1382	1206	1175	1213	1336	1289	1459	1347	1278	1434	465	14	13	719	1269	1308	1275	1263	12	84	1375	1206	1081	1205	1192	1303	1309	986	1177	1474	13	1059	1270	1321	1430	1427	1304	1332	1343	1439	1235	46	1035	1458	1464	1562	1087	1539	1524	1644	1863	193	643	1089	1144	1219	1138	1274	1199	41	1452	1193	1152	1234	1365	1435	1425	1406	1524	1313	1299	16	1235	1262	1229	1112	1298	1298	1442	1399	1296	1414	1513	1396	1455	1436	1536	1397	42	0	1425	1496	1454	1326	1347	1485	1396	1183	1492	1486	1365	119	19	1223	1332	1187	1256	1283					
9	Число недействительных бюллетеней	3836	36	12	11	28	21	45	54	29	44	26	16	0	1	8	38	87	94	76	0	8	87	64	26	54	66	115	97	16	57	19	0	9	28	73	128	42	16	32	59	32	49	0	20	64	34	38	21	38	23	18	17	7	15	33	36	31	31	16	32	0	52	48	57	16	51	17	43	91	29	25	26	0	52	105	53	31	42	45	37	28	11	24	41	22	70	14	18	19	4	0	41	71	13	30	48	22	31	10	30	44	40	1	0	68	30	12	49	48					
10	Число действительных бюллетеней	122644	1359	1243	1174	1190	1326	1252	1415	1329	1238	1420	508	19	12	719	1260	1252	1214	1206	12	86	1314	1164	1071	1182	1160	1209	1217	978	1135	1486	13	1070	1244	1276	1342	1416	1319	1326	1308	1450	1210	46	1028	1426	1455	1547	1073	1514	1516	1651	1860	186	633	1061	1120	1200	1123	1270	1180	46	1410	1159	1114	1233	1331	1435	1404	1324	1518	1319	1286	16	1210	1180	1196	1104	1277	1273	1416	1386	1309	1416	1491	1390	1393	1447	1537	1387	65	3	1399	1439	1471	1309	1317	1475	1377	1183	1478	1453	1339	166	19	1175	1310	1184	1218	1244					
