Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Кинешемская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542					
1	"Число избирателей, внесенных в список избирателей"	17542	334	179	164	251	941	171	325	254	262	158	169	1354	848	1392	416	1444	1343	998	1284	1142	1290	1286	1066	471					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17487	360	180	160	270	920	190	330	260	270	160	175	1380	890	1290	405	1440	1350	990	1310	1160	1275	1290	1075	357					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7869	183	115	82	141	415	105	160	154	122	103	60	709	391	872	153	524	539	348	509	436	436	618	440	254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1987	61	38	57	59	176	45	113	54	72	21	73	158	120	62	121	108	85	137	71	72	134	61	56	33					
6	Число погашенных избирательных бюллетеней	7631	116	27	21	70	329	40	57	52	76	36	42	513	379	356	131	808	726	505	730	652	705	611	579	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1987	61	38	57	59	176	45	113	54	72	21	73	158	120	62	121	108	85	137	71	72	134	61	56	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7869	183	115	82	141	415	105	160	154	122	103	60	709	391	872	153	524	539	348	509	436	436	618	440	254					
9	Число недействительных избирательных бюллетеней	115	0	0	0	0	15	0	0	1	2	1	1	7	8	15	4	11	4	2	11	9	6	4	8	6					
10	Число действительных избирательных бюллетеней	9741	244	153	139	200	576	150	273	207	192	123	132	860	503	919	270	621	620	483	569	499	564	675	488	281					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	466	35	5	5	20	25	17	20	12	7	5	5	56	45	45	12	20	20	15	15	15	15	22	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	460	35	5	5	20	25	17	20	12	7	5	5	56	45	45	12	16	19	15	15	15	14	22	15	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	355	8	2	3	4	17	4	13	3	3	1	4	36	15	66	2	24	18	20	15	9	12	12	17	47					
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	4	0	1	3	1	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1431	32	9	11	28	78	19	51	26	16	21	12	136	60	159	60	84	73	69	82	74	90	102	82	57					
		14.52%	13.11%	5.88%	7.91%	14.00%	13.20%	12.67%	18.68%	12.50%	8.25%	16.94%	9.02%	15.69%	11.74%	17.02%	21.90%	13.29%	11.70%	14.23%	14.14%	14.57%	15.79%	15.02%	16.53%	19.86%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1522	38	14	17	30	107	6	46	39	29	15	14	149	87	148	35	93	120	58	95	84	85	111	73	29					
		15.44%	15.57%	9.15%	12.23%	15.00%	18.10%	4.00%	16.85%	18.75%	14.95%	12.10%	10.53%	17.19%	17.03%	15.85%	12.77%	14.72%	19.23%	11.96%	16.38%	16.54%	14.91%	16.35%	14.72%	10.10%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	112	2	0	1	0	5	3	0	2	3	0	2	10	3	12	5	9	5	5	9	3	7	13	9	4					
		1.14%	0.82%	0.00%	0.72%	0.00%	0.85%	2.00%	0.00%	0.96%	1.55%	0.00%	1.50%	1.15%	0.59%	1.28%	1.82%	1.42%	0.80%	1.03%	1.55%	0.59%	1.23%	1.91%	1.81%	1.39%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2020	54	38	23	24	69	21	37	65	42	14	24	179	116	291	43	170	138	77	117	72	122	118	93	73					
		20.50%	22.13%	24.84%	16.55%	12.00%	11.68%	14.00%	13.55%	31.25%	21.65%	11.29%	18.05%	20.65%	22.70%	31.16%	15.69%	26.90%	22.12%	15.88%	20.17%	14.17%	21.40%	17.38%	18.75%	25.44%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	217	2	0	0	2	9	2	5	3	1	2	4	19	11	28	2	14	9	17	14	15	19	19	9	11					
		2.20%	0.82%	0.00%	0.00%	1.00%	1.52%	1.33%	1.83%	1.44%	0.52%	1.61%	3.01%	2.19%	2.15%	2.99%	0.73%	2.22%	1.44%	3.51%	2.41%	2.95%	3.33%	2.80%	1.81%	3.83%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4379	114	90	85	116	307	98	132	71	101	71	76	361	222	274	124	247	270	256	248	251	237	310	214	104					
		44.43%	46.72%	58.82%	61.15%	58.00%	51.95%	65.33%	48.35%	34.13%	52.06%	57.26%	57.14%	41.64%	43.44%	29.34%	45.26%	39.08%	43.27%	52.78%	42.76%	49.41%	41.58%	45.66%	43.15%	36.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	60	2	2	2	0	1	1	2	1	0	0	0	6	4	7	1	4	5	1	4	0	4	2	8	3					
		0.61%	0.82%	1.31%	1.44%	0.00%	0.17%	0.67%	0.73%	0.48%	0.00%	0.00%	0.00%	0.69%	0.78%	0.75%	0.36%	0.63%	0.80%	0.21%	0.69%	0.00%	0.70%	0.29%	1.61%	1.05%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
