Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Глушковская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в списки"	22605	360	83	589	439	202	221	157	57	1286	244	228	826	290	1646	2066	1321	1480	1247	1146	590	763	617	257	202	237	1728	599	1146	1189	1216	173					
2	"Число бюллетеней, полученных участковыми комиссиями"	20143	320	75	526	392	180	197	136	52	1129	212	205	752	261	1471	1843	1183	1303	1108	992	521	690	557	228	176	212	1543	537	1026	1057	1104	155					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13203	239	50	306	271	135	158	123	27	713	167	164	517	140	1053	1177	740	756	558	644	394	475	294	149	119	106	1087	383	722	743	684	109					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	777	22	1	40	22	11	10	1	7	0	4	17	11	27	33	76	16	20	12	17	29	80	64	6	12	18	36	53	39	31	51	11					
6	Число погашенных бюллетеней	6163	59	24	180	99	34	29	12	18	416	41	24	224	94	385	590	427	527	538	331	98	135	199	73	45	88	420	101	265	283	369	35					
7	Число бюллетеней в переносных ящиках для голосования	777	22	1	40	22	11	10	1	7	0	4	17	11	27	33	76	16	20	12	17	29	80	64	6	12	18	36	53	39	31	51	11					
8	Число бюллетеней в стационарных ящиках для голосования	13189	239	50	306	271	135	158	123	27	713	167	164	517	140	1053	1169	740	751	558	643	394	475	294	149	119	106	1087	383	722	743	684	109					
9	Число недействительных бюллетеней	589	21	8	13	7	10	15	10	0	47	16	20	26	11	18	16	24	48	38	22	30	28	5	0	9	8	22	21	27	14	46	9					
10	Число действительных бюллетеней	13377	240	43	333	286	136	153	114	34	666	155	161	502	156	1068	1229	732	723	532	638	393	527	353	155	122	116	1101	415	734	760	689	111					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	155	3	3	5	5	3	3	3	3	5	2	5	5	2	10	10	10	10	10	10	5	5	5	3	3	2	5	3	5	5	5	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	31	0	0	1	0	0	0	0	0	2	0	0	0	0	3	4	5	3	1	1	0	2	1	0	0	0	4	1	0	2	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	5	0	0	2	0	3	0	0	0	1	1	2	2	1	3	1					
14	Число погашенных открепительных удостоверений	124	3	3	4	5	3	3	3	3	3	2	5	5	2	7	6	5	7	9	9	5	3	4	3	3	2	1	2	5	3	5	1					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	343	3	0	9	6	3	3	6	0	37	8	11	17	4	18	18	5	17	15	15	11	11	12	0	2	13	18	15	23	13	25	5					
		2.45%	1.14%	0.0%	2.60%	2.04%	2.05%	1.78%	4.83%	0.0%	5.18%	4.67%	6.07%	3.21%	2.39%	1.65%	1.44%	0.66%	2.20%	2.63%	2.27%	2.60%	1.98%	3.35%	0.0%	1.52%	10.48%	1.60%	3.44%	3.02%	1.67%	3.40%	4.16%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	139	2	0	0	1	4	3	1	0	11	1	0	4	0	14	10	14	17	12	11	5	3	1	3	0	0	7	3	5	4	3	0					
		0.99%	0.76%	0.0%	0.0%	0.34%	2.73%	1.78%	0.80%	0.0%	1.54%	0.58%	0.0%	0.75%	0.0%	1.28%	0.80%	1.85%	2.20%	2.10%	1.66%	1.18%	0.54%	0.27%	1.93%	0.0%	0.0%	0.62%	0.68%	0.65%	0.51%	0.40%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	387	8	2	7	4	2	5	3	2	39	8	5	8	7	17	21	9	39	19	27	14	16	19	1	5	5	30	18	14	20	8	5					
		2.77%	3.06%	3.92%	2.02%	1.36%	1.36%	2.97%	2.41%	5.88%	5.46%	4.67%	2.76%	1.51%	4.19%	1.56%	1.68%	1.19%	5.05%	3.33%	4.09%	3.30%	2.88%	5.30%	0.64%	3.81%	4.03%	2.67%	4.12%	1.83%	2.58%	1.08%	4.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	198	3	2	1	1	0	0	1	0	7	13	3	3	3	25	29	17	5	11	6	9	6	5	0	2	2	13	5	12	7	7	0					
		1.41%	1.14%	3.92%	0.28%	0.34%	0.0%	0.0%	0.80%	0.0%	0.98%	7.60%	1.65%	0.56%	1.79%	2.30%	2.32%	2.24%	0.64%	1.92%	0.90%	2.12%	1.08%	1.39%	0.0%	1.52%	1.61%	1.15%	1.14%	1.57%	0.90%	0.95%	0.0%					
22	"5. ""За Русь Святую"""	125	3	1	4	3	0	1	1	0	9	0	0	9	0	8	12	7	8	1	2	9	4	1	5	0	1	5	7	9	5	10	0					
		0.89%	1.14%	1.96%	1.15%	1.02%	0.0%	0.59%	0.80%	0.0%	1.26%	0.0%	0.0%	1.70%	0.0%	0.73%	0.96%	0.92%	1.03%	0.17%	0.30%	2.12%	0.72%	0.27%	3.22%	0.0%	0.80%	0.44%	1.60%	1.18%	0.64%	1.36%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	48	3	1	1	2	0	0	0	0	1	2	0	0	1	2	2	2	0	1	1	6	0	1	2	0	0	0	7	4	5	3	1					
		0.34%	1.14%	1.96%	0.28%	0.68%	0.0%	0.0%	0.0%	0.0%	0.14%	1.16%	0.0%	0.0%	0.59%	0.18%	0.16%	0.26%	0.0%	0.17%	0.15%	1.41%	0.0%	0.27%	1.29%	0.0%	0.0%	0.0%	1.60%	0.52%	0.64%	0.40%	0.83%					
24	"7. ""Новый курс - Автомобильная Россия"""	126	1	0	0	1	2	3	0	1	6	1	2	0	3	6	15	11	9	8	2	1	9	1	2	0	1	10	10	12	7	2	0					
		0.90%	0.38%	0.0%	0.0%	0.34%	1.36%	1.78%	0.0%	2.94%	0.84%	0.58%	1.10%	0.0%	1.79%	0.55%	1.20%	1.45%	1.16%	1.40%	0.30%	0.23%	1.62%	0.27%	1.29%	0.0%	0.80%	0.89%	2.29%	1.57%	0.90%	0.27%	0.0%					
25	"8. ""Народно-республиканская партия России"""	61	0	0	2	1	3	4	1	2	4	0	1	13	0	3	1	1	5	0	5	0	0	2	0	0	1	2	1	3	1	4	1					
		0.43%	0.0%	0.0%	0.57%	0.34%	2.05%	2.38%	0.80%	5.88%	0.56%	0.0%	0.55%	2.46%	0.0%	0.27%	0.08%	0.13%	0.64%	0.0%	0.75%	0.0%	0.0%	0.55%	0.0%	0.0%	0.80%	0.17%	0.22%	0.39%	0.12%	0.54%	0.83%					
26	"9. ""Российская экологическая партия ""Зеленые"""	57	1	0	1	3	0	0	0	1	6	0	0	0	6	0	4	1	6	4	5	1	0	2	0	1	2	4	2	5	0	2	0					
