Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Лебедянская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35143	1549	1863	1802	1319	1579	1623	1334	1204	1736	1770	1440	1235	1128	424	273	528	618	926	253	542	226	415	223	333	224	410	175	843	232	398	177	756	471	362	161	261	1349	1215	318	217	1902	335	238	301	116	150	189									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32500	1400	1700	1650	1200	1450	1500	1200	1100	1600	1600	1300	1100	1000	400	250	500	600	850	250	500	200	400	210	320	210	400	170	800	220	400	170	700	450	350	150	250	1300	1100	300	200	1800	300	230	280	110	150	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14579	617	801	706	470	596	584	412	446	662	700	559	474	347	163	119	265	324	455	98	185	111	242	124	205	103	125	51	421	189	216	103	307	201	173	113	164	491	481	141	91	849	118	100	180	50	100	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2034	42	37	41	24	84	16	28	39	9	17	19	98	109	49	5	18	81	80	33	50	21	25	21	20	30	60	52	135	21	41	22	129	54	23	16	30	67	60	38	39	111	42	37	17	5	23	16									
6	Число погашенных избирательных бюллетеней	15887	741	862	903	706	770	900	760	615	929	883	722	528	544	188	126	217	195	315	119	265	68	133	65	95	77	215	67	244	10	143	45	264	195	154	21	56	742	559	121	70	840	140	93	83	55	27	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2034	42	37	41	24	84	16	28	39	9	17	19	98	109	49	5	18	81	80	33	50	21	25	21	20	30	60	52	135	21	41	22	129	54	23	16	30	67	60	38	39	111	42	37	17	5	23	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14579	617	801	706	470	596	584	412	446	662	700	559	474	347	163	119	265	324	455	98	185	111	242	124	205	103	125	51	421	189	216	103	307	201	173	113	164	491	481	141	91	849	118	100	180	50	100	147									
9	Число недействительных избирательных бюллетеней	392	22	14	15	11	19	22	15	10	17	23	12	18	11	7	0	11	4	3	3	4	2	5	1	18	3	2	1	5	14	4	2	8	10	1	0	0	7	12	1	1	32	9	5	5	0	2	1									
10	Число действительных избирательных бюллетеней	16221	637	824	732	483	661	578	425	475	654	694	566	554	445	205	124	272	401	532	128	231	130	262	144	207	130	183	102	551	196	253	123	428	245	195	129	194	551	529	178	129	928	151	132	192	55	121	162									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	323	10	10	10	10	10	10	10	10	10	10	10	10	10	5	5	5	5	5	5	5	5	5	5	7	5	5	5	6	5	5	5	10	5	5	5	5	10	10	5	5	10	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	104	5	6	6	4	3	1	3	5	6	4	1	4	1	0	1	0	0	2	2	1	0	2	0	7	1	0	0	6	0	0	2	10	1	0	0	0	2	1	2	1	6	1	1	0	2	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	7	5	4	0	5	3	4	2	2	2	4	3	4	3	3	3	3	1	5	1	6	4	1	1	3	3	2	9	1	2	2	2	6	3	6	1	1	2	2	2	9	1	4	2	1	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	219	5	4	4	6	7	9	7	5	4	6	9	6	9	5	4	5	5	3	3	4	5	3	5	0	4	5	5	0	5	5	3	0	4	5	5	5	8	9	3	4	4	4	4	5	3	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	2	9	2	3	7	3	2	1	1	6	4	6	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	1	3	2	1	0	3	0	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	308	16	16	17	11	15	15	8	11	11	16	12	11	4	4	2	8	5	14	1	6	3	3	1	4	1	2	2	11	3	5	8	4	2	0	0	5	8	11	2	5	11	8	4	0	1	0	1									
		1.85%	2.43%	1.91%	2.28%	2.23%	2.21%	2.50%	1.82%	2.27%	1.64%	2.23%	2.08%	1.92%	0.88%	1.89%	1.61%	2.83%	1.23%	2.62%	0.76%	2.55%	2.27%	1.12%	0.69%	1.78%	0.75%	1.08%	1.94%	1.98%	1.43%	1.95%	6.40%	0.92%	0.78%	0.00%	0.00%	2.58%	1.43%	2.03%	1.12%	3.85%	1.15%	5.00%	2.92%	0.00%	1.82%	0.00%	0.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	461	19	34	25	21	20	16	13	15	14	27	23	16	8	9	5	0	12	15	1	8	2	6	3	3	6	1	0	10	0	4	4	9	7	5	1	8	18	13	4	6	27	5	5	5	1	4	3									
		2.77%	2.88%	4.06%	3.35%	4.25%	2.94%	2.67%	2.95%	3.09%	2.09%	3.77%	3.98%	2.80%	1.75%	4.25%	4.03%	0.00%	2.96%	2.80%	0.76%	3.40%	1.52%	2.25%	2.07%	1.33%	4.51%	0.54%	0.00%	1.80%	0.00%	1.56%	3.20%	2.06%	2.75%	2.55%	0.78%	4.12%	3.23%	2.40%	2.23%	4.62%	2.81%	3.13%	3.65%	2.54%	1.82%	3.25%	1.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	451	21	34	18	16	23	22	12	16	22	15	15	18	15	10	4	8	9	15	3	3	2	2	0	4	4	7	1	14	1	7	3	9	7	4	2	1	17	18	6	1	21	7	4	2	1	2	5									
		2.71%	3.19%	4.06%	2.41%	3.24%	3.38%	3.67%	2.73%	3.30%	3.28%	2.09%	2.60%	3.15%	3.29%	4.72%	3.23%	2.83%	2.22%	2.80%	2.29%	1.28%	1.52%	0.75%	0.00%	1.78%	3.01%	3.78%	0.97%	2.52%	0.48%	2.72%	2.40%	2.06%	2.75%	2.04%	1.55%	0.52%	3.05%	3.33%	3.35%	0.77%	2.19%	4.38%	2.92%	1.02%	1.82%	1.63%	3.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8244	230	325	284	183	261	234	188	189	274	285	211	276	204	85	69	173	281	328	79	122	92	185	109	152	82	117	76	347	173	148	55	287	159	136	104	110	256	263	118	78	434	63	67	133	26	88	105									
		49.62%	34.90%	38.78%	38.02%	37.04%	38.38%	39.00%	42.73%	38.97%	40.83%	39.75%	36.51%	48.25%	44.74%	40.09%	55.65%	61.13%	69.38%	61.31%	60.31%	51.91%	69.70%	69.29%	75.17%	67.56%	61.65%	63.24%	73.79%	62.41%	82.38%	57.59%	44.00%	65.83%	62.35%	69.39%	80.62%	56.70%	45.88%	48.61%	65.92%	60.00%	45.21%	39.38%	48.91%	67.51%	47.27%	71.54%	64.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	93	9	12	2	3	9	5	2	2	3	8	4	2	2	0	0	0	0	2	0	0	1	2	1	0	3	0	0	5	0	1	0	1	1	0	0	0	3	0	1	0	6	0	0	2	0	0	1									
		0.56%	1.37%	1.43%	0.27%	0.61%	1.32%	0.83%	0.45%	0.41%	0.45%	1.12%	0.69%	0.35%	0.44%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.76%	0.75%	0.69%	0.00%	2.26%	0.00%	0.00%	0.90%	0.00%	0.39%	0.00%	0.23%	0.39%	0.00%	0.00%	0.00%	0.54%	0.00%	0.56%	0.00%	0.63%	0.00%	0.00%	1.02%	0.00%	0.00%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	32	1	1	1	0	4	0	1	2	1	0	2	3	1	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	3	1	0	1	0	0	0									
		0.19%	0.15%	0.12%	0.13%	0.00%	0.59%	0.00%	0.23%	0.41%	0.15%	0.00%	0.35%	0.52%	0.22%	0.47%	0.00%	0.00%	0.25%	0.19%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.39%	0.51%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.31%	0.63%	0.00%	0.51%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2402	99	137	124	68	112	78	75	93	80	120	99	76	66	40	18	52	36	63	22	40	12	35	10	20	17	20	12	40	4	33	26	50	33	21	13	33	105	91	25	18	181	28	16	19	12	14	16									
