Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Альметьевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37730	1400	1176	495	243	253	287	641	360	128	278	308	560	839	662	425	1452	521	412	144	667	476	436	1258	1621	482	552	790	557	635	721	564	168	1118	621	877	1611	1404	118	385	521	143	586	207	649	302	224	863	615	237	541	1717	1663	2207	1610									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37400	1415	1175	500	240	245	290	635	360	115	275	300	560	830	670	410	1450	510	405	150	640	520	430	1250	1640	480	540	780	550	610	720	570	170	1080	620	850	1620	1410	120	380	515	145	590	205	640	290	225	860	595	240	540	1730	1680	2000	1630									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35012	1340	1094	427	227	219	271	539	326	103	247	270	515	788	618	405	1382	492	388	125	623	414	322	1190	1475	458	528	767	538	602	639	509	162	1067	506	841	1521	1320	112	362	479	125	535	185	585	254	213	832	576	230	521	1646	1623	1925	1551									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1396	39	47	43	11	25	12	78	23	7	24	20	27	19	38	5	20	15	9	17	15	44	19	42	84	10	12	4	0	8	67	43	2	12	98	7	26	26	3	10	28	12	31	16	40	36	6	11	16	0	4	42	38	72	33									
6	Число погашенных избирательных бюллетеней	992	36	34	30	2	1	7	18	11	5	4	10	18	23	14	0	48	3	8	8	2	62	89	18	81	12	0	9	12	0	14	18	6	1	16	2	73	64	5	8	8	8	24	4	15	0	6	17	3	10	15	42	19	3	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1396	39	47	43	11	25	12	78	23	7	24	20	27	19	38	5	20	15	9	17	15	44	19	42	84	10	12	4	0	8	67	43	2	12	98	7	26	26	3	10	28	12	31	16	40	36	6	11	16	0	4	42	38	72	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34989	1340	1093	427	227	219	271	539	326	103	247	270	515	788	618	405	1362	492	388	125	623	414	322	1190	1473	458	528	767	538	602	639	509	162	1067	506	841	1521	1320	112	362	479	125	535	185	585	254	213	832	576	230	521	1646	1623	1925	1551									
9	Число недействительных избирательных бюллетеней	209	3	0	0	3	0	0	3	29	16	4	0	3	3	0	0	4	0	1	2	4	0	5	2	2	0	0	45	26	0	3	5	0	3	2	6	0	0	0	1	0	0	0	6	0	0	0	2	12	0	0	4	3	0	7									
10	Число действительных избирательных бюллетеней	36176	1376	1140	470	235	244	283	614	320	94	267	290	539	804	656	410	1378	507	396	140	634	458	336	1230	1555	468	540	726	512	610	703	547	164	1076	602	842	1547	1346	115	371	507	137	566	195	625	290	219	841	580	230	525	1684	1658	1997	1577									
