Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Притобольная																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830					
1	"Число избирателей, внесенных в список избирателей"	13024	1351	1094	1110	530	899	488	617	369	556	501	357	317	97	468	152	115	474	202	429	64	172	293	157	96	156	648	749	181	284	98					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13285	1290	1120	1120	535	900	515	630	385	570	490	365	320	120	500	155	115	495	215	480	75	175	295	160	95	155	655	770	180	305	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6516	563	585	506	238	397	279	318	167	272	206	170	192	58	235	74	65	198	108	267	43	120	193	97	73	80	362	351	74	166	59					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1021	80	48	53	36	59	35	32	37	51	42	46	21	22	69	23	6	99	12	39	12	6	23	15	4	9	33	71	13	22	3					
6	Число погашенных избирательных бюллетеней	5748	647	487	561	261	444	201	280	181	247	242	149	107	40	196	58	44	198	95	174	20	49	79	48	18	66	260	348	93	117	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1021	80	48	53	36	59	35	32	37	51	42	46	21	22	69	23	6	99	12	39	12	6	23	15	4	9	33	71	13	22	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6516	563	585	506	238	397	279	318	167	272	206	170	192	58	235	74	65	198	108	267	43	120	193	97	73	80	362	351	74	166	59					
9	Число недействительных избирательных бюллетеней	95	8	9	11	5	3	2	6	0	5	4	0	2	0	1	2	0	3	4	1	1	1	4	1	0	0	2	7	2	8	3					
10	Число действительных избирательных бюллетеней	7442	635	624	548	269	453	312	344	204	318	244	216	211	80	303	95	71	294	116	305	54	125	212	111	77	89	393	415	85	180	59					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	446	30	15	10	3	30	23	15	30	10	10	10	10	25	28	4	3	15	15	56	8	3	10	3	3	3	10	30	14	15	5					
