Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Кольская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №275	УИК №276	УИК №277	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК  298	УИК №500	УИК №501	УИК №502	УИК №503					
1	"Число избирателей, внесенных в списки"	37943	74	797	43	174	251	184	978	2341	1336	768	2187	99	2425	2758	2437	2322	1246	2557	1326	2349	2983	1191	1745	1514	542	174	1281	882	412	366	90	31	28	22	30					
2	"Число бюллетеней, полученных участковыми комиссиями"	38083	70	828	57	193	267	196	1256	2063	1309	794	2003	104	2416	2933	2384	2332	1287	2538	1377	2285	2928	1188	1754	1554	647	173	1362	879	303	391	100	31	28	22	31					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	86	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	16	0	0	0	0	0	9	0	11	0	0	48	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18926	35	483	43	129	154	86	496	1149	688	421	883	20	1187	1394	1191	1109	411	1144	575	1119	1429	547	874	942	306	74	965	501	227	152	82	30	28	22	30					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	349	1	8	0	0	0	0	15	33	17	11	33	0	11	18	9	17	7	14	24	14	6	16	10	12	4	0	67	2	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	18722	34	337	14	64	113	110	745	881	604	362	1087	84	1216	1521	1184	1206	869	1364	778	1152	1493	625	870	591	337	88	330	376	28	239	18	1	0	0	1					
7	Число бюллетеней в переносных ящиках для голосования	434	1	8	0	0	0	0	15	33	17	11	33	0	13	18	9	17	7	30	24	14	6	16	10	21	4	11	66	2	48	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	18909	35	483	43	129	154	86	496	1149	688	421	881	20	1186	1392	1191	1102	411	1142	575	1119	1429	547	874	942	305	74	964	501	226	152	82	30	28	22	30					
9	Число недействительных бюллетеней	203	2	10	1	0	1	1	13	27	13	3	15	0	9	15	3	17	4	6	7	9	8	9	9	2	2	0	5	9	1	2	0	0	0	0	0					
10	Число действительных бюллетеней	19140	34	481	42	129	153	85	498	1155	692	429	899	20	1190	1395	1197	1102	414	1166	592	1124	1427	554	875	961	307	85	1025	494	273	150	82	30	28	22	30					
