Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Немецкая																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13233	294	1447	1072	1046	426	160	1256	836	1277	1684	937	880	955	963									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12600	250	1300	1000	1000	400	150	1200	850	1200	1600	900	850	950	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5944	113	727	504	436	219	92	602	391	460	739	373	382	436	470									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	169	2	20	9	9	3	2	25	9	17	11	13	14	22	13									
6	Число погашенных избирательных бюллетеней	6487	135	553	487	555	178	56	573	450	723	850	514	454	492	467									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	169	2	20	9	9	3	2	25	9	17	11	13	14	22	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5938	113	727	504	434	219	92	598	391	460	739	373	382	436	470									
9	Число недействительных избирательных бюллетеней	181	1	23	18	15	7	0	26	7	13	16	7	9	12	27									
10	Число действительных избирательных бюллетеней	5926	114	724	495	428	215	94	597	393	464	734	379	387	446	456									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	86	1	16	8	1	1	0	18	18	5	1	7	1	2	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	73	0	15	6	0	1	0	17	16	3	1	6	0	1	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	1	8	4	3	0	3	0	1	7	2	2	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	13	1	1	2	1	0	0	1	2	2	0	1	1	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	8	0	1	0	0	2	0	0	0	0	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	1	8	5	7	3	1	6	3	1	3	3	2	1	1									
		0.74%	0.87%	1.07%	0.97%	1.58%	1.35%	1.06%	0.96%	0.75%	0.21%	0.40%	0.78%	0.51%	0.22%	0.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	148	2	15	11	15	4	5	12	7	9	28	8	12	14	6									
		2.42%	1.74%	2.01%	2.14%	3.39%	1.80%	5.32%	1.93%	1.75%	1.89%	3.73%	2.07%	3.03%	3.06%	1.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	109	2	17	8	13	1	2	12	13	10	11	6	0	6	8									
		1.78%	1.74%	2.28%	1.56%	2.93%	0.45%	2.13%	1.93%	3.25%	2.10%	1.47%	1.55%	0.00%	1.31%	1.66%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2477	48	264	228	172	101	42	179	133	217	347	171	178	210	187									
		40.56%	41.74%	35.34%	44.44%	38.83%	45.50%	44.68%	28.73%	33.25%	45.49%	46.27%	44.30%	44.95%	45.85%	38.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	0	7	2	3	0	0	2	1	0	4	0	3	1	4									
		0.44%	0.00%	0.94%	0.39%	0.68%	0.00%	0.00%	0.32%	0.25%	0.00%	0.53%	0.00%	0.76%	0.22%	0.83%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	1	0	0	0	1	1	0	0	0	1	2									
		0.10%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.25%	0.21%	0.00%	0.00%	0.00%	0.22%	0.41%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1176	26	158	95	99	45	14	127	56	85	154	66	74	81	96									
		19.26%	22.61%	21.15%	18.52%	22.35%	20.27%	14.89%	20.39%	14.00%	17.82%	20.53%	17.10%	18.69%	17.69%	19.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	0	1	2	0	0	1	2	1	3	4	2	0	2	0									
		0.29%	0.00%	0.13%	0.39%	0.00%	0.00%	1.06%	0.32%	0.25%	0.63%	0.53%	0.52%	0.00%	0.44%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	38	1	8	7	2	1	0	2	0	6	5	0	0	5	1									
		0.62%	0.87%	1.07%	1.36%	0.45%	0.45%	0.00%	0.32%	0.00%	1.26%	0.67%	0.00%	0.00%	1.09%	0.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	1	0	0	2	0	0	0	1	2	0	0	0	1	1									
		0.13%	0.87%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.25%	0.42%	0.00%	0.00%	0.00%	0.22%	0.21%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	41	1	9	6	1	0	0	6	5	3	3	0	1	3	3									
		0.67%	0.87%	1.20%	1.17%	0.23%	0.00%	0.00%	0.96%	1.25%	0.63%	0.40%	0.00%	0.25%	0.66%	0.62%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	660	9	97	63	45	23	4	78	20	54	71	42	48	59	47									
		10.81%	7.83%	12.99%	12.28%	10.16%	10.36%	4.26%	12.52%	5.00%	11.32%	9.47%	10.88%	12.12%	12.88%	9.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	0	4	1	2	0	0	2	2	0	1	0	0	0	0									
		0.20%	0.00%	0.54%	0.19%	0.45%	0.00%	0.00%	0.32%	0.50%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1161	23	136	67	66	37	25	169	150	73	103	81	69	62	100									
