Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Адыгейская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6					
1	"Число избирателей, внесенных в списки"	11484	2413	2687	2751	1898	742	993					
2	"Число бюллетеней, полученных участковыми комиссиями"	10245	2133	2355	2461	1739	666	891					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3768	682	987	864	590	309	336					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	227	36	86	50	8	19	28					
6	Число погашенных бюллетеней	6250	1415	1282	1547	1141	338	527					
7	Число бюллетеней в переносных ящиках для голосования	227	36	86	50	8	19	28					
8	Число бюллетеней в стационарных ящиках для голосования	3764	678	987	864	590	309	336					
9	Число недействительных бюллетеней	63	17	7	14	9	5	11					
10	Число действительных бюллетеней	3928	697	1066	900	589	323	353					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	30	6	6	6	6	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	8	4	2	1	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	3	1	1	0	1	0					
14	Число погашенных открепительных удостоверений	22	2	4	5	6	2	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	108	19	32	20	8	16	13					
		2.70%	2.66%	2.98%	2.18%	1.33%	4.87%	3.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	55	14	14	20	6	1	0					
		1.37%	1.96%	1.30%	2.18%	1.00%	0.30%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	37	8	12	8	2	4	3					
		0.92%	1.12%	1.11%	0.87%	0.33%	1.21%	0.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	71	17	19	19	6	5	5					
		1.77%	2.38%	1.77%	2.07%	1.00%	1.52%	1.37%					
22	"5. ""За Русь Святую"""	8	1	3	2	1	0	1					
		0.20%	0.14%	0.27%	0.21%	0.16%	0.0%	0.27%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	1	2	1	1	0	1					
		0.15%	0.14%	0.18%	0.10%	0.16%	0.0%	0.27%					
24	"7. ""Новый курс - Автомобильная Россия"""	24	4	5	6	4	4	1					
		0.60%	0.56%	0.46%	0.65%	0.66%	1.21%	0.27%					
25	"8. ""Народно-республиканская партия России"""	6	2	1	0	2	0	1					
		0.15%	0.28%	0.09%	0.0%	0.33%	0.0%	0.27%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	1	1	1	0	0	0					
		0.07%	0.14%	0.09%	0.10%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	49	9	17	12	6	3	2					
		1.22%	1.26%	1.58%	1.31%	1.00%	0.91%	0.54%					
28	"11. ""Истинные патриоты России"""	20	5	5	8	2	0	0					
		0.50%	0.70%	0.46%	0.87%	0.33%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	17	4	6	5	1	0	1					
		0.42%	0.56%	0.55%	0.54%	0.16%	0.0%	0.27%					
30	"13. ""Демократическая партия России"""	2	0	0	2	0	0	0					
		0.05%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	5	4	5	3	0	1					
		0.45%	0.70%	0.37%	0.54%	0.50%	0.0%	0.27%					
32	"15. ""Партия СЛОН"""	3	1	0	1	0	0	1					
		0.07%	0.14%	0.0%	0.10%	0.0%	0.0%	0.27%					
33	"16. ""Родина"" (народно-патриотический союз)"""	125	24	44	38	10	6	3					
		3.13%	3.36%	4.10%	4.15%	1.67%	1.82%	0.82%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	1	3	2	1	1	0					
		0.20%	0.14%	0.27%	0.21%	0.16%	0.30%	0.0%					
35	"18. ""ЛДПР"""	146	21	49	35	13	25	3					
		3.65%	2.94%	4.56%	3.82%	2.17%	7.62%	0.82%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	42	7	12	10	6	5	2					
		1.05%	0.98%	1.11%	1.09%	1.00%	1.52%	0.54%					
37	"20. ""Политическая партия ""Единая Россия"""	2119	336	587	450	412	159	175					
		53.09%	47.05%	54.70%	49.23%	68.89%	48.47%	48.07%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	1	4	1	0	2	2					
		0.25%	0.14%	0.37%	0.10%	0.0%	0.60%	0.54%					
39	"22. ""Развитие предпринимательства"""	4	0	1	1	0	1	1					
		0.10%	0.0%	0.09%	0.10%	0.0%	0.30%	0.27%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	924	198	217	215	93	80	121					
		23.15%	27.73%	20.22%	23.52%	15.55%	24.39%	33.24%					
													
41	Против всех	123	18	28	38	12	11	16					
		3.08%	2.52%	2.60%	4.15%	2.00%	3.35%	4.39%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
