Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Железногорская городская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №1157									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84801	267	2275	1661	1695	1813	1725	1637	1625	2043	1583	2047	2200	1207	1728	1814	1635	1649	1636	2071	1416	1363	1644	2268	2147	2294	2224	2274	1126	1560	1780	2238	2767	753	2559	2513	2673	1655	2385	2300	2480	2614	2468	2525	2464									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59950	300	1550	1150	1100	1250	1200	1150	1150	1400	1100	1450	1550	850	1200	1300	1150	1150	1150	1500	1000	1000	1150	1600	1500	1600	1600	1650	800	1150	1300	1600	2000	550	1800	1800	1900	1200	1650	1650	1750	1850	1750	1800	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37621	106	1019	672	741	702	814	719	764	935	626	779	1041	565	728	849	642	803	691	883	660	656	825	992	1007	1076	1052	993	354	646	775	1003	1209	247	1155	1155	1102	730	1065	1070	1192	1086	1191	1214	1087									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	698	146	42	30	34	14	31	14	13	10	9	36	11	10	19	14	10	14	6	7	26	8	13	15	11	9	5	10	28	17	19	7	2	5	0	3	7	6	11	3	3	5	2	8	5									
6	Число погашенных избирательных бюллетеней	21631	48	489	448	325	534	355	417	373	455	465	635	498	275	453	437	498	333	453	610	314	336	312	593	482	515	543	647	418	487	506	590	789	298	645	642	791	464	574	577	555	759	557	578	558									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	697	146	42	30	34	14	30	14	13	10	9	36	11	10	19	14	10	14	6	7	26	8	13	15	11	9	5	10	28	17	19	7	2	5	0	3	7	6	11	3	3	5	2	8	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37561	106	1019	672	740	701	813	719	751	935	626	779	1038	565	728	848	642	802	690	883	634	656	825	992	1007	1076	1052	992	353	646	775	1003	1208	246	1155	1155	1102	728	1065	1069	1192	1086	1190	1214	1083									
9	Число недействительных избирательных бюллетеней	798	9	14	20	20	17	13	17	16	27	21	26	25	7	20	26	11	18	20	21	0	8	19	15	11	21	36	29	13	9	20	30	20	7	5	20	27	24	27	19	19	15	19	23	14									
10	Число действительных избирательных бюллетеней	37460	243	1047	682	754	698	830	716	748	918	614	789	1024	568	727	836	641	798	676	869	660	656	819	992	1007	1064	1021	973	368	654	774	980	1190	244	1150	1138	1082	710	1049	1053	1176	1076	1173	1199	1074									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	538	0	13	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	12	20	10	13	13	10	15	20	15	20	10	15	20	15	10	15	15	10	14	13	25	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	437	0	13	4	6	5	4	10	5	8	9	3	9	6	7	7	4	9	5	10	5	8	1	10	15	6	13	13	6	15	18	15	19	2	15	20	15	10	15	15	10	14	13	25	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	313	2	21	7	45	6	14	11	7	8	7	6	15	12	7	14	4	15	4	0	5	5	8	7	16	6	3	1	5	0	0	1	1	4	7	0	0	2	4	2	1	4	1	3	22									
14	Число погашенных неиспользованных открепительных удостоверений	101	0	0	6	4	5	6	0	5	2	1	7	1	4	3	3	6	1	5	0	5	2	9	2	5	4	0	0	4	0	2	0	1	8	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	0	5	1	0	5	2	1	1	3	0	2	4	3	3	3	1	3	2	2	5	1	0	3	4	0	2	2	0	2	3	4	4	2	4	4	3	5	2	2	5	1	2	1	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
