Выборы Президента Российской Федерации																																																																																																																
Дата голосования: 02.03.2008																																																																																																																
																																																																																																																
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																
																																																																																																																
Сводная таблица результатов выборов																																																																																																																
																																																																																																																
	Число участковых избирательных комиссий	105																																																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	105																																																																																																														
																																																																																																																
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289					
1	"Число избирателей, включенных в списки избирателей"	196134	1209	1108	1260	1771	2281	1418	2021	1483	1115	1879	2030	2005	2412	2139	2599	2482	2295	474	2713	1622	1774	2029	2340	1424	1761	2027	2841	2787	1348	1744	1775	2559	2352	1839	548	1164	1450	1640	1483	1780	1777	1790	2490	1831	1580	1771	2477	1391	1334	1385	1183	1175	1835	1224	1724	2168	2550	2466	2379	2183	1616	1675	2109	2645	2276	2459	1919	1736	1735	1505	1848	1873	2017	1951	2543	1800	2298	1997	1383	1476	1869	2621	1152	2504	2099	1823	1459	1694	1272	2244	2022	2214	2306	1930	2776	2065	2379	2360	1827	1817	2288	284	2400	388	1786					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	192000	1200	1000	1400	2000	2300	1400	2000	1400	1100	2200	1800	1800	2200	2100	2500	2400	2200	600	2600	1700	1900	1900	2300	1400	1700	2000	2600	2700	1300	2000	2000	2600	2300	1700	600	1200	1300	1500	1400	1900	1900	1900	2400	1900	1600	1900	2500	1500	1200	1300	1100	1000	1800	1300	1900	2300	2400	2000	2100	1800	1400	1600	1800	2400	2400	2400	1800	1600	1700	1400	1800	2100	1900	1900	2500	1900	2000	1900	1400	1400	1800	2600	1100	2400	2300	1900	1400	1700	1300	2100	1900	2100	2500	2300	2700	1900	2300	2300	1700	1900	2400	250	1800	350	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	124147	918	897	982	1144	1518	1102	1552	943	713	1331	1286	1282	1435	1567	1629	1742	1432	439	2054	1271	1291	810	1882	1044	745	1141	1665	2112	1013	1055	980	1781	1817	1332	254	777	710	1140	1107	1201	1071	1324	1768	1064	660	1116	1711	949	903	969	669	571	1269	884	885	889	1562	1752	2033	1707	758	1197	1375	1435	1863	1294	1016	1147	1175	1082	1202	1244	1054	1080	1149	1248	991	1399	1039	1077	852	1109	871	1234	1456	1252	1004	1241	776	1007	961	1095	1625	1371	1666	1245	996	893	1408	984	1636	150	1342	270	1028					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	7415	30	23	134	77	91	84	36	140	47	37	132	80	44	106	68	72	45	35	65	76	77	33	85	74	71	50	39	159	34	51	100	55	30	35	285	46	30	58	51	58	56	37	44	320	207	130	108	151	53	25	34	48	27	38	65	45	213	30	29	67	75	90	343	90	54	64	60	84	44	45	57	67	91	99	79	82	83	44	64	65	26	19	13	30	35	69	74	47	42	28	40	21	24	33	68	61	72	42	66	155	66	66	43	10	15					
6	Число погашенных избирательных бюллетеней	60437	252	80	284	779	691	214	412	317	340	832	382	438	721	427	803	586	723	126	481	353	532	1057	333	282	884	809	896	429	253	894	920	764	453	333	61	377	560	302	242	641	773	539	588	516	733	654	681	400	244	306	397	381	504	378	950	1366	625	218	38	26	567	313	82	874	483	1042	724	369	481	273	541	789	755	721	1272	570	926	457	297	258	922	1472	216	1136	809	579	322	412	482	1065	899	984	851	896	966	594	1232	1365	226	761	698	34	415	70	657					
