Выборы Президента Российской Федерации																																																																																																																						
Дата голосования: 04.03.2012																																																																																																																						
																																																																																																																						
Наименование Избирательной комиссии:    Саратов, Ленинская																																																																																																																						
																																																																																																																						
Сводная таблица итогов голосования																																																																																																																						
																																																																																																																						
	Число участковых избирательных комиссий	107																																																																																																																				
	Число участковых избирательных комиссий, приступивших к передаче сведений	107																																																																																																																				
																																																																																																																						
		Сумма	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281									
1	Число избирателей, включенных в список избирателей	211810	1882	1998	1701	1512	2101	2026	2389	2383	2335	2295	2111	1671	2003	2155	2155	2111	2157	2403	337	1650	1402	1310	2408	2347	2625	2462	2251	2555	1612	2116	1569	2306	2326	2730	2667	1861	249	1167	1940	2030	2571	2108	1864	2080	2306	1948	2490	2089	1525	2097	1871	2255	2293	2484	1869	2425	2120	1349	2259	2133	1605	1012	2536	1213	1196	2209	2485	2201	2392	2589	289	2196	1284	2183	1989	1214	1496	1774	1995	989	2558	1824	1563	2605	2209	2667	1609	2391	1879	1612	1674	2356	1545	2380	1961	1545	2122	1412	1025	2589	2679	2352	2327	2772	2225	1328	2310									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	206750	1850	1900	1650	1500	2050	2000	2350	2250	2250	2150	2000	1550	1950	2150	2050	1900	2100	2350	350	1600	1400	1250	2150	2250	2550	2350	2200	2450	1500	2100	1500	2250	2250	2650	2650	1800	300	1950	1900	2050	2450	1900	1750	1950	2200	1900	2450	2000	1500	2000	1850	2150	2200	2450	1800	2350	2000	1300	2200	1800	1500	1000	2550	1200	1150	2000	2450	2150	2350	2500	250	2150	2300	2150	1950	1200	1500	1750	1850	900	2600	1800	1500	2650	2150	2550	1600	2250	1800	1500	1600	2250	1550	2400	1950	1500	2100	1400	900	2500	2650	2300	2250	2700	2250	1300	2250									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	114329	1196	1066	1041	735	994	1277	1129	1262	1080	1123	1142	986	1242	1304	1278	1156	1460	1374	316	822	803	740	1335	1268	1476	1107	1161	1338	979	1202	651	992	871	1372	1248	1248	74	1120	1093	1204	1441	930	743	1120	1343	1208	1128	1053	799	1284	1170	1166	1283	1148	889	1412	1089	572	1170	1214	1336	469	1413	755	613	1137	1339	1379	1285	1412	117	1161	1242	1101	1049	465	639	917	997	587	1271	848	983	1626	1164	1556	796	1410	725	726	830	1219	728	1329	1204	782	1247	703	593	1384	1402	1165	1407	1375	1124	705	1187									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	4773	19	4	33	62	36	34	37	51	54	161	41	13	18	28	49	47	32	16	21	42	40	15	62	32	37	61	42	44	28	45	62	40	52	21	24	84	174	38	39	27	33	188	97	103	80	47	54	96	43	44	33	29	51	58	73	28	21	37	15	27	61	44	55	39	42	145	29	52	81	61	30	40	42	66	69	10	26	43	49	22	47	32	37	28	19	45	83	54	33	20	10	44	24	29	62	37	30	7	0	22	14	54	37	14	34	11	18									
6	Число погашенных избирательных бюллетеней	87648	635	830	576	703	1020	689	1184	937	1116	866	817	551	690	818	723	697	608	960	13	736	557	495	753	950	1037	1182	997	1068	493	853	787	1218	1327	1257	1378	468	52	792	768	819	976	782	910	727	777	645	1268	851	658	672	647	955	866	1244	838	910	890	691	1015	559	103	487	1082	406	495	718	1082	719	984	1027	103	949	1016	983	832	725	835	790	804	291	1282	920	480	996	967	949	721	786	1042	754	760	987	798	1042	684	681	823	690	307	1094	1234	1081	806	1311	1092	584	1045									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4772	19	4	33	62	36	34	37	51	54	161	41	13	18	28	49	47	32	16	21	42	40	15	62	32	37	61	42	44	28	45	62	40	52	21	24	84	174	38	39	27	33	188	97	103	80	47	54	96	42	44	33	29	51	58	73	28	21	37	15	27	61	44	55	39	42	145	29	52	81	61	30	40	42	66	69	10	26	43	49	22	47	32	37	28	19	45	83	54	33	20	10	44	24	29	62	37	30	7	0	22	14	54	37	14	34	11	18									
8	Число бюллетеней в стационарных ящиках для голосования	114248	1196	1065	1041	735	994	1277	1129	1260	1080	1123	1142	986	1242	1304	1278	1156	1460	1374	316	822	803	740	1335	1268	1476	1107	1160	1338	951	1202	651	992	871	1372	1248	1248	74	1118	1093	1204	1430	930	743	1120	1343	1207	1128	1053	799	1284	1170	1166	1283	1146	888	1412	1089	572	1170	1213	1318	469	1413	755	613	1137	1339	1379	1285	1412	117	1161	1242	1100	1049	465	639	917	997	587	1271	848	983	1626	1163	1556	796	1410	725	726	830	1219	728	1329	1204	782	1238	703	593	1383	1402	1165	1407	1374	1124	705	1187									
9	Число недействительных избирательных бюллетеней	1022	4	10	0	13	3	38	23	14	13	98	2	12	13	16	2	6	5	10	45	5	7	36	6	5	16	5	7	13	0	10	9	7	10	8	7	5	0	10	3	7	15	5	6	2	11	12	15	8	12	5	12	4	6	0	12	2	13	2	7	12	5	4	10	3	10	11	5	8	9	8	0	2	10	11	8	5	6	2	9	3	5	12	0	16	8	21	10	13	8	4	17	7	5	5	4	8	5	5	8	10	19	11	6	8	6	3	5									
