Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
"Наименование Избирательной комиссии:    Нижний Новгород, Сормовская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837					
1	"Число избирателей, внесенных в список избирателей"	139243	1398	1779	1739	2156	2510	1792	2905	2058	2137	2310	3004	2451	2493	1840	2012	1638	2086	2074	2198	1994	2655	1862	1953	1559	1727	1719	1736	1809	1785	1511	1281	1504	2485	1884	2584	2483	1907	2280	2608	2797	1520	1413	2101	1883	1646	1576	1943	2272	1971	1879	1820	2301	2505	2637	2226	2326	1982	2042	2237	2561	2674	2408	2899	2806	2531	2381					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	141700	1450	1900	1750	2200	2550	1850	2950	2050	2150	2350	2900	2500	2550	1850	2050	1650	2150	2100	2250	2050	2700	1900	2050	1600	1750	1750	1800	1750	1800	1550	1300	1550	2550	1900	2650	2500	1950	2300	2650	2800	1550	1450	2150	1900	1700	1600	2000	2300	2000	1950	1850	2350	2550	2650	2250	2350	2000	2100	2300	2600	2700	2500	2950	2900	2550	2450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61818	457	719	582	887	1048	724	1016	719	917	1085	1271	1021	1212	840	934	694	876	954	1132	1008	1308	871	848	800	684	826	653	823	769	769	651	679	1209	863	1170	1078	622	1011	1184	2006	638	603	862	869	689	745	896	931	875	829	802	1002	1089	1080	992	1145	937	858	961	1210	1195	1057	1277	1274	1059	1023					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2101	32	60	47	36	32	24	47	70	53	11	103	30	8	22	24	12	14	30	27	18	38	3	391	16	18	30	26	27	12	24	22	29	16	37	23	17	31	19	33	3	23	13	18	13	23	27	31	27	21	14	20	20	38	10	17	38	36	30	17	22	17	31	20	12	26	22					
6	Число погашенных избирательных бюллетеней	77781	961	1121	1121	1277	1470	1102	1887	1261	1180	1254	1526	1449	1330	988	1092	944	1260	1116	1091	1024	1354	1026	811	784	1048	894	1121	900	1019	757	627	842	1325	1000	1457	1405	1297	1270	1433	791	889	834	1270	1018	988	828	1073	1342	1104	1107	1028	1328	1423	1560	1241	1167	1027	1212	1322	1368	1488	1412	1653	1614	1465	1405					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2101	32	60	47	36	32	24	47	70	53	11	103	30	8	22	24	12	14	30	27	18	38	3	391	16	18	30	26	27	12	24	22	29	16	37	23	17	31	19	33	3	23	13	18	13	23	27	31	27	21	14	20	20	38	10	17	38	36	30	17	22	17	31	20	12	26	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61794	457	719	582	886	1048	723	1016	719	917	1085	1268	1021	1211	839	934	694	874	954	1132	1008	1308	871	848	800	684	826	653	823	767	769	650	679	1209	863	1170	1077	622	1009	1184	2006	638	603	862	869	689	745	896	930	875	829	802	1002	1089	1080	991	1145	937	858	961	1208	1195	1056	1275	1273	1058	1023					
9	Число недействительных избирательных бюллетеней	757	12	12	6	12	20	15	7	5	8	12	19	17	12	13	11	6	17	19	12	14	16	14	12	10	11	18	7	12	11	6	5	7	16	17	18	16	10	17	6	19	9	8	11	11	8	9	11	7	11	11	8	10	10	13	7	8	8	14	13	6	18	8	10	14	10	7					
10	Число действительных избирательных бюллетеней	63138	477	767	623	910	1060	732	1056	784	962	1084	1352	1034	1207	848	947	700	871	965	1147	1012	1330	860	1227	806	691	838	672	838	768	787	667	701	1209	883	1175	1078	643	1011	1211	1990	652	608	869	871	704	763	916	950	885	832	814	1012	1117	1077	1001	1175	965	874	965	1224	1194	1079	1285	1271	1074	1038					
