Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Лазовская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628					
1	"Число избирателей, внесенных в список избирателей"	36116	375	673	1011	920	1331	1546	1886	1580	1154	1097	836	963	427	816	60	1524	2323	678	1546	2271	462	495	265	549	129	853	549	572	59	312	74	340	183	809	90	633	160	542	687	49	92	272	128	105	277	186	180	444	131	1242	306	536	209	545	634					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36570	375	585	1020	965	1350	1540	1910	1500	1170	845	885	980	425	800	63	1550	2330	690	1570	2320	475	520	278	548	143	890	580	605	63	330	79	340	190	860	105	650	160	540	705	58	95	290	140	110	290	190	200	460	130	1280	315	555	213	590	720					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18428	186	300	374	370	535	951	989	687	495	790	375	530	238	468	58	691	1275	219	522	1251	210	200	157	259	99	409	293	250	47	186	39	205	114	417	49	394	124	313	301	37	56	137	102	64	169	131	106	248	108	600	173	266	165	323	373					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2480	17	23	87	50	52	60	105	127	89	7	84	78	31	114	2	70	96	65	75	47	31	59	18	51	7	86	49	74	6	18	6	22	21	75	14	82	7	33	85	4	16	8	5	5	10	15	4	36	4	190	26	29	15	53	37					
6	Число погашенных избирательных бюллетеней	15659	169	262	559	545	763	529	816	686	586	48	426	372	156	218	3	789	959	406	973	1022	234	261	103	238	37	395	238	281	10	126	34	113	55	368	42	174	29	194	319	17	23	145	33	41	111	44	90	176	18	490	116	260	33	214	310					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2483	20	23	87	50	52	60	105	127	89	7	84	78	31	114	2	70	96	65	75	47	31	59	18	51	7	86	49	74	6	18	6	22	21	75	14	82	7	33	85	4	16	8	5	5	10	15	4	36	4	190	26	29	15	53	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18420	186	300	374	370	535	951	989	687	494	788	375	528	238	468	58	689	1275	218	522	1251	210	200	157	259	99	409	293	250	47	186	39	205	114	417	49	394	124	313	301	37	56	137	102	64	169	131	106	248	108	600	173	266	165	323	373					
9	Число недействительных избирательных бюллетеней	449	1	5	7	11	13	26	17	17	7	25	3	14	4	13	1	15	21	6	9	46	7	0	1	6	0	8	12	6	0	4	0	2	1	12	2	10	4	10	3	0	2	6	0	1	6	4	1	5	0	33	0	10	8	9	15					
10	Число действительных избирательных бюллетеней	20454	205	318	454	409	574	985	1077	797	576	770	456	592	265	569	59	744	1350	277	588	1252	234	259	174	304	106	487	330	318	53	200	45	225	134	480	61	466	127	336	383	41	70	139	107	68	173	142	109	279	112	757	199	285	172	367	395					
