Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Лазовская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634					
1	"Число избирателей, внесенных в списки избирателей"	36933	1689	1869	1294	1154	1386	805	905	438	839	81	1577	2485	679	1456	2487	474	472	263	503	126	860	593	583	58	296	75	355	206	771	92	631	163	537	705	55	94	292	142	104	282	203	171	363	90	1334	79	527	231	605	731	314	388	565	1095	974	1387					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35344	1585	1745	1165	1055	1275	775	900	420	800	80	1520	2347	650	1340	2300	465	435	255	505	120	820	580	555	54	280	76	335	190	770	94	635	151	515	655	57	91	255	140	100	280	205	175	340	120	1260	76	520	243	600	730	310	370	550	1100	975	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19164	1055	972	612	498	1074	373	480	200	448	70	737	1388	248	536	1306	250	237	162	253	80	423	280	263	48	202	49	255	133	426	71	375	104	250	295	35	55	152	70	81	181	138	98	221	86	581	54	272	185	310	412	209	208	299	409	387	568					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2027	33	49	77	59	16	67	61	41	108	2	52	92	91	61	28	18	40	18	52	12	48	72	45	6	13	11	16	29	80	10	83	7	29	67	5	9	11	3	0	5	12	4	16	4	135	7	37	16	48	51	17	5	26	41	36	46					
6	Число погашенных избирательных бюллетеней	14145	497	724	476	498	185	335	359	179	244	8	731	867	311	743	966	197	158	75	200	28	349	228	247	0	65	16	64	28	264	13	177	40	236	293	17	27	92	67	19	94	55	73	103	30	544	15	211	42	242	267	84	149	225	650	552	786					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2035	33	49	77	59	16	67	61	41	108	2	52	92	91	61	28	18	40	18	52	12	48	72	45	6	13	11	16	29	80	10	83	7	29	67	5	9	11	3	0	5	12	4	16	4	135	7	37	16	48	51	17	13	26	41	36	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19159	1055	972	612	498	1074	373	480	200	448	70	737	1388	247	536	1306	250	237	162	253	80	423	280	263	48	202	49	255	133	426	71	372	104	250	294	35	55	152	70	81	181	138	98	221	86	581	54	272	185	310	412	209	208	299	409	387	568					
9	Число недействительных избирательных бюллетеней	254	20	12	8	7	18	10	12	7	8	2	8	19	2	4	20	4	3	1	2	0	0	4	2	0	2	0	5	0	5	1	3	0	4	2	0	2	0	1	0	2	3	0	3	0	6	0	5	4	4	11	2	2	2	1	6	5					
10	Число действительных избирательных бюллетеней	20940	1068	1009	681	550	1072	430	529	234	548	70	781	1461	336	593	1314	264	274	179	303	92	471	348	306	54	213	60	266	162	501	80	452	111	275	359	40	62	163	72	81	184	147	102	234	90	710	61	304	197	354	452	224	219	323	449	417	609					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	546	25	20	12	12	90	9	5	6	10	3	15	19	5	10	27	8	5	3	3	3	10	15	5	5	3	3	5	9	22	5	5	3	5	5	3	3	5	3	3	6	3	13	5	3	11	3	6	8	10	5	16	3	8	12	7	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	430	24	18	12	11	90	8	5	3	9	0	12	19	4	3	27	5	5	2	3	0	10	10	4	4	3	1	5	9	20	2	5	0	4	5	0	0	5	1	0	5	1	2	2	0	10	0	6	2	10	2	11	1	7	10	2	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	338	23	13	15	11	44	11	6	3	7	4	8	15	6	4	16	6	3	2	4	1	5	5	1	2	3	3	2	6	6	3	5	3	1	7	0	2	1	1	1	3	4	5	13	1	11	2	2	4	4	3	0	5	10	4	1	7					
14	Число погашенных неиспользованных открепительных удостоверений	116	1	2	0	1	0	1	0	3	1	3	3	0	1	7	0	3	0	1	0	3	0	5	1	1	0	2	0	0	2	3	0	3	1	0	3	3	0	2	3	1	2	11	3	3	1	3	0	6	0	3	5	2	1	2	5	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	1.Политическая партия «Аграрная партия России»	471	20	27	13	16	13	13	25	13	26	0	7	28	5	12	21	3	13	3	5	0	15	10	6	0	3	2	5	1	16	1	12	1	3	11	0	0	3	0	1	0	4	1	2	2	12	1	9	7	11	7	10	7	5	6	11	23					
		2.22%	1.84%	2.64%	1.89%	2.87%	1.19%	2.95%	4.62%	5.39%	4.68%	0.00%	0.89%	1.89%	1.48%	2.01%	1.57%	1.12%	4.69%	1.67%	1.64%	0.00%	3.18%	2.84%	1.95%	0.00%	1.40%	3.33%	1.85%	0.62%	3.16%	1.23%	2.64%	0.90%	1.08%	3.05%	0.00%	0.00%	1.84%	0.00%	1.23%	0.00%	2.67%	0.98%	0.84%	2.22%	1.68%	1.64%	2.91%	3.48%	3.07%	1.51%	4.42%	3.17%	1.54%	1.33%	2.60%	3.75%					
19	2.Всероссийская политическая партия «Гражданская Сила»	108	6	5	4	0	9	1	3	2	2	0	4	13	0	9	4	0	1	0	0	0	2	0	1	0	1	1	1	0	0	0	3	1	2	0	0	0	1	1	2	4	0	0	0	1	7	0	0	1	1	2	3	4	0	1	2	3					
		0.51%	0.55%	0.49%	0.58%	0.00%	0.83%	0.23%	0.55%	0.83%	0.36%	0.00%	0.51%	0.88%	0.00%	1.51%	0.30%	0.00%	0.36%	0.00%	0.00%	0.00%	0.42%	0.00%	0.32%	0.00%	0.47%	1.67%	0.37%	0.00%	0.00%	0.00%	0.66%	0.90%	0.72%	0.00%	0.00%	0.00%	0.61%	1.37%	2.47%	2.15%	0.00%	0.00%	0.00%	1.11%	0.98%	0.00%	0.00%	0.50%	0.28%	0.43%	1.33%	1.81%	0.00%	0.22%	0.47%	0.49%					
20	3.Политическая партия «Демократическая партия России»	29	1	1	1	2	1	3	1	0	1	0	2	0	1	2	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1					
		0.14%	0.09%	0.10%	0.15%	0.36%	0.09%	0.68%	0.18%	0.00%	0.18%	0.00%	0.25%	0.00%	0.30%	0.34%	0.07%	0.00%	0.36%	0.00%	0.33%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.37%	0.00%	0.20%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	0.00%	0.50%	0.28%	0.22%	0.00%	0.00%	0.00%	0.00%	0.24%	0.16%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2253	132	125	99	77	42	40	63	10	67	6	116	196	60	79	211	29	19	14	25	0	38	29	15	3	18	0	12	11	21	1	30	4	44	52	3	9	11	4	4	11	13	14	30	8	93	4	19	6	40	64	25	16	27	42	43	79					
		10.63%	12.13%	12.24%	14.37%	13.82%	3.85%	9.09%	11.65%	4.15%	12.05%	8.33%	14.70%	13.24%	17.75%	13.23%	15.82%	10.82%	6.86%	7.78%	8.20%	0.00%	8.07%	8.24%	4.87%	5.56%	8.37%	0.00%	4.43%	6.79%	4.15%	1.23%	6.59%	3.60%	15.77%	14.40%	7.50%	14.06%	6.75%	5.48%	4.94%	5.91%	8.67%	13.73%	12.66%	8.89%	12.99%	6.56%	6.15%	2.99%	11.17%	13.82%	11.06%	7.24%	8.31%	9.33%	10.17%	12.87%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	79	4	7	4	1	5	7	4	2	0	0	3	8	0	0	3	1	1	0	0	0	3	2	1	0	0	0	0	0	0	0	2	0	2	3	0	0	0	0	0	1	1	2	0	0	4	0	1	0	1	0	0	0	3	0	0	3					
		0.37%	0.37%	0.69%	0.58%	0.18%	0.46%	1.59%	0.74%	0.83%	0.00%	0.00%	0.38%	0.54%	0.00%	0.00%	0.22%	0.37%	0.36%	0.00%	0.00%	0.00%	0.64%	0.57%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.72%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.67%	1.96%	0.00%	0.00%	0.56%	0.00%	0.32%	0.00%	0.28%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.49%					
23	6.Политическая партия «Партия социальной справедливости»	47	7	0	4	3	1	4	1	0	0	1	1	1	0	1	6	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	3	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1					
		0.22%	0.64%	0.00%	0.58%	0.54%	0.09%	0.91%	0.18%	0.00%	0.00%	1.39%	0.13%	0.07%	0.00%	0.17%	0.45%	0.37%	0.00%	0.00%	0.33%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	1.67%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.36%	0.00%	0.00%	1.56%	1.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.32%	0.00%	0.00%	0.22%	0.44%	0.00%	0.00%	0.00%	0.24%	0.16%					
24	7.Политическая партия «Либерально-демократическая партия России»	3069	135	152	112	64	220	62	84	38	76	18	134	230	58	95	222	38	45	20	47	11	63	49	27	4	20	7	17	19	55	6	58	16	35	43	8	14	19	13	15	9	6	12	45	18	109	7	36	48	46	54	23	39	74	68	60	66					
