Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Набережные Челны, Автозаводская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	119865	1015	2228	2503	2276	2146	2311	2411	2073	2550	2439	1812	1481	1652	2187	1664	1991	1807	1883	2463	2149	1944	2180	2583	2384	2154	2347	2052	2553	2206	2303	2343	2366	2302	2156	1711	2263	2298	2312	2400	2440	2256	2402	2456	2373	1825	2370	2357	2178	2298	2134	2034	1945	1993	912	1945	2049									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108280	910	2080	2240	2050	1950	2070	2170	1880	2320	2200	1630	1350	1470	1970	1500	1800	1620	1700	2240	1940	1760	1970	2330	2150	1950	2130	1860	2300	1980	2080	2110	2140	2100	1920	1540	2040	2060	2100	2160	2210	2020	2180	2240	2130	1650	2130	2150	1970	2070	1930	1830	1740	1880	810	1750	1820									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	95890	823	1834	1954	1820	1708	1874	1963	1653	2103	1971	1458	1210	1328	1740	1312	1551	1412	1519	1971	1728	1575	1726	2029	1892	1730	1899	1630	2029	1724	1791	1800	1900	1857	1690	1360	1749	1878	1892	1941	1947	1849	1923	1975	1896	1446	1970	1879	1729	1817	1680	1680	1539	1613	728	1541	1654									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2044	12	55	98	41	52	30	15	47	2	12	21	14	12	25	41	59	51	18	25	13	14	40	63	41	30	9	61	14	64	74	98	40	30	50	19	88	15	15	22	26	33	48	26	49	31	44	56	42	41	43	11	56	21	18	45	24									
6	Число погашенных избирательных бюллетеней	10346	75	191	188	189	190	166	192	180	215	217	151	126	130	205	147	190	157	163	244	199	171	204	238	217	190	222	169	257	192	215	212	200	213	180	161	203	167	193	197	237	138	209	239	185	173	116	215	199	212	207	139	145	246	64	164	142									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2044	12	55	98	41	52	30	15	47	2	12	21	14	12	25	41	59	51	18	25	13	14	40	63	41	30	9	61	14	64	74	98	40	30	50	19	88	15	15	22	26	33	48	26	49	31	44	56	42	41	43	11	56	21	18	45	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	95805	822	1833	1952	1818	1706	1873	1962	1652	2102	1970	1456	1209	1327	1739	1312	1550	1412	1519	1971	1725	1572	1724	2027	1890	1729	1899	1628	2026	1721	1790	1799	1899	1856	1685	1354	1747	1876	1891	1938	1945	1848	1922	1974	1894	1445	1968	1875	1727	1815	1680	1679	1539	1612	727	1541	1653									
9	Число недействительных избирательных бюллетеней	715	5	14	13	17	17	9	19	8	3	11	7	5	6	15	12	11	3	8	30	13	16	15	12	12	16	25	16	18	15	14	12	8	3	5	13	9	18	16	28	5	25	11	12	11	16	7	7	7	28	22	15	8	15	8	10	11									
10	Число действительных избирательных бюллетеней	97134	829	1874	2037	1842	1741	1894	1958	1691	2101	1971	1470	1218	1333	1749	1341	1598	1460	1529	1966	1725	1570	1749	2078	1919	1743	1883	1673	2022	1770	1850	1885	1931	1883	1730	1360	1826	1873	1890	1932	1966	1856	1959	1988	1932	1460	2005	1924	1762	1828	1701	1675	1587	1618	737	1576	1666									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1992	35	35	35	35	35	35	35	35	55	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	39	35	37	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	38	35	35	35	36	35	35	35	35	35	37									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1944	34	27	34	33	33	35	35	34	55	35	35	35	35	33	35	35	35	35	35	35	35	35	35	35	33	34	34	37	35	35	35	35	33	35	35	35	32	35	35	35	35	35	32	35	28	38	35	34	34	34	34	34	34	34	35	37									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	334	3	16	7	5	5	4	5	5	4	5	8	6	6	8	5	4	0	6	3	4	5	4	2	4	3	4	5	11	6	6	10	5	5	2	11	7	5	10	6	5	12	7	0	7	6	6	9	5	6	7	9	5	5	7	6	12									
14	Число погашенных неиспользованных открепительных удостоверений	48	1	8	1	2	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	3	0	7	0	0	1	1	2	1	1	1	1	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	0	3	2	3	1	2	2	3	4	0	1	2	2	0	0	3	0	4	4	3	1	0	1	1	1	2	2	0	0	3	1	2	3	1	1	3	1	1	1	3	1	2	2	3	2	1	3	2	0	1	4	1	2	0	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	147	2	2	2	0	2	1	1	2	0	20	0	1	1	3	2	3	5	3	5	0	13	2	2	2	2	2	2	2	2	1	1	0	3	0	3	2	3	2	4	2	4	3	6	1	3	1	3	4	6	2	0	0	2	2	3	2									
		0.15%	0.24%	0.11%	0.10%	0.00%	0.11%	0.05%	0.05%	0.12%	0.00%	1.01%	0.00%	0.08%	0.07%	0.17%	0.15%	0.19%	0.34%	0.20%	0.25%	0.00%	0.82%	0.11%	0.10%	0.10%	0.11%	0.10%	0.12%	0.10%	0.11%	0.05%	0.05%	0.00%	0.16%	0.00%	0.22%	0.11%	0.16%	0.10%	0.20%	0.10%	0.21%	0.15%	0.30%	0.05%	0.20%	0.05%	0.16%	0.23%	0.32%	0.12%	0.00%	0.00%	0.12%	0.27%	0.19%	0.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	12140	106	246	255	243	164	244	293	255	294	229	209	168	205	162	21	192	189	229	279	74	143	210	249	276	201	285	215	303	250	264	282	291	283	258	210	273	202	255	204	211	206	280	189	194	127	261	238	198	194	130	257	233	227	105	163	216									
		12.41%	12.71%	13.03%	12.44%	13.07%	9.33%	12.82%	14.82%	15.01%	13.97%	11.55%	14.15%	13.74%	15.31%	9.18%	1.55%	11.93%	12.92%	14.90%	13.98%	4.26%	9.02%	11.90%	11.91%	14.29%	11.43%	14.94%	12.73%	14.85%	14.01%	14.16%	14.87%	15.01%	15.01%	14.87%	15.29%	14.88%	10.68%	13.38%	10.41%	10.71%	10.95%	14.21%	9.45%	9.98%	8.60%	12.97%	12.33%	11.19%	10.45%	7.54%	15.21%	14.61%	13.90%	14.09%	10.28%	12.88%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	196	1	3	4	5	3	2	1	1	4	8	0	2	2	2	5	3	3	3	4	4	24	3	2	2	3	0	2	2	3	4	1	0	1	8	1	4	3	3	3	0	2	6	4	2	22	8	2	9	2	2	0	0	2	2	1	3									
		0.20%	0.12%	0.16%	0.20%	0.27%	0.17%	0.11%	0.05%	0.06%	0.19%	0.40%	0.00%	0.16%	0.15%	0.11%	0.37%	0.19%	0.21%	0.20%	0.20%	0.23%	1.51%	0.17%	0.10%	0.10%	0.17%	0.00%	0.12%	0.10%	0.17%	0.21%	0.05%	0.00%	0.05%	0.46%	0.07%	0.22%	0.16%	0.16%	0.15%	0.00%	0.11%	0.30%	0.20%	0.10%	1.49%	0.40%	0.10%	0.51%	0.11%	0.12%	0.00%	0.00%	0.12%	0.27%	0.06%	0.18%									
