Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Верхнеландеховская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3731	663	566	613	257	185	369	346	362	207	163									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3700	650	570	600	250	180	350	350	350	220	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1762	384	292	225	146	101	162	142	77	145	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	828	85	87	187	51	35	105	68	139	36	35									
6	Число погашенных избирательных бюллетеней	1110	181	191	188	53	44	83	140	134	39	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	828	85	87	187	51	35	105	68	139	36	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1762	384	292	225	146	101	162	142	77	145	88									
9	Число недействительных избирательных бюллетеней	21	5	10	3	0	1	1	0	0	0	1									
10	Число действительных избирательных бюллетеней	2569	464	369	409	197	135	266	210	216	181	122									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	30	25	25	5	5	10	10	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	158	28	25	25	5	5	10	10	10	20	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	5	4	2	2	1	0	1	3	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	2	2	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	7	3	5	0	0	2	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	16	0	2	4	0	0	2	2	2	4	0									
		0.62%	0.00%	0.53%	0.97%	0.00%	0.00%	0.75%	0.95%	0.93%	2.21%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	81	18	17	9	4	1	17	2	5	5	3									
		3.13%	3.84%	4.49%	2.18%	2.03%	0.74%	6.37%	0.95%	2.31%	2.76%	2.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	44	8	9	7	0	4	3	5	2	4	2									
		1.70%	1.71%	2.37%	1.70%	0.00%	2.94%	1.12%	2.38%	0.93%	2.21%	1.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1604	293	223	186	154	94	188	132	147	94	93									
		61.93%	62.47%	58.84%	45.15%	78.17%	69.12%	70.41%	62.86%	68.06%	51.93%	75.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	5	1	1	1	0	1	0	0	7	1									
		0.66%	1.07%	0.26%	0.24%	0.51%	0.00%	0.37%	0.00%	0.00%	3.87%	0.81%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	1	0	0	0	0	0	0	9	0									
		0.39%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.97%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	330	52	43	72	19	20	28	25	33	29	9									
		12.74%	11.09%	11.35%	17.48%	9.64%	14.71%	10.49%	11.90%	15.28%	16.02%	7.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	0	0	1	0	0	1	3	0	3	0									
		0.31%	0.00%	0.00%	0.24%	0.00%	0.00%	0.37%	1.43%	0.00%	1.66%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	1	3	1	0	0	1	0	2	1	0									
		0.35%	0.21%	0.79%	0.24%	0.00%	0.00%	0.37%	0.00%	0.93%	0.55%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	0	0	0	0	1	2	0	2	0									
		0.23%	0.21%	0.00%	0.00%	0.00%	0.00%	0.37%	0.95%	0.00%	1.10%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	1	1	1	0	2	2	2	2	0	0									
		0.42%	0.21%	0.26%	0.24%	0.00%	1.47%	0.75%	0.95%	0.93%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	336	69	53	90	17	10	17	31	16	19	14									
		12.97%	14.71%	13.98%	21.84%	8.63%	7.35%	6.37%	14.76%	7.41%	10.50%	11.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	3	1	0	1	0	0	0	1	0	0									
		0.23%	0.64%	0.26%	0.00%	0.51%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	91	13	15	37	1	4	5	6	6	4	0									
		3.51%	2.77%	3.96%	8.98%	0.51%	2.94%	1.87%	2.86%	2.78%	2.21%	0.00%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
