Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
"Наименование Избирательной комиссии:    Пермь, Орджоникидзевская"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355					
1	"Число избирателей, внесенных в список избирателей"	84536	988	1001	1267	59	1761	1968	2165	1431	1742	1957	1959	2820	1599	1703	1409	1789	1853	1937	1400	1181	1206	2282	1277	108	2145	2183	2003	965	646	1941	1283	2206	2172	1370	1519	1591	1860	1698	1570	1753	1716	1766	1665	1724	761	1382	1254	1885	1692	1158	2172	1679	1560	173	182					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86050	1000	1500	1300	100	1800	2000	2200	1500	1800	2000	2000	2500	1600	1700	1400	1800	1900	2000	1400	1200	1400	2300	1300	150	2200	2100	2200	1000	750	2000	1300	2200	2200	1400	1400	1600	1800	1600	1900	1800	1700	1800	1600	1700	700	1400	1200	1900	1700	1100	2200	1700	1600	200	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37330	487	545	575	27	731	880	1030	610	782	801	856	1772	554	724	505	670	804	787	590	497	631	997	569	101	924	910	760	329	646	833	590	913	560	556	695	748	683	537	883	867	667	918	772	738	295	591	470	726	878	528	1059	679	733	162	155					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1989	24	60	60	27	30	16	17	9	14	67	62	44	46	30	37	46	35	26	17	19	52	15	34	7	51	35	16	26	0	54	51	41	31	36	26	22	47	75	72	49	44	49	53	35	33	26	73	41	82	27	14	30	22	11	23					
6	Число погашенных избирательных бюллетеней	46731	489	895	665	46	1039	1104	1153	881	1004	1132	1082	684	1000	946	858	1084	1061	1187	793	684	717	1288	697	42	1225	1155	1424	645	104	1113	659	1246	1609	808	679	830	1070	988	945	884	989	833	775	927	372	783	657	1133	740	545	1127	991	845	27	72					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1989	24	60	60	27	30	16	17	9	14	67	62	44	46	30	37	46	35	26	17	19	52	15	34	7	51	35	16	26	0	54	51	41	31	36	26	22	47	75	72	49	44	49	53	35	33	26	73	41	82	27	14	30	22	11	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37240	487	545	575	27	731	880	1030	610	782	801	856	1726	554	724	505	670	804	787	590	497	631	978	569	101	924	910	758	329	646	833	590	913	559	556	695	748	683	537	882	866	665	913	768	738	293	591	469	723	875	528	1059	679	733	162	155					
9	Число недействительных избирательных бюллетеней	988	16	13	10	5	16	24	24	18	20	15	22	43	22	22	11	18	22	16	6	12	19	27	11	4	30	33	22	4	50	3	12	29	15	18	15	29	15	8	12	23	14	21	16	24	8	15	14	16	32	13	22	16	36	5	2					
10	Число действительных избирательных бюллетеней	38241	495	592	625	49	745	872	1023	601	776	853	896	1727	578	732	531	698	817	797	601	504	664	966	592	104	945	912	752	351	596	884	629	925	575	574	706	741	715	604	942	892	695	941	805	749	318	602	528	748	925	542	1051	693	719	168	176					
