Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Константиновская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10932	1825	1794	1031	211	422	170	309	70	300	808	661	440	401	1007	686	218	334	245									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10320	1700	1700	900	200	400	170	300	80	300	750	650	380	400	1000	600	250	300	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5649	761	752	466	116	251	104	200	45	171	499	329	279	212	573	424	135	183	149									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	215	41	22	9	3	22	3	10	2	7	28	14	0	6	12	11	9	8	8									
6	Число погашенных избирательных бюллетеней	4456	898	926	425	81	127	63	90	33	122	223	307	101	182	415	165	106	109	83									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	215	41	22	9	3	22	3	10	2	7	28	14	0	6	12	11	9	8	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5646	758	752	466	116	251	104	200	45	171	499	329	279	212	573	424	135	183	149									
9	Число недействительных избирательных бюллетеней	171	30	4	10	3	4	4	2	2	7	16	15	11	10	26	17	5	3	2									
10	Число действительных избирательных бюллетеней	5690	769	770	465	116	269	103	208	45	171	511	328	268	208	559	418	139	188	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	20	20	20	10	10	10	10	5	10	15	10	10	10	20	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	73	20	13	6	2	2	0	0	0	0	2	3	2	1	3	10	2	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	435	4	0	17	8	11	8	16	0	11	95	6	85	10	2	139	8	13	2									
