Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Кировский территориальный округ г. Томска																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81					
1	"Число избирателей, внесенных в список"	77402	1373	801	1654	2022	1692	2055	2414	2200	2706	277	2006	2422	1772	578	1597	1129	2032	2117	2273	1637	1905	914	1971	1868	1374	1640	2381	1521	2102	620	1653	1994	1503	1511	1164	2131	2249	2502	1540	1641	1713	1016	1224	2414	2094					
2	Число полученных избирательных бюллетеней	69700	1100	800	1500	1900	1500	1900	2200	1900	2400	300	1800	2200	1500	520	1400	1000	1900	1900	2100	1300	1900	850	1800	1700	1200	1400	2100	1400	1900	550	1500	1800	1400	1350	1000	2000	2100	2100	1400	1500	1500	830	1100	2200	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48177	785	739	996	1238	1139	1051	1119	1835	1623	277	1112	1492	971	292	928	544	1188	1172	1282	1061	1430	627	1254	1186	1051	1269	1546	883	1379	313	848	1155	939	981	706	1454	1388	1552	993	1009	931	710	790	1539	1400					
5	"Число избирательных бюллетеней, выданных вне помещения"	1545	154	0	16	18	27	34	42	0	32	0	35	38	135	10	23	50	31	185	33	16	13	18	46	31	9	4	2	42	20	29	29	26	26	28	21	17	22	43	24	32	32	12	40	73	27					
6	Число погашенных избирательных бюллетеней	19978	161	61	488	644	334	815	1039	65	745	23	653	670	394	218	449	406	681	543	785	223	457	205	500	483	140	127	552	475	501	208	623	619	435	341	273	529	690	505	383	459	537	108	270	588	573					
7	Число избирательных бюллетеней в переносных ящиках	1545	154	0	16	18	27	34	42	0	32	0	35	38	135	10	23	50	31	185	33	16	13	18	46	31	9	4	2	42	20	29	29	26	26	28	21	17	22	43	24	32	32	12	40	73	27					
8	Число бюллетеней в стационарных ящиках для голосования	48150	784	739	996	1237	1137	1051	1119	1834	1623	277	1112	1491	970	292	925	542	1188	1169	1279	1060	1430	627	1254	1185	1051	1267	1546	883	1379	313	848	1155	939	979	706	1454	1387	1552	992	1008	931	710	790	1539	1400					
9	Число недействительных избирательных бюллетеней	250	1	3	5	8	5	9	16	4	13	0	4	8	5	3	5	4	6	11	8	6	7	2	3	8	4	1	4	4	3	9	8	9	6	2	2	12	6	5	3	3	5	4	4	5	7					
10	Число действительных избирательных бюллетеней	49445	937	736	1007	1247	1159	1076	1145	1830	1642	277	1143	1521	1100	299	943	588	1213	1343	1304	1070	1436	643	1297	1208	1056	1270	1544	921	1396	333	869	1172	959	1005	725	1459	1403	1590	1013	1037	958	718	826	1607	1420					
