Выборы Президента Российской Федерации																																																																												
Дата голосования: 02.03.2008																																																																												
																																																																												
"Наименование Избирательной комиссии:    Владивосток, Ленинская"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
	Число участковых избирательных комиссий	69																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	69																																																																										
																																																																												
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1903	УИК №1904	УИК №1905					
1	"Число избирателей, включенных в списки избирателей"	117301	1190	1506	1896	1771	1027	1707	493	1510	1694	1575	1068	1853	1874	1779	1733	2813	2751	2146	2261	2653	1420	1506	2124	2174	2093	2433	2661	2195	1613	2266	2225	2410	2549	2410	2356	2123	2780	2608	1054	2392	2509	2518	1145	2034	2208	2234	2808	2625	1099	1575	2065	1071	1749	1432	1832	1361	1297	1480	1653	1422	254	215	319	302	369	392	180	199	262					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	107217	1300	1200	1600	1500	900	1870	471	1300	1600	1400	1000	1700	1800	1600	1600	2700	2600	2000	2100	2500	1000	1400	1900	2000	1900	2300	2500	2000	1500	2000	2000	2100	2400	2200	2200	2000	2500	2300	1000	2200	2300	2400	1000	1900	2000	2000	2700	2500	1000	1400	1800	1000	1500	1200	1700	1200	1100	1200	1500	1300	243	212	312	247	380	364	178	189	251					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	53986	1118	740	891	870	460	1707	399	667	1016	737	414	932	808	881	985	1306	1277	983	858	1282	583	621	989	1086	993	960	1130	927	606	848	843	987	952	1070	1119	1048	1039	960	507	891	958	860	592	853	870	1024	1210	1125	515	629	801	518	928	793	949	638	591	595	569	581	162	211	248	200	260	286	147	147	236					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1236	2	15	39	12	15	0	0	12	15	10	19	20	8	5	5	7	5	7	4	13	238	76	19	7	20	13	13	31	9	26	32	29	24	94	16	16	68	46	10	4	15	14	3	10	14	12	17	12	17	9	21	12	9	8	10	19	10	8	5	7	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	51995	180	445	670	618	425	163	72	621	569	653	567	748	984	714	610	1387	1318	1010	1238	1205	179	703	892	907	887	1327	1357	1042	885	1126	1125	1084	1424	1036	1065	936	1393	1294	483	1305	1327	1526	405	1037	1116	964	1473	1363	468	762	978	470	563	399	741	543	499	597	926	712	81	1	64	47	120	78	31	42	15					
