Выборы Президента Российской Федерации																																																						
Дата голосования: 02.03.2008																																																						
																																																						
Наименование Избирательной комиссии:    Лукояновская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
	Число участковых избирательных комиссий	47																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																				
																																																						
		Сумма	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221					
1	"Число избирателей, включенных в списки избирателей"	23729	1656	1437	1419	1546	2278	1857	727	1579	522	172	562	303	75	107	335	88	141	153	1074	1185	609	239	587	137	270	308	230	289	161	70	477	200	79	88	408	256	79	220	140	416	153	107	228	236	102	210	214					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23000	1600	1400	1400	1500	2300	1800	700	1500	500	190	550	280	80	100	300	80	130	150	1000	1100	600	240	570	130	260	300	230	300	150	70	480	200	75	85	400	250	75	210	135	400	150	90	220	220	100	200	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	14177	894	927	996	924	1121	863	439	849	413	123	342	191	41	71	202	62	104	79	622	651	377	123	362	81	155	186	179	186	115	54	338	119	55	71	270	164	64	153	107	251	111	69	155	162	78	139	139					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2945	127	82	104	56	143	101	72	178	64	49	88	57	30	22	85	15	16	56	139	144	113	72	114	33	65	110	48	61	30	12	75	47	20	12	100	59	9	55	25	49	17	19	30	31	13	47	51					
6	Число погашенных избирательных бюллетеней	5878	579	391	300	520	1036	836	189	473	23	18	120	32	9	7	13	3	10	15	239	305	110	45	94	16	40	4	3	53	5	4	67	34	0	2	30	27	2	2	3	100	22	2	35	27	9	14	10					
