Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Лукояновская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222					
1	"Число избирателей, внесенных в список"	24825	1728	1510	1347	1682	2399	1982	725	1580	542	178	587	302	83	126	351	106	153	209	1082	1186	626	62	275	561	157	270	337	233	297	175	93	509	220	83	99	439	271	80	244	157	435	167	143	248	240	101	213	232					
2	Число полученных избирательных бюллетеней	25000	1700	1400	1300	1700	2400	2000	700	1600	550	220	600	310	92	130	350	110	155	210	1100	1200	640	60	270	550	185	280	340	230	300	180	95	530	210	85	103	470	280	100	250	165	440	185	150	260	250	115	220	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12843	853	745	700	823	1031	888	348	770	309	113	290	143	56	75	207	70	91	72	521	492	318	44	178	301	84	138	191	171	194	107	62	335	119	63	61	254	160	76	162	111	281	87	91	156	165	62	129	146					
5	"Число избирательных бюллетеней, выданных вне помещения"	2237	81	39	54	51	112	28	52	98	48	34	101	50	19	19	46	23	0	97	95	134	72	8	71	85	33	43	104	13	39	19	13	47	30	17	22	73	30	0	50	22	43	51	19	32	15	14	41	50					
6	Число погашенных избирательных бюллетеней	9920	766	616	546	826	1257	1084	300	732	193	73	209	117	17	36	97	17	64	41	484	574	250	8	21	164	68	99	45	46	67	54	20	148	61	5	20	143	90	24	38	32	116	47	40	72	70	39	50	34					
7	Число избирательных бюллетеней в переносных ящиках	2237	81	39	54	51	112	28	52	98	48	34	101	50	19	19	46	23	0	97	95	134	72	8	71	85	33	43	104	13	39	19	13	47	30	17	22	73	30	0	50	22	43	51	19	32	15	14	41	50					
8	Число бюллетеней в стационарных ящиках для голосования	12840	850	745	700	823	1031	888	348	770	309	113	290	143	56	75	207	70	91	72	521	492	318	44	178	301	84	138	191	171	194	107	62	335	119	63	61	254	160	76	162	111	281	87	91	156	165	62	129	146					
9	Число недействительных избирательных бюллетеней	113	9	1	9	7	8	6	0	7	1	0	9	0	0	0	0	0	0	0	6	6	3	2	1	2	0	3	1	1	2	0	0	4	0	0	0	1	0	1	4	3	4	0	0	3	0	0	2	7					
10	Число действительных избирательных бюллетеней	14964	922	783	745	867	1135	910	400	861	356	147	382	193	75	94	253	93	91	169	610	620	387	50	248	384	117	178	294	183	231	126	75	378	149	80	83	326	190	75	208	130	320	138	110	185	180	76	168	189					
