Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Сакская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	60548	2481	2479	1615	180	1664	2221	741	1211	1352	325	215	859	241	1299	436	1510	1074	1130	607	252	1831	944	438	324	544	2506	2379	1289	544	223	94	836	1336	435	113	305	908	857	348	1184	851	1015	591	147	1009	140	1909	388	659	1138	819	1760	1490	440	318	961	189	1384	475	1767	1669	186	1076	411	170	256									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42860	1740	1730	1150	130	1170	1570	530	850	910	230	150	610	170	920	300	1060	760	800	430	180	1280	670	310	230	390	1760	1630	920	390	160	70	590	930	310	80	220	650	600	240	840	600	710	430	110	710	100	1330	280	450	800	570	1220	1040	310	220	960	180	970	340	1220	1170	130	760	290	120	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31269	1237	1027	667	94	828	1287	312	455	795	147	117	476	145	843	172	758	537	559	357	162	736	412	269	210	305	1401	1409	648	352	120	51	477	724	264	64	194	549	502	193	684	428	454	316	55	632	100	722	136	374	563	410	892	890	300	204	755	149	625	186	783	712	111	531	202	71	129									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2003	40	52	64	7	55	112	35	57	44	11	10	19	4	75	18	100	38	60	16	13	98	15	18	14	18	20	33	67	27	5	2	45	79	19	6	11	24	26	6	35	36	34	48	30	47	0	40	4	14	37	16	16	17	7	15	17	12	69	22	31	27	2	36	8	4	16									
6	Число погашенных избирательных бюллетеней	9588	463	651	419	29	287	171	183	338	71	72	23	115	21	2	110	202	185	181	57	5	446	243	23	6	67	339	188	205	11	35	17	68	127	27	10	15	77	72	41	121	136	222	66	25	31	0	568	140	62	200	144	312	133	3	1	188	19	276	132	406	431	17	193	80	45	35									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2003	40	52	64	7	55	112	35	57	44	11	10	19	4	75	18	100	38	60	16	13	98	15	18	14	18	20	33	67	27	5	2	45	79	19	6	11	24	26	6	35	36	34	48	30	47	0	40	4	14	37	16	16	17	7	15	17	12	69	22	31	27	2	36	8	4	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31269	1237	1027	667	94	828	1287	312	455	795	147	117	476	145	843	172	758	537	559	357	162	736	412	269	210	305	1401	1409	648	352	120	51	477	724	264	64	194	549	502	193	684	428	454	316	55	632	100	722	136	374	563	410	892	890	300	204	755	149	625	186	783	712	111	531	202	71	129									
9	Число недействительных избирательных бюллетеней	572	15	20	15	1	39	12	16	19	15	6	2	6	2	16	3	17	13	4	4	5	15	8	8	7	5	15	15	11	6	1	0	7	7	7	0	6	6	9	0	24	9	7	2	2	4	3	12	5	5	3	6	22	2	4	3	9	0	20	1	27	19	1	13	3	0	3									
10	Число действительных избирательных бюллетеней	32700	1262	1059	716	100	844	1387	331	493	824	152	125	489	147	902	187	841	562	615	369	170	819	419	279	217	318	1406	1427	704	373	124	53	515	796	276	70	199	567	519	199	695	455	481	362	83	675	97	750	135	383	597	420	886	905	303	216	763	161	674	207	787	720	112	554	207	75	142									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1416	57	56	37	4	38	51	27	27	30	7	5	20	5	30	10	34	25	26	14	6	42	22	10	7	13	84	53	30	13	5	2	19	30	10	2	7	21	19	8	27	19	23	14	3	23	3	44	9	14	26	19	40	34	10	7	22	4	32	11	39	38	5	25	9	4	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	395	8	9	5	0	7	2	17	0	27	2	0	2	0	11	1	8	5	1	7	0	11	5	3	0	13	84	10	20	9	0	0	1	6	2	0	0	21	3	0	3	2	2	14	3	3	0	7	1	7	4	1	3	1	0	0	10	1	3	0	6	13	2	5	2	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	349	8	8	6	2	4	2	8	4	15	2	3	3	0	4	6	4	5	2	3	2	3	4	4	2	5	47	39	2	3	1	3	2	6	1	10	1	5	1	2	3	1	1	4	3	5	4	3	1	3	5	4	5	5	4	3	2	6	4	1	7	4	2	23	3	2	9									
