Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Рузская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51633	1733	2339	2397	417	1604	1785	405	2529	2917	1086	2642	2067	2008	1851	1254	1323	474	687	739	291	1387	954	458	1189	1044	1418	1054	312	1292	2842	836	941	1472	1202	929	716	1495	1544									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47400	1400	2000	2000	1100	1400	1700	400	2000	2500	1000	2200	2000	2000	1500	1200	1300	400	600	700	300	1300	800	400	1100	1000	1200	1000	300	1200	2500	800	500	1900	1200	900	700	1400	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17364	604	956	851	403	594	606	151	764	875	371	838	694	495	483	439	535	157	253	286	136	451	272	136	320	277	383	346	97	344	1033	232	446	513	451	307	258	375	632									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	944	21	9	15	14	4	13	3	96	9	4	3	2	5	8	19	17	22	21	16	99	42	156	19	11	28	13	6	2	15	44	10	37	23	37	25	17	43	16									
6	Число погашенных избирательных бюллетеней	29092	775	1035	1134	683	802	1081	246	1140	1616	625	1359	1304	1500	1009	742	748	221	326	398	65	807	372	245	769	695	804	648	201	841	1423	558	17	1364	712	568	425	982	852									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	944	21	9	15	14	4	13	3	96	9	4	3	2	5	8	19	17	22	21	16	99	42	156	19	11	28	13	6	2	15	44	10	37	23	37	25	17	43	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17331	604	956	848	403	594	600	151	763	873	371	832	690	495	483	437	535	157	253	286	136	451	272	136	320	277	383	346	97	341	1027	232	446	513	451	307	258	375	632									
9	Число недействительных избирательных бюллетеней	616	27	25	24	18	16	23	2	17	34	12	21	13	24	24	25	23	7	9	15	16	11	3	7	7	14	9	13	7	14	34	3	16	17	24	13	11	7	31									
10	Число действительных избирательных бюллетеней	17659	598	940	839	399	582	590	152	842	848	363	814	679	476	467	431	529	172	265	287	219	482	425	148	324	291	387	339	92	342	1037	239	467	519	464	319	264	411	617									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1100	30	40	40	30	30	30	20	40	40	30	40	40	40	30	30	30	20	20	20	20	30	20	20	30	30	30	30	20	30	40	20	20	30	30	20	20	30	30									
