Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Уржумская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230					
1	"Число избирателей, внесенных в список избирателей"	22114	256	1046	1024	1432	1183	1242	1527	570	204	105	617	362	106	60	635	159	132	1072	565	278	903	482	206	184	184	225	288	173	264	452	145	119	442	448	357	360	280	1007	197	381	86	121	335	232	186	85	286	119	698	213	81					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19410	200	860	900	1200	1000	1100	1200	550	180	100	620	350	100	60	590	120	120	800	450	250	800	420	180	150	180	200	220	160	250	480	130	120	420	450	320	350	250	800	180	350	80	110	300	200	180	60	280	100	690	180	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11074	92	463	448	663	622	718	765	233	108	58	229	184	66	44	263	75	73	494	288	191	569	222	98	100	114	61	169	85	100	245	59	80	165	183	165	152	163	525	101	216	48	73	203	137	114	58	197	84	369	96	46					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2239	25	85	78	37	46	42	56	86	21	12	111	27	5	7	85	19	22	134	59	16	72	43	32	24	16	74	12	67	44	55	22	18	120	73	80	82	24	92	35	33	6	4	32	23	6	0	19	8	87	49	14					
6	Число погашенных избирательных бюллетеней	6097	83	312	374	500	332	340	379	231	51	30	280	139	29	9	242	26	25	172	103	43	159	155	50	26	50	65	39	8	106	180	49	22	135	194	75	116	63	183	44	101	26	33	65	40	60	2	64	8	234	35	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2239	25	85	78	37	46	42	56	86	21	12	111	27	5	7	85	19	22	134	59	16	72	43	32	24	16	74	12	67	44	55	22	18	120	73	80	82	24	92	35	33	6	4	32	23	6	0	19	8	87	49	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11072	92	463	448	663	622	718	765	233	108	58	229	184	66	44	263	75	73	492	288	191	569	222	98	100	114	61	169	85	100	245	59	80	165	183	165	152	163	525	101	216	48	73	203	137	114	58	197	84	369	96	46					
9	Число недействительных избирательных бюллетеней	180	0	8	10	17	7	9	11	6	1	0	0	3	0	0	8	1	3	7	4	6	25	2	2	1	1	1	2	0	0	4	1	2	4	4	2	3	1	8	0	0	0	3	2	1	2	1	2	0	4	1	0					
10	Число действительных избирательных бюллетеней	13131	117	540	516	683	661	751	810	313	128	70	340	208	71	51	340	93	92	619	343	201	616	263	128	123	129	134	179	152	144	296	80	96	281	252	243	231	186	609	136	249	54	74	233	159	118	57	214	92	452	144	60					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	792	10	20	20	20	20	20	20	35	15	10	20	18	10	10	15	10	10	33	15	10	30	15	10	10	10	10	15	11	10	35	15	10	15	15	15	15	15	28	10	15	10	10	15	10	15	10	15	10	27	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	725	3	4	17	18	9	14	8	35	15	10	20	18	10	10	15	10	10	33	15	10	30	15	10	10	10	10	15	11	10	35	15	10	15	15	15	15	15	28	10	15	10	10	10	10	15	10	15	5	27	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	165	5	9	19	8	8	6	12	1	4	1	1	2	1	0	4	1	1	3	2	1	1	6	3	0	1	2	1	1	1	6	2	1	2	0	4	0	2	5	2	3	0	1	5	4	1	4	3	4	7	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	67	7	16	3	2	11	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	0	5	6	9	8	3	7	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2265	20	83	94	130	122	112	143	61	25	9	70	37	9	9	58	15	13	104	57	20	129	44	20	21	21	9	44	21	11	101	20	22	33	61	27	49	26	141	11	20	5	22	30	31	14	5	19	19	65	21	12					
		17.02%	17.09%	15.15%	17.87%	18.57%	18.26%	14.74%	17.42%	19.12%	19.38%	12.86%	20.59%	17.54%	12.68%	17.65%	16.67%	15.96%	13.68%	16.61%	16.43%	9.66%	20.12%	16.60%	15.38%	16.94%	16.15%	6.67%	24.31%	13.82%	7.64%	33.67%	24.69%	22.45%	11.58%	23.83%	11.02%	20.94%	13.90%	22.85%	8.09%	8.03%	9.26%	28.57%	12.77%	19.38%	11.67%	8.62%	8.80%	20.65%	14.25%	14.48%	20.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2320	33	99	104	110	109	180	153	54	15	33	61	34	14	10	52	20	12	82	49	30	122	33	14	21	24	26	18	12	23	31	7	28	47	25	53	46	29	121	26	55	13	9	40	30	34	10	34	15	80	28	12					
		17.43%	28.21%	18.07%	19.77%	15.71%	16.32%	23.68%	18.64%	16.93%	11.63%	47.14%	17.94%	16.11%	19.72%	19.61%	14.94%	21.28%	12.63%	13.10%	14.12%	14.49%	19.03%	12.45%	10.77%	16.94%	18.46%	19.26%	9.94%	7.89%	15.97%	10.33%	8.64%	28.57%	16.49%	9.77%	21.63%	19.66%	15.51%	19.61%	19.12%	22.09%	24.07%	11.69%	17.02%	18.75%	28.33%	17.24%	15.74%	16.30%	17.54%	19.31%	20.00%					
