Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Нижнеомская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13353	888	933	1059	472	1018	89	77	180	108	684	133	500	101	64	388	97	163	144	62	790	62	62	66	460	130	91	159	515	128	190	662	130	97	72	198	191	82	448	59	16	104	106	721	405	71	63	115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11188	665	710	800	360	780	88	81	183	110	520	136	400	109	64	320	95	166	143	62	615	64	66	66	355	132	92	163	395	128	188	520	135	99	79	200	193	82	350	68	47	108	104	570	315	73	68	121									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5859	406	417	420	226	388	38	45	115	43	271	53	236	38	41	181	51	71	55	46	293	24	36	34	213	63	58	75	193	57	108	276	74	47	36	84	95	25	182	44	13	57	69	284	162	35	35	46									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	637	49	11	21	18	35	0	0	3	25	29	7	17	15	8	30	4	23	15	0	30	5	0	4	18	4	0	8	16	0	6	18	3	7	9	12	15	0	50	4	3	10	6	50	39	1	0	9									
6	Число погашенных избирательных бюллетеней	4692	210	282	359	116	357	50	36	65	42	220	76	147	56	15	109	40	72	73	16	292	35	30	28	124	65	34	80	186	71	74	226	58	45	34	104	83	57	118	20	31	41	29	236	114	37	33	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	637	49	11	21	18	35	0	0	3	25	29	7	17	15	8	30	4	23	15	0	30	5	0	4	18	4	0	8	16	0	6	18	3	7	9	12	15	0	50	4	3	10	6	50	39	1	0	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5859	406	417	420	226	388	38	45	115	43	271	53	236	38	41	181	51	71	55	46	293	24	36	34	213	63	58	75	193	57	108	276	74	47	36	84	95	25	182	44	13	57	69	284	162	35	35	46									
9	Число недействительных избирательных бюллетеней	152	14	25	11	7	12	0	0	1	0	6	0	8	1	0	7	2	0	1	0	5	0	0	0	1	4	1	2	7	1	0	10	2	1	2	0	0	0	2	0	0	0	1	8	9	0	0	1									
10	Число действительных избирательных бюллетеней	6344	441	403	430	237	411	38	45	117	68	294	60	245	52	49	204	53	94	69	46	318	29	36	38	230	63	57	81	202	56	114	284	75	53	43	96	110	25	230	48	16	67	74	326	192	36	35	54									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	504	35	30	25	25	30	2	6	4	4	20	1	30	3	3	30	3	3	3	2	35	3	3	2	19	7	5	3	20	2	4	25	5	3	7	8	3	3	15	3	7	8	3	25	20	3	2	2									
