Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Гайская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №383	УИК №384	УИК №385	УИК №387	УИК №388	УИК №389	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39011	863	267	77	226	723	262	588	311	298	307	198	721	141	263	484	380	241	273	114	123	241	143	349	122	207	118	114	1006	1548	1530	1316	1394	1412	1372	1711	768	1317	2068	1780	559	1397	1715	1313	1879	1229	1262	1387	1852	1042									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39080	860	260	75	225	730	260	585	300	295	300	195	720	140	265	485	375	235	270	110	120	240	145	345	120	200	115	110	1000	1560	1530	1320	1400	1420	1375	1710	780	1320	2075	1800	560	1410	1700	1320	1900	1240	1275	1400	1865	1040									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13430	299	134	43	79	235	99	178	133	132	140	113	292	60	81	191	135	116	143	64	72	107	96	116	50	84	62	50	325	451	487	377	422	462	457	734	270	447	716	511	163	472	605	507	602	359	343	438	683	295									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	418	18	12	7	19	44	29	10	12	6	7	14	2	0	9	14	9	3	0	0	5	13	0	9	4	5	0	0	4	9	26	6	7	12	7	3	5	4	11	6	0	10	2	5	4	10	6	5	10	15									
6	Число погашенных избирательных бюллетеней	25232	543	114	25	127	451	132	397	155	157	153	68	426	80	175	280	231	116	127	46	43	120	49	220	66	111	53	60	671	1100	1017	937	971	946	911	973	505	869	1348	1283	397	928	1093	808	1294	871	926	957	1172	730									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	418	18	12	7	19	44	29	10	12	6	7	14	2	0	9	14	9	3	0	0	5	13	0	9	4	5	0	0	4	9	26	6	7	12	7	3	5	4	11	6	0	10	2	5	4	10	6	5	10	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13429	299	134	43	79	235	99	178	133	132	140	113	292	60	81	191	135	116	143	64	72	107	96	116	50	84	62	50	324	451	487	377	422	462	457	734	270	447	716	511	163	472	605	507	602	359	343	438	683	295									
9	Число недействительных избирательных бюллетеней	361	6	0	2	2	13	2	7	8	2	5	11	8	0	1	4	1	9	5	2	1	2	7	3	0	0	3	2	8	8	27	14	6	19	8	18	5	16	14	8	7	10	9	9	12	9	8	20	14	6									
10	Число действительных избирательных бюллетеней	13486	311	146	48	96	266	126	181	137	136	142	116	286	60	89	201	143	110	138	62	76	118	89	122	54	89	59	48	320	452	486	369	423	455	456	719	270	435	713	509	156	472	598	503	594	360	341	423	679	304									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	331	10	0	0	0	10	8	8	8	8	8	0	10	0	0	9	8	5	5	1	0	5	0	8	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	11	10	10									
