Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																			
Дата голосования: 04.12.2011																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Иркутск, Свердловская"																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827					
1	"Число избирателей, внесенных в список избирателей"	154262	2082	1951	1376	2017	2460	2549	2866	2574	2598	2007	2411	2282	2212	1620	1428	1530	2371	2410	2553	2025	2605	1300	2114	2665	1732	1842	2236	2255	1959	2057	1001	811	2745	1975	1582	2491	2416	2866	1651	2487	1287	2070	2500	2525	2599	1426	1855	2362	1754	2370	2448	2191	1982	2914	2690	2056	1264	1952	1125	2060	1186	2090	1579	2005	1760	2452	1070	2146	2624	1341	2750	1594	2572	2562	751	238					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	143853	1800	1850	1210	1860	2280	2500	2750	2500	2500	1820	2020	2050	2150	1500	1300	1400	2300	2350	2500	1870	2500	1200	1950	2600	1550	1750	2100	2200	1800	1750	950	700	2500	1800	1400	2050	2200	2700	1500	2250	1200	1870	2430	2400	2500	1250	1250	2250	1550	2250	2200	2000	1800	2800	2500	1800	1100	1700	2500	2000	1050	2000	1500	1750	1350	2400	700	2000	2550	1230	2600	1500	2450	2500	800	163					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65378	743	829	604	849	810	1225	1097	888	1010	775	784	1024	992	674	553	628	892	938	998	766	857	569	935	1028	849	926	896	1003	511	938	499	244	1182	852	712	955	982	1296	673	972	564	864	1189	1140	1398	788	1146	1106	842	1134	1297	1130	847	1126	1045	717	555	903	1099	912	547	959	545	800	623	940	502	850	1038	404	1037	724	1040	973	501	135					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2574	100	16	22	22	27	11	54	47	26	25	161	20	22	3	7	12	21	18	15	20	31	17	10	25	7	5	8	6	16	20	12	4	35	16	14	212	115	33	24	13	9	28	31	34	19	17	2	17	24	30	89	31	23	56	9	10	6	26	26	35	21	41	22	83	28	38	143	27	28	17	30	15	26	35	225	1					
6	Число погашенных избирательных бюллетеней	75898	957	1005	584	989	1443	1264	1599	1565	1464	1020	1075	1006	1136	823	740	760	1387	1394	1487	1084	1612	614	1005	1547	694	819	1196	1191	1273	792	439	452	1283	932	674	883	1103	1371	803	1265	627	978	1210	1226	1083	445	102	1127	684	1086	814	839	930	1618	1446	1073	539	771	1375	1053	482	1000	933	867	699	1422	55	1123	1481	809	1533	761	1384	1492	74	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2574	100	16	22	22	27	11	54	47	26	25	161	20	22	3	7	12	21	18	15	20	31	17	10	26	7	5	8	6	16	20	12	4	35	16	14	212	115	33	24	13	9	28	31	34	19	17	2	17	24	30	89	31	23	56	9	10	6	26	26	35	21	41	22	82	28	38	143	27	28	17	30	15	26	35	225	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65375	743	829	604	849	810	1225	1097	888	1010	775	784	1024	992	674	553	627	892	938	998	766	857	569	935	1042	849	923	896	1003	511	938	499	244	1182	849	712	955	981	1295	673	972	564	864	1186	1139	1398	787	1146	1106	842	1133	1297	1129	847	1126	1044	717	555	903	1099	912	547	959	545	800	623	940	502	850	1038	404	1037	724	1040	973	501	135					
9	Число недействительных избирательных бюллетеней	904	8	10	7	14	13	11	22	11	11	10	12	10	8	8	9	7	6	10	18	6	6	6	24	14	17	19	18	7	10	6	10	5	11	6	8	17	15	12	7	14	4	10	16	11	10	6	49	14	17	24	15	15	11	17	9	16	3	20	15	7	4	10	13	8	7	19	23	6	12	8	13	7	13	12	17	0					
10	Число действительных избирательных бюллетеней	67045	835	835	619	857	824	1225	1129	924	1025	790	933	1034	1006	669	551	632	907	946	995	780	882	580	921	1054	839	909	886	1002	517	952	501	243	1206	859	718	1150	1081	1316	690	971	569	882	1201	1162	1407	798	1099	1109	849	1139	1371	1145	859	1165	1044	711	558	909	1110	940	564	990	554	874	644	959	622	871	1054	413	1054	732	1053	996	709	136					
