Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Чебулинская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628					
1	"Число избирателей, внесенных в список избирателей"	11306	703	730	750	814	819	443	132	132	494	195	455	398	742	212	420	198	558	122	483	65	190	506	286	485	94	182	481	42	175					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12000	750	760	790	850	860	465	140	140	525	210	480	395	780	220	444	214	585	135	493	58	203	525	295	523	97	198	643	44	178					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7507	538	472	475	471	447	315	79	108	290	127	350	272	476	147	322	150	389	95	217	45	137	285	185	321	73	122	439	35	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	835	29	37	81	33	81	17	16	2	45	10	19	26	34	4	31	4	52	8	70	0	17	45	19	43	9	17	42	0	44					
6	Число погашенных избирательных бюллетеней	3642	183	251	234	346	332	133	45	30	190	73	111	97	270	69	91	60	144	32	206	13	49	195	91	143	15	59	162	9	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	851	29	37	81	33	81	17	16	2	45	10	19	26	34	4	31	4	52	8	70	0	17	45	19	59	9	17	42	0	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7506	538	472	475	471	447	315	79	108	290	127	350	272	476	147	322	150	389	95	217	44	137	285	185	321	73	122	439	35	125					
9	Число недействительных избирательных бюллетеней	128	7	8	9	7	6	5	0	2	5	2	4	8	5	3	3	6	8	8	6	0	2	7	3	2	0	1	7	0	4					
10	Число действительных избирательных бюллетеней	8229	560	501	547	497	522	327	95	108	330	135	365	290	505	148	350	148	433	95	281	44	152	323	201	378	82	138	474	35	165					
