Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Галичская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
1	"Число избирателей, внесенных в список"	8734	363	192	702	151	289	190	55	314	107	761	143	712	597	472	119	81	355	195	207	106	187	493	142	351	264	152	216	108	542	168					
2	Число полученных избирательных бюллетеней	8862	371	200	713	153	291	199	57	318	110	780	147	713	599	486	120	81	363	197	213	108	193	488	139	353	270	155	220	110	544	171					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4477	183	82	323	87	122	109	31	175	70	309	69	355	231	257	54	51	216	119	115	71	98	259	86	209	124	87	130	68	297	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	1091	52	38	47	20	26	35	20	28	10	72	17	59	123	27	28	18	36	13	40	13	43	75	16	6	65	10	36	18	59	41					
6	Число погашенных избирательных бюллетеней	3294	136	80	343	46	143	55	6	115	30	399	61	299	245	202	38	12	111	65	58	24	52	154	37	138	81	58	54	24	188	40					
7	Число избирательных бюллетеней в переносных ящиках	1091	52	38	47	20	26	35	20	28	10	72	17	59	123	27	28	18	36	13	40	13	43	75	16	6	65	10	36	18	59	41					
8	Число бюллетеней в стационарных ящиках для голосования	4477	183	82	323	87	122	109	31	175	70	309	69	355	231	257	54	51	216	119	115	71	98	259	86	209	124	87	130	68	297	90					
9	Число недействительных избирательных бюллетеней	21	0	0	1	2	0	1	0	3	0	0	0	2	4	3	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	5547	235	120	369	105	148	143	51	200	80	381	86	412	350	281	82	69	251	132	155	84	141	334	99	214	189	97	166	86	356	131					
11	Число полученных открепительных  удостоверений	125	5	4	5	4	4	3	3	5	3	7	4	7	5	4	3	3	7	4	4	3	3	6	3	4	4	3	4	3	5	3					
12	Число выданных открепительных удостоверений	32	0	1	3	0	0	2	0	0	0	5	2	3	0	0	0	0	6	1	2	0	0	2	0	1	2	0	1	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	1	0	0	2	1	1	1	0	0	0	2	1					
14	Число неиспользованных открепительных удостоверений	93	5	3	2	4	4	1	3	5	3	2	2	4	5	4	3	3	1	3	2	3	3	4	3	3	2	3	3	3	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	98	3	1	3	1	8	0	1	4	0	9	3	8	7	0	1	2	7	1	0	2	2	13	3	2	5	1	3	0	8	0					
		1.76%	1.28%	0.83%	0.81%	0.93%	5.41%	0.00%	1.96%	1.97%	0.00%	2.36%	3.49%	1.93%	1.98%	0.00%	1.22%	2.90%	2.78%	0.76%	0.00%	2.38%	1.42%	3.89%	2.94%	0.93%	2.65%	1.03%	1.81%	0.00%	2.25%	0.00%					
19	. Малышкин Олег Александрович	132	2	3	13	3	4	3	4	2	0	2	6	8	8	6	0	0	6	7	6	4	2	11	2	11	2	1	5	3	2	6					
		2.37%	0.85%	2.50%	3.51%	2.80%	2.70%	2.08%	7.84%	0.99%	0.00%	0.52%	6.98%	1.93%	2.26%	2.11%	0.00%	0.00%	2.38%	5.30%	3.87%	4.76%	1.42%	3.29%	1.96%	5.12%	1.06%	1.03%	3.01%	3.49%	0.56%	4.58%					
20	. Миронов Сергей Михайлович	55	4	1	3	0	1	0	0	4	2	2	1	5	8	1	0	3	2	1	2	0	0	2	2	5	0	1	2	0	2	1					
