Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Чурапчинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14431	516	266	273	418	20	793	318	546	747	34	341	41	557	85	71	36	307	519	382	44	425	823	28	389	914	1448	1387	1196	1507									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14454	520	251	278	431	22	802	323	543	760	39	360	40	576	86	71	37	307	516	390	43	422	832	28	390	929	1421	1355	1202	1480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8512	301	197	154	258	16	438	205	395	434	34	242	31	339	69	55	33	212	337	255	33	263	464	25	266	483	796	720	621	836									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	511	37	11	14	19	4	21	11	26	42	0	16	0	22	0	0	0	14	33	5	0	34	39	1	9	34	21	26	49	23									
6	Число погашенных избирательных бюллетеней	5431	182	43	110	154	2	343	107	122	284	5	102	9	215	17	16	4	81	146	130	10	125	329	2	115	412	604	609	532	621									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	511	37	11	14	19	4	21	11	26	42	0	16	0	22	0	0	0	14	33	5	0	34	39	1	9	34	21	26	49	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8512	301	197	154	258	16	438	205	395	434	34	242	31	339	69	55	33	212	337	255	33	263	464	25	266	483	796	720	621	836									
9	Число недействительных избирательных бюллетеней	74	7	5	0	2	0	5	3	5	3	0	1	0	2	0	0	0	0	3	1	0	2	4	0	1	10	6	2	5	7									
10	Число действительных избирательных бюллетеней	8949	331	203	168	275	20	454	213	416	473	34	257	31	359	69	55	33	226	367	259	33	295	499	26	274	507	811	744	665	852									
