Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Мамско-Чуйская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890					
1	"Число избирателей, внесенных в списки избирателей"	5018	1868	1292	183	346	179	485	286	379					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5178	1815	1200	190	565	182	500	318	408					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	28	0	28	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3002	1007	722	117	322	114	318	179	223					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	206	38	69	10	24	2	36	12	15					
6	Число погашенных избирательных бюллетеней	1942	770	381	63	219	66	146	127	170					
7	Число избирательных бюллетеней в переносных ящиках для голосования	234	38	97	10	24	2	36	12	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2999	1007	719	117	322	114	318	179	223					
9	Число недействительных избирательных бюллетеней	24	5	10	1	0	0	4	0	4					
10	Число действительных избирательных бюллетеней	3209	1040	806	126	346	116	350	191	234					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	333	100	60	15	40	10	40	38	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	108	20	11	3	0	4	8	37	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	58	24	18	2	4	3	3	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	225	80	49	12	40	6	32	1	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	4	4	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	101	48	24	6	11	3	1	6	2					
		3.12%	4.59%	2.94%	4.72%	3.18%	2.59%	0.28%	3.14%	0.84%					
19	2.Всероссийская политическая партия «Гражданская Сила»	13	0	5	1	4	0	0	1	2					
		0.40%	0.00%	0.61%	0.79%	1.16%	0.00%	0.00%	0.52%	0.84%					
20	3.Политическая партия «Демократическая партия России»	7	1	1	1	0	1	0	2	1					
		0.22%	0.10%	0.12%	0.79%	0.00%	0.86%	0.00%	1.05%	0.42%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	234	82	61	6	20	5	32	18	10					
		7.24%	7.85%	7.48%	4.72%	5.78%	4.31%	9.04%	9.42%	4.20%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	19	11	5	0	0	0	3	0	0					
		0.59%	1.05%	0.61%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	2	0	1	1	0	0	0	0	0					
		0.06%	0.00%	0.12%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	272	81	74	9	21	3	26	27	31					
		8.41%	7.75%	9.07%	7.09%	6.07%	2.59%	7.34%	14.14%	13.03%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	281	99	63	10	22	12	28	14	33					
		8.69%	9.47%	7.72%	7.87%	6.36%	10.34%	7.91%	7.33%	13.87%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	25	7	12	1	1	0	1	3	0					
		0.77%	0.67%	1.47%	0.79%	0.29%	0.00%	0.28%	1.57%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2218	696	541	91	267	91	258	120	154					
		68.61%	66.60%	66.30%	71.65%	77.17%	78.45%	72.88%	62.83%	64.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	37	15	19	0	0	1	1	0	1					
		1.14%	1.44%	2.33%	0.00%	0.00%	0.86%	0.28%	0.00%	0.42%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
