Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Волжская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
1	"Число избирателей, внесенных в списки избирателей"	226355	2210	1612	2017	2183	2301	2089	1911	2083	1670	1656	1859	1435	1441	332	2483	2276	2270	1961	2721	1569	2323	2640	2332	2704	2238	2195	2006	2163	1802	2408	2437	2452	2313	2415	2499	2624	2616	781	2317	2467	2175	2498	2212	1865	1876	1589	1797	2426	2466	2346	2558	2392	2436	2810	2196	2343	2267	2306	2341	2515	2403	2447	2315	2139	2022	2263	2318	2100	2392	2392	2377	2599	2382	2383	2464	2106	2355	1979	2026	2329	2556	2571	2458	2516	2344	2319	3001	2858	2692	2486	2389	2299	2270	2310	2883	2383	2606	497	939	2275	2327	2360					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	219585	2200	1600	2000	2100	2200	2100	1800	2100	1600	1700	1800	1400	1400	312	2400	2200	2200	1900	2700	1500	2200	2600	2200	2600	2200	2200	2000	2100	1800	2400	2400	2400	2300	2400	2500	2500	2500	773	2300	2300	2000	2400	2100	1800	1800	1500	1800	2400	2400	2500	2500	2300	2400	2700	2100	2200	2200	2200	2300	2500	2400	2400	2200	2100	1900	2200	2300	2000	2400	2300	2300	2500	2300	2300	2400	2100	2300	1900	2000	2500	2500	2600	2400	2400	2300	2200	2800	2800	2600	2400	2300	2200	2200	2300	2900	2300	1900	400	800	2100	2200	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	121699	976	777	1134	1193	1290	1121	946	1105	952	1061	1063	845	709	142	1327	1099	1319	1074	1545	848	1331	1386	1042	1509	1328	1265	1172	1103	967	1299	1392	1367	1265	1386	1386	1392	1232	541	1025	1240	1009	1331	1132	1005	1088	866	905	1312	1385	1459	1419	1223	1392	1559	1161	1322	1346	1272	1208	1440	1390	1372	1273	1222	1206	1228	1243	1189	1258	1326	1278	1474	1209	1276	1327	1096	1176	1030	1066	1342	1318	1336	1367	1344	1245	1350	1727	1666	1481	1383	1203	1140	1143	1200	1727	814	1364	216	454	1084	1079	1089					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2982	16	20	49	40	40	66	24	15	42	50	43	21	73	127	59	33	41	36	34	34	34	47	61	28	25	38	31	16	32	33	26	31	19	57	30	36	40	142	10	40	95	15	26	20	23	18	22	10	59	13	41	22	18	39	15	79	16	9	17	24	21	20	18	27	3	8	9	12	14	9	7	16	4	14	15	12	8	16	14	19	11	18	41	19	13	12	22	20	3	11	17	11	11	11	19	20	25	14	29	72	52	45					
6	Число погашенных избирательных бюллетеней	94900	1208	803	817	867	870	913	830	980	606	587	694	534	618	43	1014	1068	840	790	1121	618	835	1167	1097	1063	847	897	797	981	801	1068	982	1002	1016	957	1084	1072	1228	90	1265	1020	896	1054	942	775	689	616	873	1078	956	1028	1038	1055	990	1102	924	799	838	919	1075	1036	989	1008	909	851	691	964	1048	799	1128	965	1015	1010	1087	1010	1058	992	1116	854	920	1139	1171	1246	992	1037	1042	838	1051	1114	1116	1006	1080	1049	1046	1089	1154	1466	511	170	317	944	1069	1066					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2982	16	20	49	40	40	66	24	15	42	50	43	21	73	127	59	33	41	36	34	34	34	47	61	28	25	38	31	16	32	33	26	31	19	57	30	36	40	142	10	40	95	15	26	20	23	18	22	10	59	13	41	22	18	39	15	79	16	9	17	24	21	20	18	27	3	8	9	12	14	9	7	16	4	14	15	12	8	16	14	19	11	18	41	19	13	12	22	20	3	11	17	11	11	11	19	20	25	14	29	72	52	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	121618	976	775	1134	1191	1289	1121	945	1105	952	1061	1060	845	709	142	1327	1099	1319	1074	1542	848	1331	1386	1042	1509	1328	1215	1172	1103	967	1298	1392	1365	1265	1386	1382	1392	1228	541	1025	1240	1009	1331	1132	1005	1088	866	905	1312	1385	1459	1418	1223	1390	1558	1161	1322	1346	1272	1208	1440	1390	1372	1273	1222	1206	1228	1243	1189	1258	1326	1275	1474	1209	1276	1327	1096	1176	1030	1066	1342	1317	1336	1367	1344	1245	1350	1727	1666	1481	1383	1203	1140	1143	1200	1727	814	1364	216	454	1084	1079	1089					
9	Число недействительных избирательных бюллетеней	1178	12	1	12	10	16	14	4	23	11	10	17	11	6	1	23	12	7	14	16	13	16	20	13	15	0	6	6	15	9	11	7	11	16	24	14	24	14	7	9	15	7	15	20	10	9	12	6	8	9	11	20	14	17	9	12	10	9	8	13	12	11	12	10	13	5	12	13	7	16	14	8	11	15	10	8	9	16	14	12	13	13	12	17	13	20	10	15	13	12	18	14	9	4	9	15	5	12	0	4	2	10	6					
10	Число действительных избирательных бюллетеней	123422	980	794	1171	1221	1313	1173	965	1097	983	1101	1086	855	776	268	1363	1120	1353	1096	1560	869	1349	1413	1090	1522	1353	1247	1197	1104	990	1320	1411	1385	1268	1419	1398	1404	1254	676	1026	1265	1097	1331	1138	1015	1102	872	921	1314	1435	1461	1439	1231	1391	1588	1164	1391	1353	1273	1212	1452	1400	1380	1281	1236	1204	1224	1239	1194	1256	1321	1274	1479	1198	1280	1334	1099	1168	1032	1068	1348	1315	1342	1391	1350	1238	1352	1734	1673	1472	1376	1206	1142	1150	1202	1731	829	1377	230	479	1154	1121	1128					
