Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Новосергиевская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
1	"Число избирателей, внесенных в списки"	26810	2226	2040	1515	1471	2626	359	44	82	648	47	671	121	88	207	352	714	121	794	213	116	854	50	39	701	275	752	704	788	887	192	78	176	449	213	63	55	118	480	100	105	405	969	51	129	203	263	633	103	173	30	517	254	66	413	404	228	435					
2	"Число бюллетеней, полученных участковыми комиссиями"	26193	2050	1907	1430	1272	2500	353	50	90	660	47	670	122	103	210	345	730	118	794	214	126	860	52	39	665	270	770	700	780	880	200	80	178	447	217	64	62	115	480	100	100	410	970	52	123	210	270	650	111	170	30	527	260	65	410	420	225	440					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18809	1290	1107	784	792	1376	290	41	51	524	47	500	116	85	189	275	669	110	582	171	111	733	50	39	592	219	512	421	462	606	126	72	159	360	176	56	53	105	439	100	97	345	658	51	123	180	256	554	100	166	30	390	211	58	289	355	211	345					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	571	70	52	46	0	34	0	0	18	0	0	11	0	0	2	0	0	0	24	0	5	0	0	0	0	9	12	25	14	32	0	0	0	9	0	0	0	0	0	0	0	24	82	0	0	0	0	0	0	0	0	24	0	0	78	0	0	0					
6	Число погашенных бюллетеней	6813	690	748	600	480	1090	63	9	21	136	0	159	6	18	19	70	61	8	188	43	10	127	2	0	73	42	246	254	304	242	74	8	19	78	41	8	9	10	41	0	3	41	230	1	0	30	14	96	11	4	0	113	49	7	43	65	14	95					
7	Число бюллетеней в переносных ящиках для голосования	571	70	52	46	0	34	0	0	18	0	0	11	0	0	2	0	0	0	24	0	5	0	0	0	0	9	12	25	14	32	0	0	0	9	0	0	0	0	0	0	0	24	82	0	0	0	0	0	0	0	0	24	0	0	78	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	18798	1290	1107	784	792	1376	290	41	51	524	47	500	116	85	189	275	669	110	582	171	111	723	50	39	592	219	512	421	462	606	126	72	159	360	176	56	53	105	439	100	97	345	658	51	123	180	256	554	100	166	30	389	211	58	289	355	211	345					
9	Число недействительных бюллетеней	263	18	21	9	11	7	3	1	0	12	0	18	1	0	1	4	4	0	7	3	3	10	0	0	3	3	12	1	10	4	6	1	1	6	2	0	0	0	6	0	6	12	5	5	3	0	0	16	1	7	0	1	1	0	1	7	0	10					
10	Число действительных бюллетеней	19106	1342	1138	821	781	1403	287	40	69	512	47	493	115	85	190	271	665	110	599	168	113	713	50	39	589	225	512	445	466	634	120	71	158	363	174	56	53	105	433	100	91	357	735	46	120	180	256	538	99	159	30	412	210	58	366	348	211	335					
