Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Оленинская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781					
1	"Число избирателей, внесенных в списки"	11399	298	199	112	391	148	145	135	216	162	370	209	244	219	829	1687	217	135	101	137	229	303	113	317	221	1983	2279					
2	"Число бюллетеней, полученных участковыми комиссиями"	11330	296	206	126	391	150	141	136	213	160	362	208	246	222	822	1674	211	128	97	140	232	280	117	316	222	2000	2234					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6231	158	103	72	203	62	92	64	143	88	144	138	97	102	392	1014	127	74	51	78	130	158	56	177	139	1154	1215					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1768	75	41	25	80	49	17	37	36	44	134	26	108	47	179	259	56	40	35	41	37	49	43	61	56	93	100					
6	Число погашенных бюллетеней	3331	63	62	29	108	39	32	35	34	28	84	44	41	73	251	401	28	14	11	21	65	73	18	78	27	753	919					
7	Число бюллетеней в переносных ящиках для голосования	1768	75	41	25	80	49	17	37	36	44	134	26	108	47	179	259	56	40	35	41	37	49	43	61	56	93	100					
8	Число бюллетеней в стационарных ящиках для голосования	6231	158	103	72	203	62	92	64	143	88	144	138	97	102	392	1014	127	74	51	78	130	158	56	177	139	1154	1215					
9	Число недействительных бюллетеней	110	7	3	2	3	1	2	0	7	2	6	6	0	6	14	2	0	2	2	0	2	3	1	3	6	8	22					
10	Число действительных бюллетеней	7889	226	141	95	280	110	107	101	172	130	272	158	205	143	557	1271	183	112	84	119	165	204	98	235	189	1239	1293					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	380	10	10	10	10	10	10	10	10	10	10	10	10	10	30	30	10	10	10	10	10	10	10	10	10	50	50					
